,X2020.05.Read1,X2020.06.Read1,X2020.06.Read2,X2020.06.Read3,X2020.06.Read4,X2020.06.Read5,X2020.06.Read6,X2020.06.Read7,X2020.06.Read8,X2020.06.Read9,X2020.06.Read10,X2020.06.Read11,X2020.06.Read12,X2020.07.Read1,X2020.07.Read2,X2020.07.Read3,X2020.07.Read4,X2020.07.Read5,X2020.07.Read6,X2020.07.Read7,X2020.07.Read8,X2020.07.Read9,X2020.07.Read10,X2020.07.Read11,X2020.08.Read1,X2020.08.Read2,X2020.08.Read3,X2020.08.Read4,X2020.08.Read5,X2020.08.Read6,X2020.08.Read7,X2020.08.Read8,X2020.08.Read9,X2020.08.Read10,X2020.08.Read11,X2020.08.Read12,X2020.08.Read13,X2020.08.Read14,X2020.09.Read1,X2020.09.Read2,X2020.09.Read3,X2020.09.Read4,X2020.09.Read5,X2020.09.Read6,X2020.09.Read7,X2020.09.Read8,X2020.09.Read9,X2020.09.Read10,X2020.09.Read11,X2020.09.Read12,X2020.09.Read13,X2020.09.Read14,X2020.09.Read15,X2020.09.Read16,X2020.09.Read17,X2020.09.Read18,X2020.10.Read1,X2020.10.Read2,X2020.10.Read3,X2020.10.Read4,X2020.10.Read5,X2020.10.Read6,X2020.10.Read7,X2020.10.Read8,X2020.10.Read9,X2020.10.Read10,X2020.10.Read11,X2020.10.Read12,X2020.10.Read13,X2020.10.Read14,X2020.10.Read15,X2020.10.Read16,X2020.11.Read1,X2020.11.Read2,X2020.11.Read3,X2020.11.Read4,X2020.11.Read5,X2020.11.Read6,X2020.11.Read7,X2020.11.Read8,X2020.11.Read9,X2020.11.Read10,X2020.11.Read11,X2020.11.Read12,X2020.11.Read13,X2020.11.Read14,X2020.11.Read15,X2020.11.Read16,X2020.12.Read1,X2020.12.Read2,X2020.12.Read3,X2020.12.Read4,X2020.12.Read5,X2020.12.Read6,X2020.12.Read7,X2020.12.Read8,X2020.12.Read9,X2020.12.Read10,X2020.12.Read11,X2020.12.Read12,X2020.12.Read13,X2020.12.Read14,X2021.01.Read1,X2021.01.Read2,X2021.01.Read3,X2021.01.Read4,X2021.01.Read5,X2021.01.Read6,X2021.01.Read7,X2021.01.Read8,X2021.01.Read9,X2021.01.Read10,X2021.01.Read11,X2021.01.Read12,X2021.01.Read13,X2021.01.Read14,X2021.02.Read1,X2021.02.Read2,X2021.02.Read3,X2021.02.Read4,X2021.02.Read5,X2021.02.Read6,X2021.02.Read7,X2021.02.Read8,X2021.02.Read9,X2021.02.Read10,X2021.02.Read11,X2021.02.Read12,X2021.02.Read13,X2021.03.Read1,X2021.03.Read2,X2021.03.Read3,X2021.03.Read4,X2021.03.Read5,X2021.03.Read6,X2021.03.Read7,X2021.03.Read8,X2021.03.Read9,X2021.03.Read10,X2021.03.Read11,X2021.03.Read12,X2021.03.Read13,X2021.03.Read14,X2021.03.Read15,X2021.03.Read16,X2021.03.Read17,X2021.04.Read1,X2021.04.Read2,X2021.04.Read3,X2021.04.Read4,X2021.04.Read5,X2021.04.Read6,X2021.04.Read7,X2021.04.Read8,X2021.04.Read9,X2021.04.Read10,X2021.04.Read11,X2021.04.Read12,X2021.04.Read13,X2021.05.Read1,X2021.05.Read2,X2021.05.Read3,X2021.05.Read4,X2021.05.Read5,X2021.05.Read6,X2021.05.Read7,X2021.05.Read8,X2021.05.Read9,X2021.05.Read10,X2021.05.Read11,X2021.05.Read12,X2021.05.Read13,X2021.05.Read14,X2021.06.Read1,X2021.06.Read2,X2021.06.Read3,X2021.06.Read4,X2021.06.Read5,X2021.06.Read6,X2021.06.Read7,X2021.06.Read8,X2021.06.Read9,X2021.06.Read10,X2021.06.Read11,X2021.06.Read12,X2021.06.Read13,X2021.06.Read14,X2021.06.Read15,X2021.06.Read16,X2021.07.Read1,X2021.07.Read2,X2021.07.Read3,X2021.07.Read4,X2021.07.Read5,X2021.07.Read6,X2021.07.Read7,X2021.07.Read8,X2021.07.Read9,X2021.07.Read10,X2021.07.Read11,X2021.07.Read12,X2021.07.Read13,X2021.07.Read14,X2021.07.Read15,X2021.07.Read16,X2021.08.Read1,X2021.08.Read2,X2021.08.Read3,X2021.08.Read4,X2021.08.Read5,X2021.08.Read6,X2021.08.Read7,X2021.08.Read8,X2021.08.Read9,X2021.08.Read10,X2021.08.Read11,X2021.08.Read12,X2021.08.Read13,X2021.08.Read14,X2021.08.Read15,X2021.08.Read16,X2021.09.Read1,X2021.09.Read2,X2021.09.Read3,X2021.09.Read4,X2021.09.Read5,X2021.09.Read6,X2021.09.Read7,X2021.09.Read8,X2021.09.Read9,X2021.09.Read10,X2021.09.Read11,X2021.09.Read12,X2021.09.Read13,X2021.09.Read14,X2021.09.Read15,X2021.09.Read16,X2021.10.Read1,X2021.10.Read2,X2021.10.Read3,X2021.10.Read4,X2021.10.Read5,X2021.10.Read6,X2021.10.Read7,X2021.10.Read8,X2021.10.Read9,X2021.10.Read10,X2021.10.Read11,X2021.10.Read12,X2021.10.Read13,X2021.10.Read14,X2021.10.Read15,X2021.10.Read16,X2021.11.Read1,X2021.11.Read2,X2021.11.Read3,X2021.11.Read4,X2021.11.Read5,X2021.11.Read6,X2021.11.Read7,X2021.11.Read8,X2021.11.Read9,X2021.11.Read10,X2021.11.Read11,X2021.11.Read12,X2021.11.Read13,X2021.11.Read14,X2021.11.Read15,X2021.11.Read16,X2021.11.Read17,X2021.11.Read18,X2021.12.Read1,X2021.12.Read2,X2021.12.Read3,X2021.12.Read4,X2021.12.Read5,X2021.12.Read6,X2021.12.Read7,X2021.12.Read8,X2021.12.Read9,X2021.12.Read10,X2021.12.Read11,X2021.12.Read12,X2022.01.Read1,X2022.01.Read2,X2022.01.Read3,X2022.01.Read4,X2022.01.Read5,X2022.01.Read6,X2022.01.Read7,X2022.01.Read8
Allanfearn,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,0,868,898,820,0,1074,1414,0,0,0,1124,NA,NA,2353,2912,7868,2825,7171,379,1006,1302,1686.30553266049,325,1142,0,5866.5,5874.56110880444,5033,1544.84884051065,2678.08036075984,1365.81215862638,1982.10882236655,5518.09399604572,3495.93375181911,3004.04841040117,2650,2630.05863673332,4750.23638331032,8390.00778774157,1625.69135260441,9649,3849,28103,9108.68384347568,4156.7072492181,0,107813,6748.77939219097,16654,4219.7677473752,6348.79916317058,2539.95716897673,3038.13477062852,5997.93823817896,4448.88974367039,11680,7367.91536828346,0,3886.89243637927,28105,5324,NA,NA,3060.84535472057,2214.83529667808,2715.08651348653,447.846853769326,0,0,5982.12853946093,3819.05070244573,4019.78858978158,NA,NA,NA,NA,NA,70482,55044,82734,102770,36182,122424,47935,67382,33430,15131,29462,33625,44044,NA,31607,35619,41432,45465,72455,31065,58541,13421,59022,70399,35213,12242,12775,10975,17465,42959,33509,55268,26433,3090.17456051864,3873.57152086941,32887,12615,45045,35711,31291,NA,NA,2764,588,597,15255,4722,7304,2976,2387,8421,4780,1058,NA,NA,NA,NA,796,32418,1706,4616,18140,9469,1131,730,492,0,511,0,1293,1387,852,0,742.723655547763,0,1286.82184553912,5865.16103843634,3985.09877657052,15125,8612.53463179537,6775.76317765327,6350.00999346399,41267,12483,34094,97953,81673,98432,158210,148209,110442,207912,87590,80936,113598,78213,86700,92510,94067,112407,175138,60354,171697,56164,43934,41472,32180,24189,30467,77208,27743,44701,60093,175738,207305,180701,317356,454669,318495,645198,709834,NA,432453,1313311,286147,176275,295005,312737,334405,107087,222711,243526,182538,65569,108140,117328,98563,55160,62879,52850,98044,66516,168984,77238,45174,43636,76101,46463,156278,179109,245371,90051,45107,1786.08996216641,56300,52602,67430,112717,44245,165322,166588,194730,NA,NA,NA,NA,NA,NA,NA,144194,155588,166736,12699,19960,22538,124993,191008,NA,NA,NA,NA,NA,106768,102483,90873,NA,NA,NA,NA
Allers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164611,160353,60401,70511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44506,12350,60768,46774,NA,NA,NA,NA,NA,NA,NA,NA,NA,15091,2164.13290770359,3334,3694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8910,3857,15269,12276,NA,NA,NA,NA,NA,NA,NA,NA,NA,7443,10590,2386,4087,12959,NA,NA,NA,NA,NA,NA,NA,NA,NA,9469.94329525801,14018,77538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317623,274111,172052,108883,182675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081826,299940,138315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77248,123163,41069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57559,310774,237807,374575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243833,249906,449283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allers - St Leonards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,453,21179,2654,106163,1174,251,40169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34953,22351,3324.97163295419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42938,211953,78204,115040,145058,144388,11836,4694,25821,74131,16499,NA,NA,NA,95838,14987,58258,56118,7122,33139,15023,36623,45406,10697,NA,NA,NA,20098,11696,20216,19447,36814,38277,9135.76924243269,13061,65428,16087,15195,54861,NA,20001,22576,NA,NA,25824,53864,NA,13855,20591,16162,23457,12049,16852,1729,NA,NA,NA,13576,27729,27906,31831,9615,21303,21387,NA,15119,NA,NA,NA,NA,NA,67129,66794,40954,21299,44593,40302,97920,53810,NA,NA,NA,NA,NA,NA,NA,NA,109200,60842,90835,208317,74817,86961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88742,80689,85928,48391,243591,169252,431206,249791,508699,NA,NA,NA,NA,NA,NA,NA,387159,784602,437785,234712,155926,74989,281593,NA,NA,NA,NA,NA,NA,NA,NA,NA,131851,56643,112167,185875,36307,72552,159953,217815,NA,NA,NA,NA,NA,NA,NA,NA,71992,78999,142715,88743,43837,134576,86199,139156,206461,NA,NA,NA,NA,NA,NA,NA,NA,NA,94273,74396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186963,244667,57062,128932,NA,NA,NA,NA
Alness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406246,157128,235220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75796,13270,16321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36372,106223,50990,81492,NA,NA,NA,NA,NA,NA,NA,NA,NA,21722,7824,5429,41358,5651.9422463427,5965.84015457681,NA,8117,4698,4104,6564,NA,NA,NA,NA,NA,NA,5236,3715,3343,1653,3670,1280,NA,NA,NA,NA,NA,NA,NA,1132,622,3377,1744,7844,1459,2719,7542,26755,NA,NA,NA,NA,NA,169382,78595,35759,20713,62412,58761,30624,37294,NA,NA,NA,NA,NA,NA,NA,NA,114838,108481,36044,43734,159015,23320,55457,20947,NA,NA,NA,NA,NA,NA,NA,NA,259762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230940,900924,176879,221828,200501,73580,195669,NA,NA,NA,NA,NA,NA,NA,NA,NA,270461,212713,162652,267430,238667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98282,92368,97970,122571,98362,428169,211854,300910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42389,194958,46914,NA,NA,NA,NA,NA,NA,NA,NA,NA,152478,NA,NA,NA,NA,NA,NA,NA
Annan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,580.428731524111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1289.84552944346,1007,1779.11302960741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2180.22589006556,4477.183297084,14298,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193429,332249,17339,24242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5982,26815,957,NA,6882,NA,NA,NA,NA,NA,NA,NA,NA,0,24598,5785.26254084848,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1548,1544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2981,569,2584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11180,NA,37858,13711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61889,305215,100038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43863,69592,104565,517191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191323,897852,433865,58010,79165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53707,25463,54792,184988,7675.4493329163,37554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15514,62031,218826,275562,156724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2924.60233456537,42869,43924,NA,NA,NA,NA,NA,NA,NA,NA,NA,32704,NA,NA,NA,NA,NA,NA,NA
Ardoch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24194,9969,3963,4021,NA,NA,NA,NA,NA,NA,NA,NA,NA,4167,4560,13891,35547,7550.8002782094,10916,4511,19305,4081,NA,NA,NA,NA,NA,NA,NA,NA,NA,4232,2440,1550,2613,490,1426,NA,NA,NA,NA,NA,NA,2105,0,0,693,493,0,3429,266,1499,NA,NA,NA,NA,NA,1996,6749.98614031201,8086.62988327727,5290.32960589655,NA,17805,4793.5226928706,4017.37005930634,NA,NA,NA,NA,NA,NA,NA,NA,36951,109671,47294,39349,23397,60784,46946,NA,NA,NA,NA,NA,NA,NA,NA,NA,17081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88637,79076,26393,62745,16082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96797,47327,69404,8673.83225450175,61792,66780,46228,65417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82004,13518,18601,45193,NA,NA,NA,NA,NA,NA,NA,NA,110729,48409,NA,NA,NA,NA,NA,NA
Armadale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12986,60284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33772,37537,20584,236472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54461,112475,NA,182270,53112,21167,NA,NA,NA,NA,NA,NA,NA,12680,14290,36847,23454,14687,22146,13549,15452,NA,NA,NA,NA,NA,NA,NA,NA,NA,2227,3637,15280,7829,2111,1360,6459,3815,NA,NA,NA,NA,NA,20732,8249,11764,12607,NA,1225,NA,68283,21612,NA,NA,NA,NA,NA,16584,9930.20885264794,11959.9595318255,69117,66457,39616,158941,267865,NA,NA,NA,NA,NA,NA,NA,NA,325648,265018,128554,317092,174279,743595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963166,1102894,645462,483849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176779,51717,45394,135659,162595,313838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93692,123224,121853,156246,163240,212934,166630,279161,119673,NA,NA,NA,NA,NA,NA,NA,NA,NA,283472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1697777,NA,NA,NA,NA,NA,NA,NA
Aviemore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768.559155119444,2854.31068709053,19084,26286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639509,451782,893406,311244,302987,156320,157391,NA,NA,NA,NA,NA,NA,NA,NA,NA,147073,311606,72017,NA,144177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305242,187173,135083,189280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77299,399814,489578,146890,216143,347819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315450,316250,NA,161916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403815,NA,253544,NA,493475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
