"","Site","Year","Month","Week","x"
"1","Allanfearn",2021,"01","01",31.6044438807922
"2","Allers",2021,"01","01",53.9882370524939
"3","Alloa",2021,"01","01",62.8415468775665
"4","Annan",2021,"01","01",584.503094396656
"5","Armadale",2021,"01","01",6.35377709521636
"6","Bathgate",2021,"01","01",7.95627784042478
"7","Biggar",2021,"01","01",21.4241783194373
"8","Blackburn",2021,"01","01",49.3991115741206
"9","Blackridge",2021,"01","01",4.32478662047476
"10","Blackwood",2021,"01","01",88.0285007966198
"11","Bothwellbank",2021,"01","01",38.3120775931339
"12","Carbarns",2021,"01","01",49.2018671908286
"13","Dalbeattie",2021,"01","01",0.440009056540059
"14","Daldowie",2021,"01","01",355.847799210055
"15","Dalmuir",2021,"01","01",43.6228921499437
"16","Dalscone",2021,"01","01",NA
"17","Dunfermline",2021,"01","01",41.9906871785948
"18","Dunnswood",2021,"01","01",67.9604851449751
"19","East Calder",2021,"01","01",37.6375812159074
"20","Falkirk",2021,"01","01",31.6161318951112
"21","Fauldhouse",2021,"01","01",30.3918252772577
"22","Fort William",2021,"01","01",0.201113648591938
"23","Galashiels",2021,"01","01",4.84046021533701
"24","Hamilton",2021,"01","01",18.7895643880733
"25","Harthill",2021,"01","01",11.3207593207968
"26","Hatton",2021,"01","01",39.878375837242
"27","Hawick",2021,"01","01",82.8924315929238
"28","Helensburgh",2021,"01","01",53.076389893779
"29","Inverclyde",2021,"01","01",117.889939738896
"30","Kirkwall",2021,"01","01",0.484915691205399
"31","Lanark",2021,"01","01",50.4050015740089
"32","Lerwick",2021,"01","01",0.222942440578559
"33","Levenmouth",2021,"01","01",27.0519172707575
"34","Linlithgow",2021,"01","01",44.0204946486106
"35","Lockerbie",2021,"01","01",9.89781063333373
"36","Mauldslie",2021,"01","01",26.1712955831858
"37","Maybole",2021,"01","01",NA
"38","Meadowhead",2021,"01","01",64.3196765495223
"39","Nairn",2021,"01","01",7.31726525026204
"40","New Cumnock",2021,"01","01",106.734795479532
"41","Nigg",2021,"01","01",70.5179471447566
"42","Peebles",2021,"01","01",7.83784119672187
"43","Philipshill",2021,"01","01",31.110720424095
"44","Seafield",2021,"01","01",96.6447097062045
"45","Shieldhall",2021,"01","01",57.8012955603054
"46","Shotts",2021,"01","01",31.0373983597843
"47","Stirling",2021,"01","01",14.9268410868729
"48","Stonehouse",2021,"01","01",20.7393106933073
"49","Stornoway",2021,"01","01",0.964723966023258
"50","Strathaven",2021,"01","01",27.1423126641691
"51","Swinstie",2021,"01","01",162.910989710358
"52","Troqueer",2021,"01","01",46.3398647780415
"53","Whitburn",2021,"01","01",37.8082162586993
"54","Winchburgh",2021,"01","01",10.9830100120249
"55","Allanfearn",2022,"01","01",59.8941497072324
"56","Allers",2022,"01","01",NA
"57","Alloa",2022,"01","01",155.882898587074
"58","Alva",2022,"01","01",197.129796672812
"59","Annan",2022,"01","01",35.4059483218442
"60","Ardoch",2022,"01","01",77.0680622478058
"61","Armadale",2022,"01","01",969.038970160788
"62","Banchory",2022,"01","01",66.4174886586659
"63","Banff",2022,"01","01",35.942684511365
"64","Bathgate",2022,"01","01",50.5188884921301
"65","Blackburn",2022,"01","01",49.1745594386534
"66","Blackridge",2022,"01","01",15.4124041711662
"67","Blackwood",2022,"01","01",44.9913111496468
"68","Blairgowrie",2022,"01","01",63.1239233161197
"69","Boness",2022,"01","01",163.583938077137
"70","Bothwellbank",2022,"01","01",182.939742834717
"71","Bowhouse",2022,"01","01",122.780664079313
"72","Buckie",2022,"01","01",30.1109926888515
"73","Carbarns",2022,"01","01",90.9429142844387
"74","Cumnock",2022,"01","01",210.818635988685
"75","Cupar",2022,"01","01",152.854814000538
"76","Dalbeattie",2022,"01","01",NA
"77","Daldowie",2022,"01","01",139.52079243447
"78","Dalmuir",2022,"01","01",113.57088833888
"79","Dalmuir - Auchinairn (6298)",2022,"01","01",288.56250322249
"80","Dalmuir - Auchinairn (6330)",2022,"01","01",54.4794978434484
"81","Denny",2022,"01","01",112.512196295002
"82","Dunblane",2022,"01","01",213.058830600274
"83","Dunfermline",2022,"01","01",85.6284287355588
"84","Dunoon",2022,"01","01",29.5639454523451
"85","East Calder",2022,"01","01",111.968457977829
"86","Erskine",2022,"01","01",108.295326507969
"87","Eyemouth",2022,"01","01",102.130379495423
"88","Falkirk",2022,"01","01",118.528406946371
"89","Fauldhouse",2022,"01","01",63.2861179254519
"90","Forfar",2022,"01","01",177.500334903117
"91","Fort William",2022,"01","01",33.670652025064
"92","Galashiels",2022,"01","01",41.8693709258458
"93","Girvan",2022,"01","01",75.2888424632125
"94","Guardbridge",2022,"01","01",22.7558320378867
"95","Haddington",2022,"01","01",58.0051416575513
"96","Hamilton",2022,"01","01",120.540907526945
"97","Harthill",2022,"01","01",56.0373283478461
"98","Hatton",2022,"01","01",114.675834832593
"99","Hatton - Fintry East",2022,"01","01",323.416159221063
"100","Hatton - Fintry North",2022,"01","01",107.246695060182
"101","Hatton - Fintry West",2022,"01","01",NA
"102","Hawick",2022,"01","01",85.6549878405904
"103","Helensburgh",2022,"01","01",221.492842571863
"104","Huntly",2022,"01","01",21.149015923348
"105","Inverclyde",2022,"01","01",113.619270600776
"106","Inverclyde - Gourock",2022,"01","01",137.341215668513
"107","Inverurie",2022,"01","01",101.517934087924
"108","Ironmill Bay",2022,"01","01",112.284569963202
"109","Jedburgh",2022,"01","01",18.0612774360144
"110","Kelso",2022,"01","01",49.7661387737545
"111","Kinneil",2022,"01","01",59.1126744729797
"112","Kirkcaldy",2022,"01","01",164.582328766304
"113","Kirkwall",2022,"01","01",87.9886504186165
"114","Lanark",2022,"01","01",36.2627731619516
"115","Langholm",2022,"01","01",44.5861482541164
"116","Largs",2022,"01","01",69.9283952685688
"117","Lerwick",2022,"01","01",NA
"118","Lesmahagow",2022,"01","01",97.1263690295104
"119","Levenmouth",2022,"01","01",107.08316728991
"120","Linlithgow",2022,"01","01",118.484312229301
"121","Lockerbie",2022,"01","01",NA
"122","Lossiemouth",2022,"01","01",64.8677510415855
"123","Mauldslie",2022,"01","01",28.403483597876
"124","Maybole",2022,"01","01",188.229798144423
"125","Meadowhead",2022,"01","01",62.3376703366159
"126","Meadowhead - Kilmarnock HMP",2022,"01","01",0
"127","Montrose",2022,"01","01",34.3133969295628
