,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,2021-09-37,2021-03-13,2020-12-50
Allanfearn,3.93915291510148,0.960749293233887,82.0134869273904,65.0297724650411,2.8608468531133,,66.6481554774152,2.449836921041,0,98.4874494284612,38.5982634414422,70.8519486159734,2.51648291138182,4.31673670341102,26.1830307674959,,30.3710693990346,0.61843433454897,0.220975216057237,59.8941497072324,20.6227107307796,20.2908282426471,,0,1.70122536383442,3.05795011740764,0.983289003608238,33.4633190601861,33.4687791957432,1.0073906539382,1.40762584165505,,8.01380152989745,,0.172317547790776,79.2472554106271,33.0270189606564,50.5234044771408,5.92883033012315,77.1919832427074,46.2771466882054,1.00873739417862,0,0.622165890044699,19.1922746532458,1.28782591792611,47.6974607328869,28.9608239173253,212.190769418464,6.80984446898472,,43.9735329408834,4.86084866042351,9.67066287452511,1.56016401786716,0.339574694260393,17.3348696450168,0.243161782235328,37.383988518718,3.99521112123551,0.463296082682007,,212.2053169941,12.4857454579265,2.54212411319869,19.6025050000472,0.141474000951368,0.225711264603927,16.899499952251,,29.2627673810817,47.6050774212304,1.34504848467565,4.43129464235113,35.7171158472085,31.6044438807922,,2.81635630445298,0,100.213825048926,37.9974165658486,20.0755947994991,7.81070790693549,19.1159938060422,80.903905078706,92.036578489542,33.8101626964089,,48.8418708849499,0.28047069693413,0.134870363279513,0.29761294223732,26.2135981107391,102.032507940162,0.84957277041789,1.13491327282962
Allers,,4.02544305140953,38.2953809726513,186.04553539193,,,101.458918668319,,,,164.194435090057,120.574832540456,,7.43739151303199,55.6374698023483,,,,,NA,29.7561450327089,2.57357246315077,,,,6.43389939142393,,58.3831924186824,56.4987356028531,6.59467809410659,,,,,,,135.114025350899,,,63.6426057662573,81.2784840944773,,,5.71276731557477,,,,47.4140443881294,,1.64571119942419,,154.110450578196,,40.7240234881936,,2.09511410579235,,,171.407029590003,1.75005463742309,,,481.842203831236,1.70079811178123,,,,,27.0073731134486,436.537383919496,,138.279789238229,5.17645654439367,5.14422586299947,,53.9882370524939,,,,416.310017355083,75.2403349053363,17.5189936984554,3.80763982054429,25.592075124154,,,,,77.1111057477107,1.13194272823204,,5.43630394234594,5.99830139750524,138.568487541837,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262513366664788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94684296954914,,,,,,,,,,,,,15.1124689580227,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,28.1476267444554,196.052387147754,64.1184096898483,,,,,,203.412535800372,48.0436653027671,52.0407799137056,,19.6421034782979,45.140730896547,,110.710591180656,,,155.882898587074,37.414443442444,19.1527002868717,,,,18.5199246295232,,54.1653714131437,60.9141202036594,10.6555270097018,,,,,,NA,50.9358252901004,76.6681592772931,,57.5119255685857,171.981371505426,,,8.71856976067917,56.8162997579839,,136.470548220529,38.6437708023528,197.041228042351,19.289356203084,3.26498125323666,76.8727096894043,,36.2702932294628,,14.5007129283085,41.7137319049896,,81.7919013681453,19.7515568031307,,,286.600514252199,17.3768110699446,117.32163532408,,,37.7469657261022,40.0935607037931,,98.2924676853684,60.5802579618024,5.23031566377508,10.8797293561637,184.763077431529,62.8415468775665,,,,259.50444367546,105.993688018459,43.7230577503659,14.148708761422,31.1848701914891,,111.327227257662,26.5492282170475,,,8.92391916241433,,18.7652510765777,48.4708792401079,109.17383855449,18.3834251442998,
Alness,,,,133.820158262578,,,,,,,10.7488791720698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4772710567823,,,,,,,,,,,,,,,,,,,,757.204913052181,,,,,,,,,,,,,,NA,,,,,,,,,,
Alva,,54.8271629365986,365.121635967237,269.562325005842,,,37.8665323415491,,,,140.107297607716,74.1542076180155,,2.57672946715485,,,,,,197.129796672812,112.157735612176,25.3484786984582,,,,42.6199035198157,,239.485853577147,123.915300225575,2.22131670158251,,,,,,,103.642812423935,,,72.5582867519418,,,,25.0273439199409,,,,85.8366087053101,203.593080941422,7.87046283136318,,61.2595950924499,,40.5664018446017,,5.35416461263613,,,122.583236013418,4.37767423855223,,,472.281857399713,6.80391687426338,,,,164.97036581372,90.3027582546,,324.084389820229,299.486029885966,2.06915571670474,12.9676942541287,187.964746852603,,,,,232.401017245912,42.9316345632367,,1.07636985417574,,,,33.5277326332885,,,4.16106587592746,,,,192.44238871814,5.91314504594831,
Annan,11.3574358371503,NA,22.0304056458841,153.691245929457,,,,1.34427798277468,,203.306673067502,24.9904346211112,411.08247701618,,0.271727089295733,19.43403256282,,34.3608570853678,0,,35.4059483218442,0.755534302325582,12.3565869844727,,,2.45526289047631,13.5498182638585,0,6.03644368211948,35.7358197485812,0.71315970637562,0.290956758802326,,1.21521301519774,,,17.4291002941599,18.7825995181884,42.5202190743915,0.522830227891067,24.1781035904431,163.420229903016,,,,41.8040529069767,0,,31.8261964460558,68.1689130651,5.4731274456213,,38.4536272054256,4.47702529459943,5.0846821659676,0,0,14.0005620444542,0,48.9703382647886,0,0,,309.857626874022,0.328458165753913,,1.41873920430787,,3.93141548714837,5.31484480594404,,84.8135899198448,130.190788290657,0.615694323289275,0,38.3471163243842,584.503094396656,0,0,,,,14.9957079268979,1.80058663820713,51.551074996722,,78.9647677728326,,,,1.31730683391325,0,,17.3143996359084,157.777603485696,NA,0
Ardoch,,4.02617018311901,33.3737966341268,42.1229730706115,,,30.4481910139184,,,,11.7440814878681,43.6683907692352,,0.211099194809722,,,,,,77.0680622478058,14.3347822570754,23.8057884820893,,,,2.9545276437649,,49.8108414141794,77.440696009604,1.4897191101039,,,,,,,20.4853198283792,,,5.30877109595417,,,,0.831948471022923,,,,13.6758939595908,NA,8.7837209525854,,35.3097196872285,,6.11648616644703,,1.17816651274587,,,37.2456387220246,3.05302070861207,,,NA,10.5218681130923,,,,1.19251025304469,5.91193938695766,24.1749672471127,63.129904252408,56.5613494029739,0.603310051665934,4.09481126039768,NA,,,,,8.20090667054161,17.8132524250453,,0.69280346828946,,,49.6085453648005,2.26409025636478,,,0.167403236463657,,3.14991252803364,,NA,3.79105339859893,
Armadale,,4.81720598469408,148.389976171694,104.356677478256,,,212.133845153324,,,,,149.794243283012,,6.54187268382316,15.6653027984353,,,,,969.038970160788,56.5517337323549,23.8355793740233,,,,30.8180190239666,,62.2422091284075,70.9989404867082,0.765175237653161,,,,,,,142.465885922323,,,,13.4292482677025,,,10.6774732661074,,,,93.909370060304,376.317493876987,9.62458645366894,27.1274511312883,126.512356819723,,45.2171081581932,,24.0521585046119,,,77.8936152185739,5.17501980042471,,,459.919400762875,6.88430818149162,3.55745946743707,,,7.65439327592417,13.7489984171793,,49.6551584675751,92.2606890059313,2.37191576558049,2.34003003832258,,6.35377709521636,,,,222.603164980537,,16.6279857856103,7.84170320586828,51.7089857071624,,52.4237724976607,118.706340523949,,173.534558557362,0.612923247140486,,1.51200816210694,34.8969704755303,251.541728659623,,
Aviemore,,0.512063324183814,158.764640471339,107.878938478025,,,110.007396202262,,,57.2420074554733,225.032075633315,289.60977097876,,,,,32.4912519532399,,,,,,,,,4.9173197183302,,81.4566676097587,NA,,,,,,,,,229.109409582915,,,,,,,,,NA,119.681466193584,138.197935924184,,,115.031095835105,,11.1437992700621,,,95.7107753296974,,2083.6440357625,,,,88.5183570863281,,,,,,,,31.1262231359672,135.499558371581,,,NA,,,,,,391.880831904805,,,,269.047876467659,,,,,,,,,NA,,
