HBNAME,Site,Date,Date Analysed,SW Sample Number,N1 Description,N1 Reported Value,N1 Sample 1,N1 Sample 2,N1 Sample 3,Calculated Mean,Standard Deviation,Flow (l/day),Ammonia (mg/l),pH Value,Modelled Flow (l/day),Million Gene Copies Per Person per Day,Analysis Lab,(Row Count)
Highland,Allanfearn,June 2020,(Empty),13953443,Negative,0,,,,,,19353600,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953444,Negative,0,,,,,,17020800,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953445,Negative,0,,,,,,22204800,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953446,Negative,0,,,,,,25228800,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953447,Negative,0,,,,,,24537600,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953448,Negative,0,945,,,945,,27820800,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953450,Negative,0,,,,,,28339200,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),13953453,Negative,0,,,,,,21772800,,,,0,SEPA,1
Highland,Allanfearn,June 2020,(Empty),,Negative,0,,,,,,,,,,0,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101192,Weak Positive,435,415.5113,460.3208,431.5919,435.808,22.7003182129679,24537600,23.38,7.3,24192852.7332174,0.172317547790776,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101193,Negative,0,,,,,,21945600,24.49,7.3,23358943.7570115,0,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101196,Weak Positive,868,539.2532,570.7977,1495.479,868.509966666667,543.200138475004,20217600,26.6,7.2,21943689.0846141,0.282948001902736,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101197,Weak Positive,898,,620.2521,1175.831,898.04155,392.853607674163,20390400,27.01,7.3,21691320.3272769,0.295069554628251,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101198,Weak Positive,820,1194.133,617.1841,649.3027,820.2066,324.227721793202,20822400,26.77,7.3,21838224.6741245,0.275204968059557,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101199,Negative,0,,,260.0656,260.0656,,29289600,24.06,7.5,23673968.5940696,0,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101200,Weak Positive,1074,1524.732,,624.0391,1074.38555,636.886057356577,23241600,21.33,7.2,25931399.2223162,0.402372606253505,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101201,Weak Positive,1414,,2078.846,749.5485,1414.19725,939.955276464325,23673600,21.6,7.2,25685894.7539362,0.539481453118051,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101202,Negative,0,,,,,,20995200,22.01,7.3,25323226.1771191,0,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101203,Negative,0,,,,,,23241600,25.16,7.3,22886990.2344863,0,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101204,Negative,0,,,2263.793,2263.793,,21168000,25.26,7.1,22818437.6200967,0,SEPA,1
Highland,Allanfearn,August 2020,(Empty),14101205,Weak Positive,1124,533.5688,502.9529,1098.705,711.742233333333,335.469030497516,19267200,24.47,7.2,23373380.3534991,0.220975216057237,SEPA,1
Highland,Allanfearn,September 2020,(Empty),14101206,Positive (DNQ),2353,3492.086,1669.706,1897.285,2353.02566666667,992.996416176984,20131200,27.81,7.1,21217763.3541235,0.763305783312385,SEPA,1
