,Localities_names
1,Aberchirder
2,Aberdeen
3,Aberdour
4,Aberfeldy
5,Aberfoyle
6,Aberlady
7,Aberlour
8,Abernethy
9,Aboyne
10,Addiewell
11,Airdrie
12,Airth
13,Alexandria
14,Alford
15,Allanton
16,Alloa
17,Almondbank
18,Alness
19,Alva
20,Alyth
21,Ancrum
22,Annan
23,Annbank
24,Anstruther
25,Arbroath
26,Ardersier
27,Ardrishaig
28,Ardrossan
29,Armadale
30,Ashgill
31,Auchenblae
32,Auchinleck
33,Auchinloch
34,Auchterarder
35,Auchtermuchty
36,Auldearn
37,Aviemore
38,Avoch
39,Avonbridge
40,Ayr
41,Ayton
42,Baile a'Mhanaich (Balivanich)
43,Balfron
44,Balintore
45,Ballachulish
46,Ballater
47,Ballingry, Lochore and Crosshill
48,Balloch
49,Balloch and Haldane
50,Balmedie
51,Balmullo
52,Banavie and Corpach
53,Banchory
54,Banff
55,Bankfoot
56,Banknock
57,Bannockburn
58,Bargeddie
59,Barrhead
60,Bathgate
61,Bearsden
62,Beauly
63,Beith
64,Bellsbank
65,Bellshill
66,Biggar
67,Bilston
68,Birkhill and Muirhead
69,Bishopbriggs
70,Bishopton
71,Blackburn (Aberdeenshire)
72,Blackburn (West Lothian)
73,Blackford
74,Blackridge
75,Blairgowrie
76,Blairhall
77,Blantyre
78,Bo'ness
79,Boddam
80,Bonhill
81,Bonnybridge
82,Bonnyrigg
83,Bothwell
84,Bowling
85,Bowmore
86,Braco
87,Brae
88,Braidwood
89,Brechin
90,Bridge of Allan
91,Bridge of Earn
92,Bridge of Weir
93,Bridgend
94,Brightons
95,Broadford
96,Brodick
97,Brookfield
98,Brora
99,Broxburn
100,Buchlyvie
101,Buckhaven
102,Buckie
103,Burghead
104,Burntisland
105,Burrelton
106,Busby
107,Cairneyhill
108,Calderbank
109,Caldercruix
110,California
111,Callander
112,Cambuslang
113,Campbeltown
114,Caol
115,Cardenden and Auchterderran
116,Cardrona
117,Cardross
118,Carfin
119,Cargenbridge
120,Carluke
121,Carmunnock
122,Carnock
123,Carnoustie
124,Carnwath
125,Carron
126,Carronshore
127,Carstairs
128,Carstairs Junction
129,Castle Douglas
130,Castletown
131,Catrine
132,Ceres
133,Chapelhall
134,Chapelton
135,Chirnside
136,Chryston
137,Clackmannan
138,Clarkston
139,Cleland
140,Clydebank
141,Coalburn
142,Coalsnaughton
143,Coaltown of Balgonie
144,Coaltown of Wemyss
145,Coatbridge
146,Cockenzie
147,Coldingham
148,Coldstream
149,Comrie (Fife)
150,Comrie (Perth and Kinross)
151,Conon Bridge
152,Coupar Angus
153,Cove Bay
154,Cowdenbeath and Lumphinnans
155,Cowie
156,Coylton
157,Crail
158,Creetown
159,Crieff
160,Crimond
161,Cromarty
162,Crook of Devon
163,Crossford (Fife)
164,Crossford (South Lanarkshire)
165,Crossgates
166,Crosshill
167,Crosshouse
168,Croy
169,Cruden Bay
170,Cullen
171,Culloden
172,Cumbernauld
173,Cuminestown
174,Cumnock
175,Cupar
176,Dailly
177,Dalbeattie
178,Dalgety Bay
179,Dalkeith
180,Dalmellington
181,Dalry
182,Dalrymple
183,Danderhall
184,Darnick
185,Darvel
186,Dechmont
187,Denholm
188,Denny
189,Dennyloanhead
190,Dingwall
191,Dirleton
192,Dollar
193,Dornoch
194,Douglas
195,Doune
196,Dreghorn
197,Drongan
198,Drumnadrochit
199,Drumoak
200,Drymen
201,Dufftown
202,Dullatur
203,Dumbarton
204,Dumfries
205,Dunbar
206,Dunbeg
207,Dunblane
208,Dundee
209,Dundonald
210,Dunfermline
211,Dunipace
212,Dunkeld and Birnam
213,Dunlop
214,Dunning
215,Dunoon
216,Duns
217,Duntocher and Hardgate
218,Dyce
219,Eaglesfield
220,Eaglesham
221,Earlston
222,East Calder
223,East Kilbride
224,East Linton
225,East Wemyss
226,East Whitburn
227,Eastfield
228,Eastriggs
229,Ecclefechan
230,Edinburgh
231,Edzell
