HBNAME,Site,Date,Date.Analysed,SW.Sample.Number,N1.Description,N1.Reported.Value,N1.Sample.1,N1.Sample.2,N1.Sample.3,Calculated.Mean,Standard.Deviation,Flow..l.day.,Ammonia..mg.l.,pH.Value,Modelled.Flow..l.day.,Million.Gene.Copies.Per.Person.per.Day,Analysis.Lab,X.Row.Count.,logMillion
Highland,Allanfearn,2020-06-01,(Empty),13953443,Negative,0,NA,NA,NA,NA,NA,19353600,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-02,(Empty),13953444,Negative,0,NA,NA,NA,NA,NA,17020800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-04,(Empty),13953445,Negative,0,NA,NA,NA,NA,NA,22204800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-08,(Empty),13953446,Negative,0,NA,NA,NA,NA,NA,25228800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-09,(Empty),13953447,Negative,0,NA,NA,NA,NA,NA,24537600,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-10,(Empty),13953448,Negative,0,945,NA,NA,945,NA,27820800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-15,(Empty),13953450,Negative,0,NA,NA,NA,NA,NA,28339200,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-19,(Empty),13953453,Negative,0,NA,NA,NA,NA,NA,21772800,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-06-30,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Highland,Allanfearn,2020-08-07,(Empty),14101192,Weak Positive,435,415.5113,460.3208,431.5919,435.808,22.70032,24537600,23.38,7.3,24192852.7,0.1723175,SEPA,1,-1.7584162962
Highland,Allanfearn,2020-08-10,(Empty),14101193,Negative,0,NA,NA,NA,NA,NA,21945600,24.49,7.3,23358943.8,0,SEPA,1,-5
Highland,Allanfearn,2020-08-14,(Empty),14101196,Weak Positive,868,539.2532,570.7977,1495.479,868.51,543.2001,20217600,26.6,7.2,21943689.1,0.282948,SEPA,1,-1.2624921371
Highland,Allanfearn,2020-08-17,(Empty),14101197,Weak Positive,898,NA,620.2521,1175.831,898.0416,392.8536,20390400,27.01,7.3,21691320.3,0.2950696,SEPA,1,-1.220544172
Highland,Allanfearn,2020-08-18,(Empty),14101198,Weak Positive,820,1194.133,617.1841,649.3027,820.2066,324.2277,20822400,26.77,7.3,21838224.7,0.275205,SEPA,1,-1.2902391205
Highland,Allanfearn,2020-08-19,(Empty),14101199,Negative,0,NA,NA,260.0656,260.0656,NA,29289600,24.06,7.5,23673968.6,0,SEPA,1,-5
Highland,Allanfearn,2020-08-21,(Empty),14101200,Weak Positive,1074,1524.732,NA,624.0391,1074.386,636.8861,23241600,21.33,7.2,25931399.2,0.4023726,SEPA,1,-0.9103767384
Highland,Allanfearn,2020-08-24,(Empty),14101201,Weak Positive,1414,NA,2078.846,749.5485,1414.197,939.9553,23673600,21.6,7.2,25685894.8,0.5394815,SEPA,1,-0.6171468728
Highland,Allanfearn,2020-08-25,(Empty),14101202,Negative,0,NA,NA,NA,NA,NA,20995200,22.01,7.3,25323226.2,0,SEPA,1,-5
Highland,Allanfearn,2020-08-26,(Empty),14101203,Negative,0,NA,NA,NA,NA,NA,23241600,25.16,7.3,22886990.2,0,SEPA,1,-5
Highland,Allanfearn,2020-08-28,(Empty),14101204,Negative,0,NA,NA,2263.793,2263.793,NA,21168000,25.26,7.1,22818437.6,0,SEPA,1,-5
Highland,Allanfearn,2020-08-31,(Empty),14101205,Weak Positive,1124,533.5688,502.9529,1098.705,711.7422,335.469,19267200,24.47,7.2,23373380.4,0.2209752,SEPA,1,-1.5097047283
Highland,Allanfearn,2020-09-01,(Empty),14101206,Positive (DNQ),2353,3492.086,1669.706,1897.285,2353.026,992.9964,20131200,27.81,7.1,21217763.4,0.7633058,SEPA,1,-0.2700965635
Highland,Allanfearn,2020-09-02,(Empty),14101207,Weak Positive,2912,2101.292,1271.667,5364.819,2912.593,2163.823,20908800,25.51,7.2,22649122.9,0.981321,SEPA,1,-0.0188556734
Highland,Allanfearn,2020-09-04,(Empty),14101208,Positive (DNQ),7868,5364.819,8090.423,10149.9,7868.381,2400.256,23155200,24.64,7.2,23251325.6,2.935865,SEPA,1,1.0770022267
Highland,Allanfearn,2020-09-07,(Empty),14101209,Positive (DNQ),2825,4286.309,2071.09,2117.861,2825.087,1265.672,23760000,24.83,7.1,23116649.8,1.081634,SEPA,1,0.0784731055
Highland,Allanfearn,2020-09-08,(Empty),14101210,Positive (DNQ),7171,8785.928,6468.17,6257.574,7170.557,1402.909,20217600,24.83,7.1,23116649.8,2.336064,SEPA,1,0.8484674634
Highland,Allanfearn,2020-09-09,(Empty),14101211,Weak Positive,379,355.8407,396.3597,385.6662,379.2889,20.99881,31622400,15.95,7.2,32306214.8,0.1932712,SEPA,1,-1.6436608844
Highland,Allanfearn,2020-09-11,(Empty),14101212,Weak Positive,1006,1819.623,625.595,573.238,1006.152,704.9728,19872000,28.93,7.2,20593589,0.3221865,SEPA,1,-1.1326245722
Highland,Allanfearn,2020-09-14,(Empty),14101213,Weak Positive,1302,NA,2042.13,561.6535,1301.892,1046.855,33955200,12.54,7.2,38751198.9,0.7123335,SEPA,1,-0.3392090239
Highland,Allanfearn,2020-09-15,(Empty),14101214,Positive (DNQ),1686.306,1643.481,1575.963,1839.472,1686.305,136.8747,22636800,21.15,7.1,26098123.1,0.615111,SEPA,1,-0.4859525886
Highland,Allanfearn,2020-09-16,(Empty),14101215,Weak Positive,325,321.4876,322.6038,331.6575,325.2496,5.577369,24710400,22.67,7.3,24763690.9,0.1295087,SEPA,1,-2.0440075129
Highland,Allanfearn,2020-09-18,(Empty),14101216,Weak Positive,1142,1080.801,1208.601,1139.496,1142.966,63.97062,21513600,25.64,7.2,22562225.9,0.3962312,SEPA,1,-0.9257575002
Highland,Allanfearn,2020-09-21,(Empty),14101217,Negative,0,NA,NA,1951.948,1951.948,NA,22118400,23.76,7.3,23899672.6,0,SEPA,1,-5
Highland,Allanfearn,2020-09-22,(Empty),14101218,Positive (DNQ),5866.5,5604.018,5658.687,6337.71,5866.805,408.7307,22464000,24.74,7.2,23180217.2,2.123689,SEPA,1,0.7531547889
Highland,Allanfearn,2020-09-23,(Empty),14101219,Positive (DNQ),5874.561,5486.879,6262.244,2617.136,4788.753,1920.218,24105600,22.82,7.2,24640494.4,1.860127,SEPA,1,0.6206447905
Highland,Allanfearn,2020-09-25,(Empty),14101220,Positive (DNQ),5033,4642.689,5108.217,5348.105,5033.004,358.6725,20304000,25.88,7.3,22403816.8,1.646687,SEPA,1,0.4987654322
Highland,Allanfearn,2020-09-28,(Empty),14101221,Positive (DNQ),1544.849,1913.062,1181.031,1540,1544.698,366.0381,19785600,28.78,7.3,20674706.8,0.4924872,SEPA,1,-0.708286825
Highland,Allanfearn,2020-09-29,(Empty),14101222,Positive (DNQ),2678.08,2866.965,2688,2479.517,2678.161,193.9113,20476800,27.15,7.3,21606680.2,0.883692,SEPA,1,-0.1236466532
Highland,Allanfearn,2020-09-30,(Empty),14101223,Positive (DNQ),1365.812,2341.86,881.9209,873.0918,1365.624,845.4565,21772800,NA,NA,NA,0.4791238,SEPA,1,-0.7357963094
Highland,Allanfearn,2020-10-02,(Empty),14101224,Positive (DNQ),1982.109,1976.202,802.2729,1988.233,1588.903,681.268,39398400,11.9,7,40317166.9,1.008737,SEPA,1,0.008699444
Highland,Allanfearn,2020-10-05,(Empty),14101225,Positive (DNQ),5518.094,7523.097,6074.878,2956.589,5518.188,2333.598,44496000,9.22,7,48898256.5,3.956578,SEPA,1,1.37537941
Highland,Allanfearn,2020-10-06,(Empty),14101226,Positive (DNQ),3495.934,3418.671,3524.048,3544.884,3495.868,67.66096,41817600,12.81,7.1,38131925.2,2.35568,SEPA,1,0.8568294296
Highland,Allanfearn,2020-10-07,(Empty),14101227,Positive (DNQ),3004.048,2971.784,1219.365,6321.142,3504.097,2592.21,37843200,15.11,7.3,33655405.5,2.136811,SEPA,1,0.7593146798
Highland,Allanfearn,2020-10-12,(Empty),14101229,Positive (DNQ),2650,3653.996,1991.874,2304.257,2650.042,883.3675,25401600,23.62,7.2,24006722.4,1.084716,SEPA,1,0.0813183369
Highland,Allanfearn,2020-10-13,(Empty),14101230,Positive (DNQ),2630.059,2733.511,2745.348,2411.494,2630.117,189.4262,40694400,13.17,7.1,37341018.2,1.724694,SEPA,1,0.5450494951
Highland,Allanfearn,2020-10-14,(Empty),14101231,Positive (DNQ),4750.236,3368.383,6302.973,4580.063,4750.473,1474.698,42940800,10.72,7.1,43630186.9,3.287072,SEPA,1,1.1899971342
Highland,Allanfearn,2020-10-16,(Empty),14101232,Positive (DNQ),8390.008,8776.321,8315.79,8077.935,8390.016,355.0601,27388800,22.2,7.2,25159154.8,3.702866,SEPA,1,1.309107116
