,2021-12-14,2021-11-02,2021-02-15,2021-08-26,2021-01-07,2021-03-30,2020-12-06,2020-08-12,2021-06-23,2021-03-02,2020-10-14,2021-08-18,2021-09-17,2021-02-09,2020-09-30,2020-06-04,2021-03-25,2020-07-06,2021-12-01,2021-06-08,2020-08-03,2022-01-05,2021-03-08,2021-06-29,2021-06-10,2021-01-15,2021-09-24,2021-04-16,2021-08-12,2021-02-03,2020-07-27,2021-01-21,2021-04-08,2021-07-09,2021-07-30,2020-06-10,2020-09-24,2021-09-08,2021-05-31,2021-12-13,2022-01-10,2021-11-05,2020-09-09,2021-02-12,2020-12-01,2021-10-21,2021-04-06,2021-07-07,2021-05-12,2021-09-30,2021-08-02,2020-11-23,2021-11-18,2020-12-14,2021-05-24,2021-06-03,2021-04-30,2020-08-31,2020-08-08,2021-11-21,2021-09-14,2021-07-27,2021-03-01,2020-11-03,2021-06-19,2021-11-16,2020-10-21,2020-07-03,2021-03-20,2021-12-04,2021-10-07,2021-09-01,2021-02-22,2020-12-08,2020-11-30,2021-05-19,2020-10-05,2020-09-21,2020-11-11,2020-08-26,2020-09-18,2021-08-09,2020-12-29,2020-06-15,2022-01-13,2021-02-11,2021-12-10,2020-12-02,2021-02-28,2021-07-20,2021-09-13,2021-10-19,2020-11-04,2021-03-06,2021-03-29,2021-06-04,2020-10-28,2021-05-23,2021-06-14,2021-10-13,2021-09-20,2021-04-12,2021-01-11,2021-05-06,2021-08-16,2021-12-28,2021-12-07,2021-07-12,2021-03-23,2021-11-15,2020-10-22,2020-08-05,2021-11-09,2021-06-30,2020-08-19,2021-04-21,2021-02-27,2021-04-02,2021-10-25,2021-03-10,2021-08-06,2020-11-27,2020-07-15,2020-06-23,2020-09-17,2021-12-15,2021-11-03,2021-03-31,2021-08-27,2020-12-07,2021-01-06,2021-10-08,2020-08-13,2021-07-23,2021-03-05,2021-09-29,2021-01-18,2021-06-24,2020-06-03,2021-09-10,2020-10-13,2021-06-09,2021-03-24,2021-11-12,2020-07-07,2021-10-14,2022-01-06,2021-09-27,2021-08-11,2021-04-15,2020-11-09,2020-12-31,2021-07-08,2021-04-09,2021-01-20,2020-06-28,2020-09-25,2020-10-01,2020-08-22,2021-10-01,2021-02-24,2021-09-07,2021-04-22,2020-09-06,2021-07-06,2021-04-07,2021-10-20,2021-03-15,2021-05-13,2021-08-03,2020-07-10,2020-06-26,2021-11-22,2020-12-17,2021-05-27,2021-12-09,2021-06-21,2021-09-15,2021-07-26,2021-06-18,2020-11-02,2020-10-16,2020-06-06,2021-11-11,2020-10-26,2021-07-16,2021-02-23,2021-01-08,2021-10-06,2020-09-01,2020-12-09,2021-01-27,2020-09-22,2020-10-06,2020-08-25,2021-10-29,2020-11-12,2020-06-16,2021-08-23,2021-02-10,2022-01-12,2020-12-03,2020-08-17,2021-11-07,2021-05-10,2021-07-05,2021-03-16,2020-11-18,2020-09-28,2020-09-11,2020-07-13,2021-07-19,2020-10-29,2021-09-23,2021-07-29,2021-05-05,2021-02-04,2021-06-17,2020-06-09,2021-01-12,2020-10-19,2020-07-20,2021-05-28,2021-12-06,2021-03-22,2021-07-13,2020-10-23,2020-07-01,2020-12-18,2021-09-03,2021-04-26,2021-02-19,2021-10-05,2020-09-02,2020-05-28,2021-02-20,2021-03-11,2021-05-17,2020-09-16,2020-08-28,2021-07-02,2020-07-14,2020-06-22,2020-11-26,2021-12-16,2021-04-28,2021-02-17,2021-08-24,2020-12-04,2021-01-05,2020-08-10,2021-12-20,2021-03-04,2021-09-28,2021-06-25,2021-01-19,2021-07-22,2020-11-06,2020-10-12,2020-06-02,2021-08-31,2021-05-21,2021-11-24,2020-12-11,2020-07-08,2021-04-14,2021-02-01,2020-12-30,2021-08-10,2022-01-07,2021-10-15,2021-01-17,2021-03-18,2020-10-02,2020-11-16,2020-08-21,2021-01-23,2021-02-25,2021-09-06,2020-09-07,2021-04-23,2021-07-01,2021-03-12,2021-01-29,2021-10-27,2021-05-14,2021-08-04,2020-11-25,2020-09-15,2020-07-17,2020-10-31,2021-11-23,2021-05-26,2021-12-08,2021-06-01,2020-12-16,2021-09-16,2021-02-08,2021-03-03,2021-08-19,2021-06-22,2020-10-15,2021-11-29,2021-11-10,2021-03-26,2020-10-27,2021-06-28,2021-05-03,2022-01-04,2021-06-11,2021-03-09,2021-02-02,2021-08-13,2021-01-14,2021-10-28,2021-01-26,2020-09-23,2020-10-07,2020-08-24,2020-11-13,2020-06-17,2021-11-04,2021-09-09,2020-09-08,2022-01-11,2021-08-20,2020-08-14,2021-05-11,2021-03-17,2021-04-05,2020-12-21,2020-11-19,2020-09-29,2021-10-22,2020-06-24,2020-09-10,2020-11-20,2021-06-02,2020-12-15,2021-05-25,2021-11-19,2020-08-09,2021-06-16,2021-05-04,2021-02-05,2021-01-13,2022-01-03,2021-10-11,2021-09-22,2021-07-28,2020-06-08,2021-04-10,2021-11-17,2020-08-07,2020-06-30,2020-10-20,2021-07-10,2021-02-18,2021-10-04,2021-04-27,2021-09-02,2020-05-29,2021-02-21,2021-12-19,2020-09-03,2021-01-25,2020-11-10,2021-05-18,2020-09-20,2021-12-17,2021-11-01,2021-01-04,2021-04-29,2021-08-25,2021-02-16,2020-08-11,2021-10-18,2021-07-21,2021-04-19,2020-07-28,2021-03-07,2020-06-01,2021-11-25,2021-06-07,2021-08-30,2021-05-20,2020-12-10,2021-09-21,2021-04-13,2021-12-29,2021-06-15,2021-05-07,2021-10-12,2021-08-17,2021-02-06,2021-11-30,2021-01-22,2021-03-19,2020-11-17,2020-08-20,2021-11-08,2021-02-26,2020-08-18,2020-09-04,2021-04-20,2021-10-26,2021-04-01,2021-08-05,2020-11-24,2020-10-30,2020-09-14,2020-10-09,2020-06-19
Allanfearn,,,2.7342046209,,,0.3121301658,,,1.5273222807,,1.1899971342,3.3464659345,4.6951024733,,-0.7357963094,-5,,,4.3932620933,,,,2.2314228869,3.3989489514,-0.6651793262,3.6612125274,4.1946469339,,,2.8709921246,,,,4.3054587235,4.3885713172,-5,,4.5519414047,-0.4745485176,2.3222336672,3.8648781624,0.1643991388,-1.6436608844,,0.4111004909,3.582640613,1.8317104989,3.8770524639,0.7366859135,,3.2788564141,-5,,0.9596222536,,,,-1.5097047283,,,4.6109437689,4.6709603084,,2.2736589748,,,1.047523097,,,,,5.3132564794,3.6305948941,-5,0.9228622566,-1.2561620384,1.37537941,-5,0.224810543,-5,-0.9257575002,,,-5,,,2.2890137517,0.0203850167,,3.2548702083,4.5654775112,3.2351167224,0.7406237966,,NA,-1.2009450017,-5,,0.1763630924,3.891909657,3.7351603864,0.1197884833,3.8607999513,,2.5735657529,,4.4201079699,3.7791613297,2.806787621,4.1954153969,,,,,-5,,1.7137313742,-1.2119614883,3.3688617724,2.8371911868,2.5039954394,,,,,4.2046642325,3.4428142456,-1.1001744793,5.0107931914,-0.6927511487,3.5818041927,3.3073847545,,3.4602372602,1.4886917857,3.7600823792,3.9269684043,,,4.486855167,0.5450494951,-5,2.5708014143,3.7567457975,,3.5067234921,3.8802688729,,2.7560255695,,0.1141950943,,,1.3491241362,2.2014008395,,0.4987654322,,,3.8885879549,2.0592833148,6.1328987674,,,4.4006778246,0.6350020943,3.2993844471,2.4503586676,2.3399293551,2.7588276152,,,4.2146412338,,,1.831194243,0.8361397592,,3.6747205667,0.8933430335,1.5747151993,1.309107116,,,1.7349497868,3.6892198577,2.8017082297,,3.0681910865,-0.2700965635,-5,,0.7531547889,0.8568294296,-5,4.7798300277,,,4.2707855658,3.4329794225,NA,,-1.220544172,,-0.2528823684,4.375968371,0.3685017066,1.1471340387,-0.708286825,-1.1326245722,,,,,,,,,-5,3.2808456956,-0.2444650867,,-0.4363389738,4.3396713663,1.4835290511,3.4078194509,3.0524416825,,,NA,,3.485017973,3.6628365491,-0.0188556734,,,,-0.7165793094,-2.0440075129,-5,3.4973259829,,,,,-0.6034096651,1.9171476924,4.1253399029,0.2884867035,3.1548965345,-5,4.3725727801,,3.3492817011,2.8300369537,3.0746541216,3.3842090505,1.0302987916,0.0813183369,-5,4.6073061537,-5,,1.3961097908,,,,,2.2720214297,,4.4446163119,,,0.008699444,0.8511924187,-0.9103767384,,,5.320046842,0.0784731055,1.0511176835,,3.5600423842,3.0357731361,4.5771048167,1.39150165,2.6933753255,2.7620463406,-0.4859525886,,,4.1333995739,-5,,-0.977570365,0.9056495652,,3.0661171896,,,2.6961999166,,4.5221860903,3.521500459,2.7664171913,0.7854224045,3.6293338483,-1.2064491435,4.2676122371,0.8620738274,2.9764352413,2.7927537106,3.4701220488,,,2.8573273966,0.6206447905,0.7593146798,-0.6171468728,1.0045286221,,,,0.8484674634,,4.1643139853,-1.2624921371,,0.5041876679,,,,-0.1236466532,,,,,-5,,-0.9879867908,,,1.1447261264,,3.2675267257,4.278033255,NA,,4.8372832496,3.6846063558,-5,,3.3613767747,-1.7584162962,-5,1.9816270185,,,,0.7622783008,5.3998413236,,,,,,,-1.0534920495,,,4.218813396,3.5674008188,,4.7046482746,3.3203056792,,3.8150624409,3.3536816468,,,,-5,,,,,,4.3096796772,-0.1193209377,,1.6963611161,2.7293000027,3.5433677717,2.7486210489,,,3.1484182159,2.5293753386,1.8446469077,,3.5697556752,,-1.2902391205,1.0770022267,,4.4151217983,,,0.6700234145,4.2562939476,-0.3392090239,,-5
Allers,,,,,,,,,,,,,,,,,,,,,,,,,1.3926349797,,,,,,,,0.5596470088,4.7922705771,4.6196539744,,,,1.74270355,5.1010513054,,,,,,,,,,,,,,,,,1.6441207574,,,,,,1.637874894,,,,,,,,,,3.296109907,,,,,,,,,,,,,,,,,,,,,,,,,,1.8615807917,,,,,1.3370095275,,,,,,4.9292790909,,,,,,,,,,,,,,,,,,,,,,,,3.8589184799,,,,,,6.1776166825,,,0.5310976184,,,,,,,1.8862629744,,,,,,,,,,4.3452473136,,,,,,,,,2.0065201843,,,,5.2259914577,,,,,,,,,,,,,4.3206874556,,3.9887661905,,,,,,,,,,,,,,,,,,,,,,,,,,4.153283148,,,,,,,,,,5.0376695569,,,,,,,,,,,,,0.9452949971,,,,4.9061190542,,,,,,,,,,,,,,3.706818176,4.0188568916,,,,,,0.1239353851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7396080177,,,,4.9313646983,1.7914763287,,,,,,,,,,,NA,,,2.8632856466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3978813332,,,,,,,,,,,,,,,,,,,,3.2422827381,,,,,4.0342182592,,,,3.3930356664,,4.0670280474,,,,,,,,6.0314302167,,,,,6.0788740163,,,,,,,,0.4981726309,,,5.1440410181,,,,,3.6453292877,1.6930994076,,,,,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3773593743,,,,,1.965214005,,,,,,,,,,,,,,-1.8069762961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0206917455,,,,,,,,,,,,-1.7029569377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7155201619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8387940902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.719180069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,4.1444540235,,,3.8418248323,,,,,1.9915312293,,4.4904316643,,,,,3.5448338112,,,,,,2.3828215455,,3.0501517718,,,,,2.7037713956,,3.069981566,2.042298305,,,,,5.3056762013,2.1654552062,,,,,,,4.1711701485,NA,,,5.2190743418,,,4.4979284589,,2.6741978157,,,,,,4.8447504396,,2.603101094,,,3.4445654379,,,,,,5.2834129862,3.5148783342,,,,,,,,,4.3514936154,,,5.4360941619,,,,,,,,,,2.9808015948,,,,2.4456335391,4.3207946444,4.0519923275,2.4037892528,4.1777579419,3.0651307067,4.884779191,,,4.6633795453,2.1480825935,,,,4.662613194,3.2790006782,,,,,,3.3291749892,3.7021083831,,,,,,,2.836926774,,,4.7681070186,,,,,,,3.9454036974,,,,,,,,,5.0657503929,,3.5845830137,2.5284507837,,,3.9024148693,,3.4776803696,,,,,,3.8980592056,,,,3.9992948937,,,1.8909574875,,3.7587503984,,,,,,4.342150933,,,,,,,,4.0547598575,,,3.6206590099,,,,,2.5661623941,,,,,,,5.6028477334,3.7754763417,,,,,,,2.1502829443,,,,,,,,,,,3.2387565782,,5.8900194647,,,,,2.1892025546,,,,,,1.8243322838,2.8820375926,,,,,,,,,3.9305665127,,,,3.8721102912,,1.7446794132,,,3.1870942311,,NA,,,,,3.6988528134,,,,,2.5560120041,,,,,4.2837266964,,,,4.7617116588,,,,,,,,5.9181511942,,,,,,,3.0169215854,,,,,,3.9084146883,NA,,,4.1826849219,4.5138891006,3.9763767203,2.4686831584,,3.0370365134,,,,,,,,5.0321779944,,2.9289173847,,,,5.5641459661,,,,,,,4.0732072318,,,3.7703955533,,,2.9368258076,3.7531461684,3.4593030285,1.183254021,,,,,,,3.6309050943,5.1305001873,,,,,1.9257298502,,4.4921395755,,3.6325776212,,,,,,,,,,4.4849064536,4.5879473984,2.1571501213,,,,,,3.8990180329,,1.6021123995,,,,,-0.1674355262,4.9099118942,,,3.7736690247,3.6078486463,,,,,4.3620395945,3.5603840484,5.5587738264,,,,2.124353088,,,,,,,4.7124738578,4.4005560539,,,,,,,,,4.8767418181,2.9320068125,,,,,,
Alness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.186651579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2168582375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.896496796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0686381498,,,,,,,,,,,,,,,,,,,,,2.5330945732,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0252428321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,5.4157521927,4.9483753623,,,,1.5417028656,,,,1.9406308002,,,,,,,,,,,,5.2838623781,1.6881934448,,3.5344723585,,,,,,,,,,,,,,3.2199689839,,,,,,,5.379377146,1.6433442713,,,5.2362544285,,,6.1797313616,,,5.1057658566,0.0505344081,,,,5.3182095211,,2.9429772045,,,4.7545366068,,,,,,5.3161233005,4.355238476,,,1.9412821925,,,,,,,,,,,,,,,,,,,,,,,2.9238530528,,4.2843901941,1.1093477943,,-0.3306917534,,,4.1151204917,3.7596089566,1.5631764697,,,,4.7306387581,3.5123729362,,,,,,,,,,,,,,1.9676366785,,,,,,,,,,3.3843631662,,5.0152761903,,,,,,,,,,,,,3.6115117204,1.2761752689,,,,,,,,6.676914634,,,4.7121073984,,,2.0265424168,,,,,,,,,,,3.9189299021,,,,,4.8812743785,,,4.6320080042,,,,,,,,,,,,,,,,,,,,2.0984006983,,,,,5.0095481406,,,3.2342185004,,,4.1991090184,,,,,2.0590369901,,2.1785934483,,,,,,,5.1083808222,,,,,,,,,4.6409504918,,,,4.0126450292,,,,,,,,,,,,,,,,,0.3033973877,,,,,,,,,,,,,,,,,,,,,,,,0.4708947799,,,,,,5.4179799353,1.0542812017,,,,5.1977592622,,,,3.9441726823,,,,,,,,,,3.8130257224,,,,5.9608058627,,,,,,,4.6717516984,,,,,,1.267519963,,,,,,,,,,,,,,,,0.3606860732,,,,,,,,,,,,,,4.0760643095,5.7810039443,1.1270307578,,,,,,,,,,,,,,,,,5.5686672106,3.0835692269,,,,,5.7484414422,4.32250752,5.4484644021,,,,0.3437693969,,,,,,,,,,,,,,,,,5.8357479039,,,,,,,
Annan,,,,5.3147155438,6.370762075,,,,,-5,,,,,,,,,,,,,2.51418928,,NA,,,,,,,,,,,,,,,,,,,,-5,,-5,,,,,,,,-5,1.3689995359,,,,,,,,1.4989588291,,,,,,,,4.2219886408,NA,,,,,,,,,,,,,,3.6494530271,,,,5.0611864686,,,,NA,,,,,3.3043697378,,-0.3380498915,,,,,,,-1.1133457985,4.8690009768,,,,,-5,,,,3.092423574,,,,,,,,,,,-5,,,,,,,,,,,0.2958570531,,,,,,,3.6466793314,,,,,,,,,,,,,,5.7361129238,,,,,1.7978150442,1.6998501981,,2.6390974748,,,5.0349456934,,,,,,,,,,,,,,1.6705038121,,4.4404557884,-5,,,,-5,,,,,,2.8515385042,,,,,-1.3029570646,6.0187938684,,,-5,,,3.4602897383,,,,0.5881125219,,,,,,,,,,,,,,,-0.485004667,,,,-5,,,0.2755893751,,,,,,-0.6484984797,,,,,,,,2.85814124,,,,,,,,,,,,,,,,,3.7329932943,,4.4531513323,,,,,,,,,-5,,2.9329308837,,3.9425730637,,,,,-5,,,,,,,,,,,,1.6262325233,,,,,0.3497685929,,,3.5668798377,,,,,,,,-1.234580618,,-5,,,,,,,,,,,,,,,,,,2.4298726693,,,,,,,,2.707764022,5.0963249808,,,,,,,,,,0.1949193826,,,,,,,-0.2803300948,,,,0.8982338392,,,3.2184931365,3.5761535401,,,,,,,,,,,,,,,,,3.1854474133,,,2.606373135,,2.6694531857,3.5369180411,,4.3690017754,2.967025785,,,,3.8912147733,,,,,,,,,,,,
Ardoch,,,,,,,,,2.2720982424,,,,NA,,,,,,,1.3250699286,,,,0.8171730254,,,,,,,,,,,,,,,-0.1839847739,,,3.8889911283,,,,3.216679017,0.8454082867,,-0.8622799578,NA,,,,,0.7878551822,,,,,,,3.546107463,,,,,,,,,,NA,,,,-5,,,,,,,,,,,,,,,,,,,1.3326439221,,,,,,1.6693603764,0.0757540723,,,,,,2.8799426985,2.8337266372,4.0383628934,,,,,,,,1.1473746836,,,,,,,,,,,,,,,,2.615634718,1.4973676115,,,0.9294993004,,,,,,2.0635516598,,,,,,,,,3.0972149258,,,,,,,,,,,,4.1774681681,,4.3131660233,,,,,,3.7405932705,,-1.8473308365,2.290840765,,NA,,NA,,,,,,,1.4349000479,,,,,,,,,2.8604803593,,,,,,,,,-5,,,,,,,,,,3.2664581462,-5,,,,,,,,4.1065398251,1.3950082853,,,,,,-1.2200724861,2.1615743535,,,,,2.6841658606,-1.0942026068,,,,,,,2.4633494105,-0.0927609625,,,,,,,1.3136471823,,,,,,,,2.1042447177,,,,,,,,,4.4028559223,,,1.9145072675,,,,,2.0313868798,NA,,,3.0197085237,3.4954645167,,,,,,,,,,,,0.1760605417,,,,,,,,3.9041631045,,,,,,4.282928497,1.4562615386,,,,,,,,,,,,,NA,,,,,,,1.3289599417,,,,,,,,,,,4.0322796134,,,0.326138265,,,,,,,,,,,,,,2.9949702166,4.1451945757,,,,,,,,,,,,4.6636261089,,,,,,,,,,,,,,,,,,0.6422437892,3.1853176865,1.0833387883,,,,,,,2.3780493135,,,4.1989656827,,,,,3.8974711694,,,,,,,
Armadale,,4.2853976969,NA,,,,,,4.2627755581,0.8225332014,,,,,,,2.0000501601,,,,,6.876304828,,,,,,,,,,2.7514482538,,,,,,6.1310512584,2.36813622,,,,,,,,1.9112213889,,,,,,4.6369890602,1.2690466574,,,,,,,5.6359484814,4.2949534215,,,,4.3980024311,,,,,,,,,,,,,,,,,,,,,,,,4.0254102412,,,,,,,,,3.4563821866,,,-0.0774116159,,,,,4.8403399858,,,,,,4.2137239545,,,,,0.5720796145,,,,,,,,,,,,,,,,4.8814029232,,,,,,,,1.6586179879,1.8530410703,,,,,,,,,,,,,,,,,5.1563767643,,,,,5.009262641,1.2777893554,4.6246040273,,,,,,,,3.7390054926,,2.966685606,,,,,,,4.4793732658,,,2.4827749379,1.8490494542,,,,,,,,,,,,,,,,,1.8189595051,,,,,,,,,,5.86061211,1.4548833138,,,,,,,,,,,,,,5.9304331857,,4.0351558605,3.9051022817,,,,3.3104020975,,,,,,,,,0.6186712125,,,,,,,,,,,,,,,5.405390657,-0.4895155595,,,,,2.8110871665,,,,,,2.4179049508,,,,,2.7423582342,,,,4.959102574,3.0093895653,,,,,,,,,4.3886682377,1.7997562093,,,,5.4060894969,3.5524000196,0.8770513654,,,,,,,,4.7766527166,,,,,,,,5.2589095785,,,,,,,4.239403389,,,,,,1.9341708502,2.0827921169,,3.3005461721,,,,,,,2.0352797674,,,,,3.3989936702,2.4335627276,,2.5974350349,,,,,,,,,,,,,,1.0603467352,,,,,,3.9456315712,,,,,,,,,,,3.1144938298,,,,,,4.8534375417,1.4775884271,,NA,,,-0.5027885837,,,,,,,3.9593601621,,,,,,,,,,4.6492658493,0.2247966903,,,,,,
Aviemore,NA,NA,,,,,,,,,,,,,,,,,5.5948893432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,4.1139131482,,NA,,,,,,,,,,,,,4.9089683811,,,,,,5.3150380349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,5.9709577933,,,,,NA,,,,,,,,,,,,,,,,,,,,,4.7887342628,,,,,,,,-0.6693069815,,,,5.2566445248,,,,,,,,,,,,,,,,3.9303786558,,,5.7071326323,,4.6144802236,,,,,,,,,4.7452024904,2.4108832239,,,,,,,7.6418735801,,,,,,,,,,,,,,,,,NA,,,,,5.6283863217,,,,,,,,,4.6526665428,,,2.0710205444,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4162429504,,,4.0472880249,,,,,,,,,,,,,,,4.6810096584,,,,,,,,,,,,,,,,,,,,,,5.067422857,,4.8693472088,,,,,,,,,,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,NA,4.8371581629,,,,,,,,,,,,,,,,,,,,0.642761136,,,,,,,4.7462404403,,,,,,,,,3.4380506516,,4.2907830001,,,,,,,,,,,,,,,,4.1267792274,4.7809179939,,,,,,,,,,,,,,,5.5849317906,3.4809708824,,,,,,,,,,,,,,,,,,,
