"X2020.05.22" "X2020.06.23" "X2020.06.24" "X2020.06.25" "X2020.06.26" "X2020.06.27" "X2020.07.27" "X2020.07.28" "X2020.07.29" "X2020.07.30" "X2020.07.31" "X2020.08.32" "X2020.08.33" "X2020.08.34" "X2020.08.35" "X2020.08.36" "X2020.09.36" "X2020.09.37" "X2020.09.38" "X2020.09.39" "X2020.09.40" "X2020.10.40" "X2020.10.41" "X2020.10.42" "X2020.10.43" "X2020.10.44" "X2020.11.45" "X2020.11.46" "X2020.11.47" "X2020.11.48" "X2020.11.49" "X2020.12.49" "X2020.12.50" "X2020.12.51" "X2020.12.52" "X2020.12.53" "X2021.01.01" "X2021.01.02" "X2021.01.03" "X2021.01.04" "X2021.02.05" "X2021.02.06" "X2021.02.07" "X2021.02.08" "X2021.03.09" "X2021.03.10" "X2021.03.11" "X2021.03.12" "X2021.03.13" "X2021.04.13" "X2021.04.14" "X2021.04.15" "X2021.04.16" "X2021.04.17" "X2021.05.18" "X2021.05.19" "X2021.05.20" "X2021.05.21" "X2021.05.22" "X2021.06.22" "X2021.06.23" "X2021.06.24" "X2021.06.25" "X2021.06.26" "X2021.07.26" "X2021.07.27" "X2021.07.28" "X2021.07.29" "X2021.07.30" "X2021.08.31" "X2021.08.32" "X2021.08.33" "X2021.08.34" "X2021.08.35" "X2021.09.35" "X2021.09.36" "X2021.09.37" "X2021.09.38" "X2021.09.39" "X2021.10.39" "X2021.10.40" "X2021.10.41" "X2021.10.42" "X2021.10.43" "X2021.11.44" "X2021.11.45" "X2021.11.46" "X2021.11.47" "X2021.11.48" "X2021.12.48" "X2021.12.49" "X2021.12.50" "X2021.12.51" "X2021.12.52" "X2022.01.01" "X2022.01.02"
"Allanfearn" NA -5 -5 -5 NA -5 NA NA NA NA NA -1.75841629623023 -1.95563931764049 -1.41402828665271 -2.00344123390385 -1.50970472829044 0.444790955393093 -0.016852200408931 -0.769388941846722 0.341904484960495 -0.480564261663887 0.008699444046735 1.03544395886168 0.896021459500823 2.08116524648396 2.97565736419482 1.58121304415416 0.531348793664529 1.37096570402772 1.77982694736908 0.922862256582101 0.252955461657983 0.12655623640999 0.932999996594514 NA NA 3.45329773984451 3.83464824718813 3.26511152030142 2.95052535669631 2.99950488826061 3.26627828798725 3.02639293118907 2.82728403286707 1.48869178568504 3.01016897324349 1.9183692812787 2.52458763023333 -0.163021678892852 -1.21196148826813 1.38509642418875 0.0073634768774 1.05111768348924 0.296430060490069 2.05549560083683 1.46249972407424 -1.27128602673447 -1.08006134363358 -0.474548517550287 -1.48849868677216 -0.040041785177437 1.11774479521151 2.26909685670473 3.52076142878775 3.49732598285184 4.26059246915966 3.63751817230605 3.3659440172967 4.1994273714843 2.85272005935196 2.95450783625439 3.41349049078657 4.58992912308987 4.60730615367333 5.35748572579202 5.35755428238859 4.62529146780423 4.34629560763219 3.57563000938915 3.88858795491649 3.37631597010401 3.92243668391211 3.51044988550429 4.40688370846404 3.5106130399761 3.62124249828054 3.86293942406194 4.174845202952 4.52218609030781 4.39326209334083 3.78358792885924 3.6532072868951 4.37257278011513 NA 4.09257883269272 3.86487816236592
"Allers" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.98876619047414 4.39788133324382 4.01885689158466 3.2422827380975 2.86328564655589 1.79147632873177 3.39303566638325 3.29610990700112 1.6378748940195 0.945294997146072 0.498172630860789 0.531097618410451 NA 1.693099407593 0.559647008832668 1.88626297438006 NA 1.64412075740345 1.33700952751458 2.00652018428227 0.123935385066507 0.7396080176629 1.74270354997445 NA 1.39263497969709 1.86158079167622 3.70681817601017 NA 4.90611905416624 4.79227057711274 4.32068745558369 3.85891847992252 4.61965397436757 NA NA NA NA 6.03143021673891 NA 6.17761668250725 4.931364698292 4.15328314804708 NA 4.3452473136164 NA NA 4.06702804736155 3.64532928767743 4.03421825919142 5.14404101809983 4.92927909088556 5.22599145768627 NA NA 5.03766955688706 5.10105130539686 NA 6.07887401633056 NA NA
"Allers - St Leonards" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.29725521133099 -1.33745327761911 NA 2.7155201618791 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Alloa" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.76491918301722 1.18325402097735 NA 4.14061642921377 5.14738616574701 3.80978496302939 3.43993304743901 3.77787560025807 3.88096318957532 3.62205681816962 3.69121574046523 2.3869013657658 2.95244371283343 2.95955345171497 2.85513662026026 2.91144945126915 2.93200681254425 2.98323231371554 2.36607872558521 NA 1.65447163261781 2.64962336631563 2.97767539893767 2.18873521808174 2.6741978156874 2.16545520619768 3.63090509434804 3.33746304355224 2.91884715952958 3.59099903789027 3.27900067822768 3.93056651272024 3.95202764034418 4.6633795453434 3.65438559263552 NA 3.73083037687459 4.03982325212993 4.70691950976007 5.3152361129856 5.55877382644954 5.28341298624491 5.65808930971277 4.69294146093162 4.05199232749145 5.21907434179698 NA 4.58794739843256 4.33948648889983 3.99204180044305 5.27838190488331 4.10946500668572 4.40417823342796 4.10396906379079 4.16073152534158 4.71247385781349 NA 4.34215093302472 3.87211029119489 NA NA 5.04910507528783 4.91610882739246
"Alness" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.62963390776127 4.89649679600662 NA NA 4.06863814979699 2.37480148607463 NA NA NA NA
"Alva" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.71990623417535 4.50316800541159 2.56246120720669 3.23271871634127 2.0631168702761 1.91749845727253 1.7771778465477 NA 1.47651758759585 0.798100128885616 NA 0.727140657750974 0.073594133324349 0.946520946398059 1.42577126162926 1.67787469035509 3.21996898394967 5.1057658566414 4.0041857451737 3.75232136293763 3.70294018323344 3.5123729361603 4.6409504917975 4.30614681165394 3.75960895659285 4.45244559038113 3.63406767029441 NA NA NA NA 5.44846440210205 5.31612330051061 6.15757596286702 5.25979682954854 4.28439019406095 5.23625442850501 NA 5.781003944286 NA 5.47849434862275 5.90023054729261 4.81959826951445 4.80879027690491 5.70206777167951 5.59679962522943 NA NA 4.1151204917264 4.94240854054968 NA NA 5.28386237814029 NA
"Annan" -5 NA NA NA NA NA NA NA NA NA NA NA NA -5 -5 NA -5 -5 -5 -1.23458061803301 -5 NA -5 0.295857053135718 0.194919382575958 0.349768592920207 1.49895882914223 0.898233839210505 2.42987266925402 -0.648498479678084 NA -5 -5 NA NA NA 6.37076207498991 5.09632498077858 2.96702578497517 3.9425730637222 2.70776402195006 2.85153850418993 -0.280330094824759 1.67050381210966 -5 2.51418927995521 1.6998501981361 -1.11334579847024 NA NA -5 -0.33804989153866 NA -0.485004667037191 0.588112521920026 -1.30295706455432 0.275589375058642 -5 NA 1.36899953588069 NA 2.6063731349744 1.62623252331256 NA 2.93293088369987 6.0187938683692 NA 3.46028973827117 NA 2.63909747484187 3.73299329432749 3.53691804108224 5.31471554384132 NA 4.221988640772 5.73611292383496 5.06118646859035 3.18544741326244 3.64667933135855 NA 4.44045578844657 3.74997970572744 1.79781504418818 3.09242357398491 3.57615354006411 3.89121477328254 4.86900097681575 5.0349456933562 4.36900177543037 NA 3.64945302714408 3.21849313649679 2.85814123996443 NA 3.5668798377145 NA
"Ardoch" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.66268890961937 1.77697393104897 1.40972062598587 3.16992876463898 2.17290011656965 2.35345576883473 1.33264392205856 1.14737468357377 1.11613149676677 0.398587585477068 NA -0.50532403253393 -0.367008915554959 -1.5554271383951 -1.78734978740006 0.163959427316423 -0.183984773945589 0.176060541684437 1.39281559734234 1.08333878825496 1.81098777582436 0.817173025431817 3.01970852368531 3.77662451701853 2.87994269854278 2.61563471798791 3.41602658398125 NA NA NA NA 2.10424471773609 NA NA NA 1.66936037644563 NA NA 4.14519457570498 NA 3.90823265941751 3.50777106016407 4.34951243065526 3.61753485668309 4.03532587920637 3.74059327049674 3.90416310447208 NA 3.56415827128597 2.46334941052895 NA 3.18531768651373 4.34468895671796 NA
"Armadale" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.26904665736449 3.30054617206514 NA 1.84904945421472 2.59743503485852 2.75144825383338 3.94563157119279 2.8110871665434 3.5524000195818 4.03515586048925 2.62096597907248 0.850163766177211 3.1711793960611 2.26432091339821 1.92924464514092 NA 0.413438675961643 1.64384316531314 -0.267650402560198 NA 0.863697968523672 2.05945605641436 1.87822346757297 -0.489515559465132 3.18022474323593 2.3681362199708 2.03527976743478 1.57219408876289 3.42809955215997 3.81147551430055 4.77665271656601 4.95910257401233 5.0092626409923 NA 4.54233016888543 5.35721742052041 NA NA NA NA 5.40539065698177 5.93043318569496 6.13105125839819 5.52760889490049 NA NA 5.15637676432092 3.9051022817222 NA 4.1310333729486 4.9998437824391 4.26266495420755 4.35534398826704 4.52461814619122 4.64781462264267 3.95936016206771 NA 4.84033998576631 NA NA NA 6.87630482796629 NA
"Aviemore" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.669306981543864 1.59276360936454 2.41088322393751 NA NA 5.66853439950994 5.97095779333018 4.78483376510019 4.70054760173441 4.56133088699725 NA 3.48097088243322 4.04728802492362 NA 4.92868697579645 4.48320995520863 NA NA NA NA 3.43805065155386 5.4341996605624 4.40007119308198 5.06742285696199 NA 7.6418735801085 4.90896838106412 4.68100965838279 NA 5.59488934319906 4.74520249037828 5.41624295041423 NA NA NA NA
