,"Site","Year","Month","Week","x","LogNormalized"
"1","Allanfearn",2021,"01","01",31.6044438807922,3.45329773984451
"2","Allers",2021,"01","01",53.9882370524939,3.98876619047414
"3","Alloa",2021,"01","01",62.8415468775665,4.14061642921377
"4","Annan",2021,"01","01",584.503094396656,6.37076207498991
"5","Armadale",2021,"01","01",6.35377709521636,1.84904945421472
"6","Bathgate",2021,"01","01",7.95627784042478,2.07396128250675
"7","Biggar",2021,"01","01",21.4241783194373,3.06452011226357
"8","Blackburn",2021,"01","01",49.3991115741206,3.89993243970261
"9","Blackridge",2021,"01","01",4.32478662047476,1.46436280286035
"10","Blackwood",2021,"01","01",88.0285007966198,4.47766063473163
"11","Bothwellbank",2021,"01","01",38.3120775931339,3.64576518833409
"12","Carbarns",2021,"01","01",49.2018671908286,3.89593157381124
"13","Dalbeattie",2021,"01","01",0.440009056540059,-0.82095996923607
"14","Daldowie",2021,"01","01",355.847799210055,5.87450310912606
"15","Dalmuir",2021,"01","01",43.6228921499437,3.77558206187546
"16","Dalscone",2021,"01","01","NA","NA"
"17","Dunfermline",2021,"01","01",41.9906871785948,3.7374478598538
"18","Dunnswood",2021,"01","01",67.9604851449751,4.2189264354624
"19","East Calder",2021,"01","01",37.6375812159074,3.62800305165095
"20","Falkirk",2021,"01","01",31.6161318951112,3.45366749334038
"21","Fauldhouse",2021,"01","01",30.3918252772577,3.41417366689728
"22","Fort William",2021,"01","01",0.201113648591938,-1.6038851148301
"23","Galashiels",2021,"01","01",4.84046021533701,1.5770098020216
"24","Hamilton",2021,"01","01",18.7895643880733,2.933301629978
"25","Harthill",2021,"01","01",11.3207593207968,2.42663814833433
"26","Hatton",2021,"01","01",39.878375837242,3.68583421801661
"27","Hawick",2021,"01","01",82.8924315929238,4.4175437623514
"28","Helensburgh",2021,"01","01",53.076389893779,3.97173219459979
"29","Inverclyde",2021,"01","01",117.889939738896,4.76975147514008
"30","Kirkwall",2021,"01","01",0.484915691205399,-0.723780235721474
"31","Lanark",2021,"01","01",50.4050015740089,3.92009040773314
"32","Lerwick",2021,"01","01",0.222942440578559,-1.50084165483666
"33","Levenmouth",2021,"01","01",27.0519172707575,3.29775788155178
"34","Linlithgow",2021,"01","01",44.0204946486106,3.78465531294137
"35","Lockerbie",2021,"01","01",9.89781063333373,2.29231358453558
"36","Mauldslie",2021,"01","01",26.1712955831858,3.26466322174332
"37","Maybole",2021,"01","01","NA","NA"
"38","Meadowhead",2021,"01","01",64.3196765495223,4.1638655960882
"39","Nairn",2021,"01","01",7.31726525026204,1.99023665847649
"40","New Cumnock",2021,"01","01",106.734795479532,4.67034721085937
"41","Nigg",2021,"01","01",70.5179471447566,4.2558672468501
"42","Peebles",2021,"01","01",7.83784119672187,2.05896343888348
"43","Philipshill",2021,"01","01",31.110720424095,3.43755246795723
"44","Seafield",2021,"01","01",96.6447097062045,4.57104146754169
"45","Shieldhall",2021,"01","01",57.8012955603054,4.05701118996529
"46","Shotts",2021,"01","01",31.0373983597843,3.43519287607368
"47","Stirling",2021,"01","01",14.9268410868729,2.70316100757533
"48","Stonehouse",2021,"01","01",20.7393106933073,3.03203096663225
"49","Stornoway",2021,"01","01",0.964723966023258,-0.035913264133742
"50","Strathaven",2021,"01","01",27.1423126641691,3.30109386316284
"51","Swinstie",2021,"01","01",162.910989710358,5.09320397625671
"52","Troqueer",2021,"01","01",46.3398647780415,3.8360026009603
"53","Whitburn",2021,"01","01",37.8082162586993,3.63252644034724
"54","Winchburgh",2021,"01","01",10.9830100120249,2.3963495343987
