,2021-11-02,2021-08-26,2021-12-14,2021-03-30,2021-02-15,2021-01-07,2020-08-12,2020-12-06,2021-08-18,2021-06-23,2021-09-17,2020-09-30,2021-02-09,2020-10-14,2021-03-02,2020-06-04,2021-06-08,2021-12-01,2021-03-25,2020-07-06,2020-08-03,2021-04-16,2021-09-24,2021-06-29,2021-08-12,2022-01-05,2021-06-10,2021-03-08,2021-02-03,2021-01-15,2020-07-27,2021-07-30,2021-07-09,2021-04-08,2020-09-24,2020-06-10,2021-01-21,2021-12-13,2021-09-08,2021-05-31,2021-11-05,2022-01-10,2020-09-09,2021-02-12,2020-12-01,2021-08-02,2021-05-12,2021-10-21,2021-09-30,2021-07-07,2021-04-06,2020-11-23,2021-05-24,2021-04-30,2021-11-18,2021-06-03,2020-12-14,2020-08-31,2021-11-21,2020-08-08,2021-09-14,2021-07-27,2021-03-01,2020-11-03,2021-06-19,2021-11-16,2021-03-20,2020-10-21,2020-07-03,2021-12-04,2021-10-07,2021-09-01,2021-02-22,2020-12-08,2020-11-30,2021-08-09,2021-05-19,2020-11-11,2020-10-05,2020-08-26,2020-12-29,2020-09-21,2020-09-18,2020-06-15,2022-01-13,2021-12-10,2020-12-02,2021-02-11,2021-02-28,2021-07-20,2021-09-13,2021-10-19,2021-03-06,2020-11-04,2021-03-29,2021-06-04,2020-10-28,2021-05-23,2021-10-13,2021-09-20,2021-05-06,2021-04-12,2021-08-16,2021-06-14,2021-01-11,2021-12-28,2021-11-15,2021-07-12,2021-12-07,2021-03-23,2020-10-22,2020-08-05,2021-11-09,2021-04-21,2021-06-30,2020-08-19,2021-02-27,2021-10-25,2021-04-02,2021-08-06,2021-03-10,2020-09-17,2020-11-27,2020-07-15,2020-06-23,2021-08-27,2021-12-15,2021-11-03,2021-10-08,2021-03-31,2020-12-07,2021-01-06,2020-08-13,2021-09-10,2021-09-29,2021-06-24,2021-07-23,2021-03-05,2021-01-18,2020-06-03,2020-10-13,2021-06-09,2021-11-12,2021-03-24,2020-07-07,2022-01-06,2021-08-11,2021-10-14,2021-09-27,2021-04-15,2020-11-09,2020-12-31,2021-07-08,2021-04-09,2021-01-20,2020-09-25,2020-10-01,2020-08-22,2020-06-28,2021-10-01,2021-09-07,2021-02-24,2021-04-22,2020-09-06,2021-10-20,2021-08-03,2021-04-07,2021-05-13,2021-07-06,2021-03-15,2020-07-10,2020-06-26,2021-11-22,2021-05-27,2021-12-09,2020-12-17,2021-07-26,2021-09-15,2021-06-21,2021-06-18,2020-11-02,2020-10-16,2020-06-06,2021-11-11,2021-07-16,2020-10-26,2021-10-06,2021-02-23,2020-09-01,2021-01-08,2020-12-09,2021-10-29,2020-09-22,2020-10-06,2020-11-12,2021-01-27,2020-08-25,2020-06-16,2021-08-23,2022-01-12,2021-02-10,2020-12-03,2020-08-17,2021-11-07,2021-07-05,2021-03-16,2020-11-18,2021-05-10,2020-09-28,2020-09-11,2020-07-13,2021-07-19,2020-10-29,2021-07-29,2021-06-17,2021-05-05,2021-09-23,2021-01-12,2020-06-09,2021-02-04,2020-10-19,2020-07-20,2021-12-06,2021-05-28,2021-07-13,2021-03-22,2020-12-18,2020-10-23,2020-07-01,2021-10-05,2021-09-03,2021-04-26,2021-02-19,2020-09-02,2020-05-28,2021-02-20,2021-07-02,2021-05-17,2021-03-11,2020-08-28,2020-09-16,2020-07-14,2020-06-22,2020-11-26,2021-12-16,2021-08-24,2021-04-28,2021-01-05,2021-02-17,2020-12-04,2020-08-10,2021-06-25,2021-09-28,2021-01-19,2021-12-20,2020-06-02,2021-03-04,2020-10-12,2021-07-22,2020-11-06,2021-11-24,2021-08-31,2021-05-21,2020-12-11,2020-07-08,2021-04-14,2021-10-15,2022-01-07,2021-08-10,2021-02-01,2020-12-30,2021-01-17,2021-03-18,2020-11-16,2020-10-02,2020-08-21,2021-01-23,2021-04-23,2021-09-06,2021-02-25,2020-09-07,2021-10-27,2021-05-14,2021-07-01,2021-03-12,2021-08-04,2021-01-29,2020-11-25,2020-09-15,2020-10-31,2020-07-17,2021-11-23,2021-12-08,2021-05-26,2021-06-01,2020-12-16,2021-08-19,2021-09-16,2021-06-22,2021-02-08,2021-03-03,2020-10-15,2021-11-10,2021-11-29,2021-03-26,2020-10-27,2022-01-04,2021-06-28,2021-06-11,2021-08-13,2021-05-03,2021-03-09,2021-02-02,2021-01-14,2021-10-28,2021-01-26,2020-09-23,2020-06-17,2020-11-13,2020-10-07,2020-08-24,2022-01-11,2021-11-04,2021-09-09,2021-08-20,2020-08-14,2020-09-08,2021-10-22,2021-05-11,2021-03-17,2020-11-19,2021-04-05,2020-12-21,2020-09-10,2020-09-29,2020-11-20,2020-06-24,2021-06-02,2021-11-19,2021-05-25,2020-12-15,2020-08-09,2021-10-11,2021-05-04,2021-09-22,2021-07-28,2021-06-16,2021-04-10,2022-01-03,2021-01-13,2021-02-05,2020-06-08,2021-11-17,2020-08-07,2020-10-20,2020-06-30,2021-07-10,2021-10-04,2021-09-02,2021-04-27,2021-02-18,2020-05-29,2021-12-19,2020-09-03,2021-02-21,2021-05-18,2021-01-25,2020-11-10,2020-09-20,2021-08-25,2021-04-29,2021-11-01,2021-12-17,2021-01-04,2021-02-16,2020-08-11,2021-10-18,2021-04-19,2021-07-21,2021-03-07,2020-06-01,2020-07-28,2021-11-25,2021-08-30,2021-06-07,2021-05-20,2020-12-10,2021-04-13,2021-06-15,2021-10-12,2021-08-17,2021-05-07,2021-09-21,2021-12-29,2021-02-06,2021-03-19,2021-11-30,2021-01-22,2020-08-20,2020-11-17,2021-11-08,2021-04-20,2021-02-26,2020-08-18,2020-09-04,2021-10-26,2021-08-05,2021-04-01,2020-11-24,2020-10-09,2020-09-14,2020-06-19,2020-10-30
Allanfearn,,,,1.36633253118088,15.3974917207114,,,,28.4021809012441,4.60582718313377,109.410019669389,0.479123776266074,,3.28707178731032,,0,,80.903905078706,,,,,66.330308461073,29.9326228658021,,,0.514181313278941,9.31310815606902,17.6545250019291,38.9084918948772,,80.525291656842,74.1032005352033,,,0,,10.1984287790445,94.8163065680843,0.622165890044699,1.17868468005057,47.6974607328869,0.19327120205743,,1.50847693710211,26.5453983933758,2.08900090015554,35.9683941642745,,48.2816930967745,6.24455883983383,0,,,,,2.61071010085512,0.220975216057237,,,100.579028217064,106.800254386773,,9.71488237156195,,,,2.85058175217964,,,,203.010251826642,37.7352584232555,0,2.51648291138182,,0.284744771544413,1.25208547739089,3.95657760314706,0,,0,0.396231160166296,0,,9.86520334127498,1.02059421020718,,,25.9162506014841,96.1084759340323,25.4093374458001,,2.09724335989682,,0.30090971731677,0,,49.0043787806191,41.8947443718224,,1.12725839235218,13.1124971040108,1.19287110241345,47.5033365309007,,66.3813004350769,43.7793099273419,83.1052577444247,16.5566464761075,,,,,,0,5.54963064016969,29.0454479044143,0.29761294223732,12.2312657449483,17.0677580024594,,,,,150.023686466866,66.99809810384,31.274849543734,27.313600215747,0.3328130096549,0.500198055140353,35.9383220489642,,88.8416140610898,42.9519641805501,,31.8245263123401,4.43129464235113,50.7528819910564,,1.72469374413228,0,42.8088902639466,13.0762997766158,,48.4372367791546,15.7371721937542,33.3388536152391,,,1.12097079859711,,,3.85404843042267,9.03766495408627,1.64668706837018,,,,48.8418708849499,460.769891376258,7.84034873403482,,,27.0959547915076,15.7813303073977,1.88702609345004,10.3805032076891,81.506096783122,11.5925038293217,,,67.6698838483844,,6.24133588135321,,39.4376351297891,,2.30744247891666,2.44328399375188,4.82936601551594,3.70286600589437,,,40.0136184615719,5.66864315611373,21.5029704598221,16.472762011544,0.763305783312385,,0,119.084107328592,2.12368925070096,2.35567999162302,,,0,,71.577842647239,,30.9687744939673,,0.295069554628251,,79.5168040487938,1.44556710757163,3.14915460893503,0.776559224350219,0.492487191878565,0.322186543942763,,,,,,,,26.5982572210003,0,,0.783123329325749,,76.6823347964807,0.646398576625464,30.1993213086321,4.40847599818004,,21.1669643845467,,38.9717314676761,,,32.6230134390409,0.981320982770956,,,33.0270189606564,0.488420135872563,,0,0.1295086618892,,,,,61.8888418709069,0.546943558774595,23.4506106368016,6.80153071758526,1.33440660646905,0,16.9460870329335,28.4822675138669,21.6423949803814,79.2472554106271,0,,1.08471614682703,29.4946547063804,2.80190289471934,,100.213825048926,0,4.03945503617812,,,85.1671939260852,,9.69898683167359,,,,,2.34243835467805,1.00873739417862,0.402372606253505,,2.8608468531133,204.393455970966,,1.0816342647201,97.2324804501045,4.02088348144922,,35.1646875403884,14.7814841343452,20.8170661050238,15.8322079117107,0.615110969892681,,,62.3896610816978,,0,0.376224076495011,2.47353812554226,,,14.8232948031165,21.458421727511,,,33.8351586638804,92.036578489542,15.9015595808026,2.19333321892417,71.3510626353101,37.6877025270156,2.36806656642272,32.1406649343096,0.299258017325184,19.6177592716714,16.3259148044041,,,17.4149215070606,1.86012704754907,,2.73061981551525,2.13681131858886,0.539481453118051,,,,64.3485232657675,0.282948001902736,2.33606400371266,,,1.65564004442227,,,,,0.883692035502272,,,0,,0.372325506155715,,,,,126.126232362268,39.8294407362566,3.14158084296989,,,72.0985011060433,26.2463445921642,0,28.8288544073839,0.172317547790776,7.25453665353771,0,,,221.371287010285,2.1431534105767,,,,,,0.348717880319545,,,,110.459426728833,,67.952803363445,,35.4243989566108,27.6688070457808,,45.3795898391623,,28.6078640490966,,0,,,,,,,0.887522915524211,5.45406453049535,34.5831915866196,15.6210763251161,15.3221577965458,74.4166477756663,,,12.5456668946233,,23.2991811444597,,6.32586578169135,35.5079166283269,,,0.275204968059557,2.93586528751813,82.691912026451,,,1.95428307865876,,0.712333538779851,0,70.5480436251508
Allers,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02544305140953,,,,,101.458918668319,120.574832540456,1.75005463742309,,,,164.194435090057,,5.71276731557477,,,,,,,,,,,,,,5.17645654439367,,,,,,,,,5.14422586299947,,,,,,,,,,27.0073731134486,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80763982054429,,,6.43389939142393,,,138.279789238229,,,,,,,,,,,,,,,,,,,,,,,,,,,481.842203831236,,,47.4140443881294,,,,,,,1.70079811178123,,,,,,6.59467809410659,,,,,,,,,,77.1111057477107,,,,,,,,7.43739151303199,,,,,186.04553539193,,,,,,,,,,,,75.2403349053363,,,,,53.9882370524939,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6426057662573,,,,,,154.110450578196,,,,,,,,,,,,,,135.114025350899,,2.57357246315077,,,,,,,,,,,,,40.7240234881936,,55.6374698023483,,,,,,,,,1.13194272823204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09511410579235,,,,138.568487541837,,5.99830139750524,,,,,,,,,,,,,17.5189936984554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2784840944773,,,,,,,,,,,,,,,,,25.592075124154,,,,,56.4987356028531,,,29.7561450327089,,58.3831924186824,,,,,,,416.310017355083,,,,,,,,,,436.537383919496,,1.64571119942419,,,,,171.407029590003,,,,,38.2953809726513,,5.43630394234594,,,,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,0.092795291901322,,,,,,,,,,,,7.13643966087783,,,,,,,,,,,,,,,,,0.164149727335386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02090730383608,,,,,,,,,,,,,0.182144138104192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1124689580227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432231441428254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2305740175922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,63.0831705696466,,,,,46.6104531420097,,,89.1599247295104,,,,,,7.32674410255724,,,,34.6339290944634,,,,,,,,21.1185493805778,10.8354324385232,14.9359550331926,,,,,7.70830489156384,,,21.5415055743589,,201.477195503022,8.71856976067917,,,,,,,,64.7912231183085,184.763077431529,,,,14.5007129283085,,89.8308501202353,,,,,,127.071566007094,,13.5055551580274,,,31.3296658033696,,,,,,197.041228042351,33.6118382641119,,,77.5942724194706,,,,,,,,,229.543869085357,,,,,,,,,,19.7036046232503,,,,75.2484002567274,57.5119255685857,21.4372637990176,11.0650252201298,132.261257631801,11.5378569675404,65.2194633446584,,,105.993688018459,,8.56841350495132,,,105.912490734217,,26.5492282170475,,,,,40.53267273613,27.9153017741322,,,,,,,,,17.0632456653493,,117.696234165487,,,,51.6972039255392,,,,,,,,,,158.499334238499,36.0383270964973,,,12.5340730970112,,,49.5218937257068,,32.3845147795918,,,,,,,49.3066620906464,,,,42.8947910738492,,,54.5596661017044,6.62570967916089,,,,,76.8727096894043,,,,,,,,,57.6713120020737,,,,37.362181756621,,,,,,,,13.0157790445328,,,271.197607291181,,43.618280571959,,,,,8.58728777793358,,,,,,,,,25.5019922915061,,,361.412319097293,,,,,,,,8.92809061041897,,,,,,6.19865469503391,17.8506084170254,,,,50.9358252901004,,,,,,,,48.0436653027671,,,24.2179533252027,5.72406612113963,,,,,,,,,,40.4009303603546,,,,12.8843320588795,,,,116.94592620931,,,72.5101604675392,,,,,,,,,371.723833001376,,,,20.4283079883288,,,,,,,,,49.8199092521331,,,,65.5415912400397,,91.2761111018867,20.8433825333864,53.3234779082568,11.8068888079064,,,,,,153.266462935649,,,,,18.7073666479596,,,260.902289138683,,,,,,,43.3972273557017,58.7450698376721,,,,,,18.8558989682671,42.6550711521574,,31.7948087146976,3.26498125323666,,,,,37.7469657261022,,,169.10167940812,,37.8101513658419,6.86015372382645,,,,,,89.3123320743259,,,,,,,,98.2924676853684,,8.64646114684588,88.668655789167,,,,,4.96350626594916,49.3539613384454,,,135.627464309564,0.845831149445461,,,,,,43.5395197079789,,36.886611244351,,,,78.4169101275635,259.50444367546,35.1767041083329,,,8.36748271196438,,,,,,,,,111.327227257662,81.4961723356903,,,,,,,,131.202485156826,,18.7652510765777,,,,,
Alness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90534429366948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.2026136826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.820158262578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4772710567823,,,,,,,,,,,,,,,,,,,,,,12.5924140504701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.207212421762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,140.94579196226,,224.921666489882,4.67254020805189,,,,,,,,,,,6.9631419366849,,,,,,,,,,,197.129796672812,34.2769240140194,5.40969895213168,,,,,,,,,,,,25.0273439199409,,,,,,,,216.887144312189,187.964746852603,,5.17243865797397,,,1.05183305433611,482.86222358188,164.97036581372,,,,,204.018264382162,,18.9722465715725,,,116.109836190051,,,,,,203.593080941422,77.885396919321,,,,6.96767915151121,,,,,,,,,,,,,,,,,,,,,,,72.5582867519418,0.718426587458976,3.03238001391598,,18.612865829091,,,,42.9316345632367,61.2595950924499,4.77396153016328,,,113.367953920173,,33.5277326332885,,,,,,,,,,,,,,,7.15374988384473,,,,150.697752282299,,29.4992006462751,,,,,,,,,,,,,,,,,37.0219774116161,3.58290981913049,,,,,,,793.865962517127,,,,,,,,111.286437824415,7.58780548173485,,,,,,,50.3465402170404,,,,,,,131.798518106664,,,,102.720119589879,,,,,,,,,,,,,,,,,,8.15312018099152,,,,,,149.837015580078,,25.3865244660579,66.6269412105404,,,,,,,,,7.8384177003766,,8.83387221836348,,,,,,,165.402322165326,,,,103.642812423935,,,,,,,,55.2929287255498,,,,,,,,,,,,,,,,,,1.35445260034371,,,,,,,,,,,,,,,,,,,,1.60142647661062,,,,,,,,,225.423292620833,,2.86991152489567,,,,180.866513054118,51.6336030429284,,,,,,,,,,,,,45.2872584447847,,,387.922610656369,,,,,,,,106.88480848889,,,,,,3.55203245769908,,,,,,,,,,,,,,,1.43431312089251,,,,,,,,,,,,,,324.084389820229,,3.08647837907338,58.9131490590258,,,,,,,,,,,,,,,,262.084562842105,,21.8362018305421,,,,313.701357390851,232.401017245912,75.3774018591779,,,1.41025338924903,,,,,,,,,,,,,,,,,,342.320661278106,,,,,,,
Annan,,203.306673067502,,,,584.503094396656,,,,,,,,,0,,,,,,,,,,,,,12.3565869844727,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,3.93141548714837,,,,,,,,4.47702529459943,,,,,,,,68.1689130651,,,,,,,,,,,,,,38.4536272054256,,,,,157.777603485696,,,,,,,,27.231373272869,,,0.71315970637562,,,,,130.190788290657,,,0.328458165753913,,,,,,0,,22.0304056458841,,,,,,,,,,,,,0,,,,,,,,,,1.34427798277468,,,,,,,,38.3471163243842,,,,,,,,,,,,309.857626874022,,,,6.03644368211948,14.0005620444542,,,,5.4731274456213,,,153.691245929457,,,,,,,,,,,,,,84.8135899198448,5.31484480594404,0,,,,,0,,,,,,,17.3143996359084,,,,411.08247701618,,,0.271727089295733,0,,,31.8261964460558,,,,1.80058663820713,,,,,,,,,,,,,,,,0.615694323289275,,,0,,,1.31730683391325,,,,,,0.522830227891067,,,,,,,,,,,17.4291002941599,,,,,,,,,,,,85.8972085814007,,41.8040529069767,,,,,,,,,,,,0,,,18.7825995181884,,,51.551074996722,,0,,,,,,,,,,5.0846821659676,,,,,,,1.41873920430787,35.4059483218442,,,,,,,,,,0.290956758802326,,,,0,,,,,,,,,,,,,,,11.3574358371503,,,,,,,,,,,,,,163.420229903016,14.9957079268979,,,,1.21521301519774,,,,,,,,,,0.755534302325582,,,2.45526289047631,,,,35.7358197485812,24.9904346211112,,,,,,,,,,,,,,,,13.5498182638585,14.4320753689049,34.3608570853678,,24.1781035904431,,,,78.9647677728326,19.43403256282,,,48.9703382647886,,,,,,,,,,,,
Ardoch,,,,,,,,,,9.69973186545355,,,,,,,3.76244844870519,,,,,,,2.26409025636478,,,,,,,,,,,,,,,,0.831948471022923,48.8615665951509,,,,,,0.422198389619443,24.9451400837601,,,2.32892849100215,,2.1986756068672,,,,,,,,,34.6780687619715,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,3.79105339859893,,,,,5.30877109595417,,1.07869725997487,,,,,56.7333881345784,17.8132524250453,,17.0087282225606,,,,,,,,,3.14991252803364,,,,,,,,,,,,,,,,,2.53324046744051,13.6758939595908,4.46990703784716,,,,,7.87388557034318,,,,,,,,,,22.1362143505892,,,,,,,,,,,,74.6765427445987,,,,65.2005671878812,,,,42.1229730706115,0.157657418624543,9.88324367421682,,,,,,,,,,,,,4.19922526649038,,,,17.4699167589646,,,,,,,,,,,,,,,,0,,,,,,26.2183132658652,,0,,,,,,,60.7361957002402,,,4.0350080036241,,,,,,0.295208767623689,8.68479984648526,,,,,0.334806472927313,14.6459794956524,,,,,,11.7440814878681,,0.91141133570818,,,,,,,,,,3.7197154829482,,,,,8.20090667054161,,,,,,81.6838185004,,,,,6.78359547521851,,,,,,,7.62465350742494,,,,20.4853198283792,32.9655974685263,,,,,,,,,,1.19251025304469,,,,,,,,,49.6085453648005,,,72.4523059952115,,4.28989191753283,,,,,,,,,,,,,,,,,,,,,,,3.777112926222,,,,,,,56.3893106713695,,,,,1.38560693657892,,,,,,,,,,,,,,63.129904252408,,,19.9847646676656,,,,,,,,,,,106.019825424057,,,,,,,,,,,,,,,,1.90074096023293,2.9545276437649,,,,,24.1749672471127,,10.7838464299523,,,,,66.617391873706,,,,,49.277676509289,,,,,,,
Armadale,72.6314262699794,,,,,,,,,71.0067936781345,,,,,2.27625876213971,,,,7.38942674409139,,,,,,,969.038970160788,,,,,,,,,,,15.6653027984353,,459.919400762875,10.6774732661074,,,,,,,,,,,6.76134198566171,,,,103.233050671693,,3.55745946743707,,,,280.324673997137,73.3287988192537,,,,81.2883273401696,,,,,,,,,,,,,,,,,,,,,,,,56.003278924415,,,,,,,,,,,,0.92550882102258,,31.702076600731,,,,,126.512356819723,,,,67.60784012382,,,,,,1.77194819152758,,,,,,,,,,,,,,,,,,131.815461196193,,,,,5.25204743333951,,6.37918961889186,,,,,,,,,,,,,,,,173.534558557362,,,,,101.962390768441,,3.58869761518771,,149.794243283012,,,,,42.056144212972,,,,,19.427422638252,,,,,88.1793903133278,,,,11.9744467032969,,6.35377709521636,,,,,,,,,,,,,,,,,,6.16544000245288,,,,,,350.938891487394,,4.28398355447757,,,,,,,,,,,,,,49.6551584675751,376.317493876987,,56.5517337323549,,,,,,27.396139176622,,,,,,,,1.85645956196987,,,,,,,,,,,,,,,222.603164980537,0.612923247140486,,,,,,,16.6279857856103,,,11.2223233496829,,,,,,,15.5235501310616,,,,142.465885922323,20.2750195714246,,,,,,,80.5330965893548,,6.0481727962519,,,,222.75878332211,,34.8969704755303,2.40380131450546,,,,,,,118.706340523949,,,,,,,192.271719731328,,,,,,,,69.366454703437,,,,,,6.91830536519343,8.02684955765499,,,27.1274511312883,,,,,7.65439327592417,,,,,,11.399422857259,,,29.9339614472023,,,13.4292482677025,,,,,,,,,,2.88737196919112,,,,,,,51.7089857071624,,,,,,,,,,22.522027488374,,,,,,128.180258367157,,4.38236453604865,,,0.604841654283741,,,,,,,,,52.4237724976607,,,,,,,,,104.50823261206,,1.25206813268629,,,,,
Aviemore,,,,,,,,,,,,,,,,,,269.047876467659,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1856783443888,,,,,,,,,,,,,,,,,,,,135.499558371581,,,,,,203.372248221373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.880831904805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.149195073475,,,,,0.512063324183814,,,,,,191.836706808664,,,,,,,,,,,,,50.9262575397512,,,,100.935351081231,,,,301.006732718895,,,,,,115.031095835105,,,,11.1437992700621,,,,,2083.6440357625,,,,,,,,,,,,,,,,,,,,,278.212809238626,,,,,,,,,104.864238070806,7.93291487980724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.032075633315,57.2420074554733,,,,,,,,,,,,,,,107.878938478025,,,,,,,,,,,,,,,,,,,,,158.764640471339,,,,130.235872315006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.110456632905,,,,,,,,,,,,,,,,,,,,,,115.150554333717,1.90172455685316,,,,,,,,,,,31.1262231359672,73.0236236269942,,,,,,,,,,,,,,,,,,61.9779841382863,,119.213737313694,,,,,,,,,,,266.382112357166,32.4912519532399,,,,,,,,,,,,,,,,,,,,,,
