,2021-11-02,2021-08-26,2021-12-14,2021-03-30,2021-02-15,2021-01-07,2020-08-12,2020-12-06,2021-08-18,2021-06-23,2021-09-17,2020-09-30,2021-02-09,2020-10-14,2021-03-02,2020-06-04,2021-06-08,2021-12-01,2021-03-25,2020-07-06,2020-08-03,2021-04-16,2021-09-24,2021-06-29,2021-08-12,2022-01-05,2021-06-10,2021-03-08,2021-02-03,2021-01-15,2020-07-27,2021-07-30,2021-07-09,2021-04-08,2020-09-24,2020-06-10,2021-01-21,2021-12-13,2021-09-08,2021-05-31,2021-11-05,2022-01-10,2020-09-09,2021-02-12,2020-12-01,2021-08-02,2021-05-12,2021-10-21,2021-09-30,2021-07-07,2021-04-06,2020-11-23,2021-05-24,2021-04-30,2021-11-18,2021-06-03,2020-12-14,2020-08-31,2021-11-21,2020-08-08,2021-09-14,2021-07-27,2021-03-01,2020-11-03,2021-06-19,2021-11-16,2021-03-20,2020-10-21,2020-07-03,2021-12-04,2021-10-07,2021-09-01,2021-02-22,2020-12-08,2020-11-30,2021-08-09,2021-05-19,2020-11-11,2020-10-05,2020-08-26,2020-12-29,2020-09-21,2020-09-18,2020-06-15,2022-01-13,2021-12-10,2020-12-02,2021-02-11,2021-02-28,2021-07-20,2021-09-13,2021-10-19,2021-03-06,2020-11-04,2021-03-29,2021-06-04,2020-10-28,2021-05-23,2021-10-13,2021-09-20,2021-05-06,2021-04-12,2021-08-16,2021-06-14,2021-01-11,2021-12-28,2021-11-15,2021-07-12,2021-12-07,2021-03-23,2020-10-22,2020-08-05,2021-11-09,2021-04-21,2021-06-30,2020-08-19,2021-02-27,2021-10-25,2021-04-02,2021-08-06,2021-03-10,2020-09-17,2020-11-27,2020-07-15,2020-06-23,2021-08-27,2021-12-15,2021-11-03,2021-10-08,2021-03-31,2020-12-07,2021-01-06,2020-08-13,2021-09-10,2021-09-29,2021-06-24,2021-07-23,2021-03-05,2021-01-18,2020-06-03,2020-10-13,2021-06-09,2021-11-12,2021-03-24,2020-07-07,2022-01-06,2021-08-11,2021-10-14,2021-09-27,2021-04-15,2020-11-09,2020-12-31,2021-07-08,2021-04-09,2021-01-20,2020-09-25,2020-10-01,2020-08-22,2020-06-28,2021-10-01,2021-09-07,2021-02-24,2021-04-22,2020-09-06,2021-10-20,2021-08-03,2021-04-07,2021-05-13,2021-07-06,2021-03-15,2020-07-10,2020-06-26,2021-11-22,2021-05-27,2021-12-09,2020-12-17,2021-07-26,2021-09-15,2021-06-21,2021-06-18,2020-11-02,2020-10-16,2020-06-06,2021-11-11,2021-07-16,2020-10-26,2021-10-06,2021-02-23,2020-09-01,2021-01-08,2020-12-09,2021-10-29,2020-09-22,2020-10-06,2020-11-12,2021-01-27,2020-08-25,2020-06-16,2021-08-23,2022-01-12,2021-02-10,2020-12-03,2020-08-17,2021-11-07,2021-07-05,2021-03-16,2020-11-18,2021-05-10,2020-09-28,2020-09-11,2020-07-13,2021-07-19,2020-10-29,2021-07-29,2021-06-17,2021-05-05,2021-09-23,2021-01-12,2020-06-09,2021-02-04,2020-10-19,2020-07-20,2021-12-06,2021-05-28,2021-07-13,2021-03-22,2020-12-18,2020-10-23,2020-07-01,2021-10-05,2021-09-03,2021-04-26,2021-02-19,2020-09-02,2020-05-28,2021-02-20,2021-07-02,2021-05-17,2021-03-11,2020-08-28,2020-09-16,2020-07-14,2020-06-22,2020-11-26,2021-12-16,2021-08-24,2021-04-28,2021-01-05,2021-02-17,2020-12-04,2020-08-10,2021-06-25,2021-09-28,2021-01-19,2021-12-20,2020-06-02,2021-03-04,2020-10-12,2021-07-22,2020-11-06,2021-11-24,2021-08-31,2021-05-21,2020-12-11,2020-07-08,2021-04-14,2021-10-15,2022-01-07,2021-08-10,2021-02-01,2020-12-30,2021-01-17,2021-03-18,2020-11-16,2020-10-02,2020-08-21,2021-01-23,2021-04-23,2021-09-06,2021-02-25,2020-09-07,2021-10-27,2021-05-14,2021-07-01,2021-03-12,2021-08-04,2021-01-29,2020-11-25,2020-09-15,2020-10-31,2020-07-17,2021-11-23,2021-12-08,2021-05-26,2021-06-01,2020-12-16,2021-08-19,2021-09-16,2021-06-22,2021-02-08,2021-03-03,2020-10-15,2021-11-10,2021-11-29,2021-03-26,2020-10-27,2022-01-04,2021-06-28,2021-06-11,2021-08-13,2021-05-03,2021-03-09,2021-02-02,2021-01-14,2021-10-28,2021-01-26,2020-09-23,2020-06-17,2020-11-13,2020-10-07,2020-08-24,2022-01-11,2021-11-04,2021-09-09,2021-08-20,2020-08-14,2020-09-08,2021-10-22,2021-05-11,2021-03-17,2020-11-19,2021-04-05,2020-12-21,2020-09-10,2020-09-29,2020-11-20,2020-06-24,2021-06-02,2021-11-19,2021-05-25,2020-12-15,2020-08-09,2021-10-11,2021-05-04,2021-09-22,2021-07-28,2021-06-16,2021-04-10,2022-01-03,2021-01-13,2021-02-05,2020-06-08,2021-11-17,2020-08-07,2020-10-20,2020-06-30,2021-07-10,2021-10-04,2021-09-02,2021-04-27,2021-02-18,2020-05-29,2021-12-19,2020-09-03,2021-02-21,2021-05-18,2021-01-25,2020-11-10,2020-09-20,2021-08-25,2021-04-29,2021-11-01,2021-12-17,2021-01-04,2021-02-16,2020-08-11,2021-10-18,2021-04-19,2021-07-21,2021-03-07,2020-06-01,2020-07-28,2021-11-25,2021-08-30,2021-06-07,2021-05-20,2020-12-10,2021-04-13,2021-06-15,2021-10-12,2021-08-17,2021-05-07,2021-09-21,2021-12-29,2021-02-06,2021-03-19,2021-11-30,2021-01-22,2020-08-20,2020-11-17,2021-11-08,2021-04-20,2021-02-26,2020-08-18,2020-09-04,2021-10-26,2021-08-05,2021-04-01,2020-11-24,2020-10-09,2020-09-14,2020-06-19,2020-10-30
Allanfearn,,,,2764,31065,,,,60093,12483,334405,1365.81215862638,,4750.23638331032,,0,,144194,,,,,182538,81673,,,1286.82184553912,17465,35619,47935,,171697,207912,,,0,,22538,286147,1387,1786.08996216641,90873,379,,3060.84535472057,56164,4616,76101,,110442,15255,0,,,,,3819.05070244573,1124,,,312737,175138,,16654,,,,3849,,,,645198,70399,0,5324,,492,3038.13477062852,5518.09399604572,0,,0,1142,0,,19960,2214.83529667808,,,78213,295005,45174,,4219.7677473752,,742.723655547763,0,,98044,107087,,2976,27743,3985.09877657052,102770,,112717,87590,166736,45045,,,,,,0,12775,46463,597,32180,33509,,,,,454669,124993,45107,62879,588,447.846853769326,82734,,176275,108140,,94067,10975,67382,,2630.05863673332,0,67430,35711,,102483,30467,66516,,,2539.95716897673,,,7304,15131,5033,,,,117328,1313311,12242,,,43636,43934,4722,18140,148209,26433,,,165322,,12699,,112407,,6350.00999346399,6775.76317765327,6748.77939219097,8390.00778774157,,,113598,9108.68384347568,55160,35213,2353,,0,245371,5866.5,3495.93375181911,,,0,,207305,,72455,,898,,158210,3090.17456051864,7367.91536828346,1706,1544.84884051065,1006,,,,,,,,36182,0,,1625.69135260441,,155588,1293,80936,12615,,28103,,98563,,,59022,2912,,,98432,1131,,0,325,,,,,180701,1058,55044,13421,2715.08651348653,0,34094,65569,33430,191008,0,,2650,92510,6348.79916317058,,318495,0,5982.12853946093,,,168984,,24189,,,,,4448.88974367039,1982.10882236655,1074,,8421,432453,,2825,179109,9469,,55268,41472,44044,28105,1686.30553266049,,,166588,,0,852,4019.78858978158,,,41267,45465,,,52602,194730,31291,4156.7072492181,106768,97953,5865.16103843634,77208,796,42959,31607,,,33625,5874.56110880444,,5997.93823817896,3004.04841040117,1414,,,,175738,868,7171,,,3873.57152086941,,,,,2678.08036075984,,,0,,511,,,,,243526,60354,8612.53463179537,,,122424,41432,0,44245,435,9649,0,,,709834,4780,,,,,,730,,,,317356,,90051,,70482,58541,,77238,,86700,,0,,,,,,,2387,15125,52850,44701,32418,222711,,,32887,,29462,,11680,56300,,,820,7868,156278,,,3886.89243637927,,1302,0,107813
Allers,,,,,,,,,,,,,,,,,,,,,,,,,,,9469.94329525801,,,,,182675,274111,3857,,,,249906,,12959,,,,,,,,,,,,,,12276,,,,,,,,,15091,,,,,,,,,,46774,,,,,,,,,,,,,,,,,,,,,,,,,,,,7443,,,14018,,,237807,,,,,,,,,,,,,,,,,,,,,,,,,,,1081826,,,108883,,,,,,,3694,,,,,,15269,,,,,,,,,,77248,,,,,,,,10590,,,,,374575,,,,,,,,,,,,172052,,,,,164611,,,,,,,,,,,,,,,,,,,,,,,,,,,138315,,,,,,243833,,,,,,,,,,,,,,317623,,2164.13290770359,,,,,,,,,,,,,77538,,60401,,,,,,,,,2386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4087,,,,299940,,12350,,,,,,,,,,,,,44506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160353,,,,,,,,,,,,,,,,,70511,,,,,57559,,,60768,,123163,,,,,,,960625,,,,,,,,,,449283,,3334,,,,,310774,,,,,41069,,8910,,,,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,,21179,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,71992,,,,,78204,,,169252,,,,,,11696,,,,54861,,,,,,,,40954,19447,14987,,,,,13855,,,4694,,437785,15119,,,,,,,,72552,281593,,,,21387,,134576,,,,,,234712,,20098,,,43837,,,,,,387159,36623,,,85928,,,,,,,,,128932,,,,,,,,,,20001,,,,112167,74989,27729,20591,243591,21299,115040,,,208317,,15195,,,142715,,53810,,,,,80689,38277,,,,,,,,,22576,,211953,,,,97920,,,,,,,,,,244667,48391,,,23457,,,90835,,11836,,,,,,,10697,,,,88742,,,60842,9135.76924243269,,,,,94273,,,,,,,,,88743,,,,45406,,,,,,,,16499,,,431206,,56118,,,,,13061,,,,,,,,,44593,,,145058,,,,,,,,16087,,,,,,12049,15023,,,,109200,,,,,,,,74396,,,42938,7122,,,,,,,,,,86961,,,,21303,,,,185875,,,95838,,,,,,,,,784602,,,,31831,,,,,,,,,86199,,,,22351,,155926,40302,58258,20216,,,,,,186963,,,,,36814,,,217815,,,,,,,57062,78999,,,,,,27906,65428,,53864,3324.97163295419,,,,,67129,,,34953,,56643,13576,,,,,,144388,,,,,,,,131851,,16852,33139,,,,,9615,74131,,,249791,1729,,,,,,36307,,74817,,,,139156,508699,66794,,,16162,,,,,,,,,206461,25821,,,,,,,,159953,,25824,,,,,
Alness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75796,,,,,,,,,,,,,,,,,,,,,,16321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,98282,,194958,4104,,,,,,,,,,,7824,,,,,,,,,,,152478,35759,5429,,,,,,,,,,,,26755,,,,,,,,162652,195669,,5236,,,1280,428169,169382,,,,,221828,,21722,,,98362,,,,,,230940,50990,,,,7844,,,,,,,,,,,,,,,,,,,,,,,73580,622,3343,,20713,,,,43734,42389,4698,,,97970,,37294,,,,,,,,,,,,,,,6564,,,,176879,,30624,,,,,,,,,,,,,,,,,36044,3715,,,,,,,900924,,,,,,,,108481,5651.9422463427,,,,,,,55457,,,,,,,122571,,,,81492,,,,,,,,,,,,,,,,,,5965.84015457681,,,,,,159015,,20947,62412,,,,,,,,,7542,,8117,,,,,,,106223,,,,114838,,,,,,,,46914,,,,,,,,,,,,,,,,,,1459,,,,,,,,,,,,,,,,,,,,1744,,,,,,,,,211854,,2719,,,,200501,58761,,,,,,,,,,,,,41358,,,238667,,,,,,,,92368,,,,,,3377,,,,,,,,,,,,,,,1132,,,,,,,,,,,,,,270461,,3670,36372,,,,,,,,,,,,,,,,212713,,23320,,,,300910,259762,78595,,,1653,,,,,,,,,,,,,,,,,,267430,,,,,,,
Annan,,517191,,,,1193429,,,,,,,,,0,,,,,,,,,,,,,24598,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,11180,,,,,,,,2180.22589006556,,,,,,,,191323,,,,,,,,,,,,,,2924.60233456537,,,,,433865,,,,,,,,54792,,,1548,,,,,218826,,,716,,,,,,0,,37554,,,,,,,,,,,,,0,,,,,,,,,,1289.84552944346,,,,,,,,79165,,,,,,,,,,,,897852,,,,7675.4493329163,43863,,,,5785.26254084848,,,275562,,,,,,,,,,,,,,53707,6882,0,,,,,0,,,,,,,26815,,,,305215,,,569,0,,,100038,,,,2981,,,,,,,,,,,,,,,,1544,,,0,,,2584,,,,,,375,,,,,,,,,,,43924,,,,,,,,,,,,184988,,69592,,,,,,,,,,,,0,,,61889,,,24242,,0,,,,,,,,,,13711,,,,,,,1779.11302960741,32704,,,,,,,,,,580.428731524111,,,,0,,,,,,,,,,,,,,,14298,,,,,,,,,,,,,,332249,5982,,,,1007,,,,,,,,,,957,,,4477.183297084,,,,15514,42869,,,,,,,,,,,,,,,,37858,25463,104565,,58010,,,,156724,17339,,,62031,,,,,,,,,,,,
Ardoch,,,,,,,,,,17805,,,,,,,6749.98614031201,,,,,,,4017.37005930634,,,,,,,,,,,,,,,,1499,47327,,,,,,693,26393,,,2440,,3429,,,,,,,,,60784,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4081,,,,,9838,,1550,,,,,61792,39349,,19305,,,,,,,,,,,,,,,,,,,,,,,,,,4793.5226928706,23397,4560,,,,,8673.83225450175,,,,,,,,,,47294,,,,,,,,,,,,79076,,,,109671,,,,46228,266,13518,,,,,,,,,,,,,3963,,,,16082,,,,,,,,,,,,,,,,0,,,,,,46946,,0,,,,,,,82004,,,4511,,,,,,490,9969,,,,,493,13891,,,,,,18601,,1426,,,,,,,,,,4167,,,,,17081,,,,,,48409,,,,,7550.8002782094,,,,,,,4021,,,,36951,35547,,,,,,,,,,1996,,,,,,,,,65417,,,110729,,8086.62988327727,,,,,,,,,,,,,,,,,,,,,,,4232,,,,,,,66780,,,,,2105,,,,,,,,,,,,,,88637,,,24194,,,,,,,,,,,96797,,,,,,,,,,,,,,,,2613,5290.32960589655,,,,,45193,,10916,,,,,69404,,,,,62745,,,,,,,
Armadale,93692,,,,,,,,,158941,,,,,12680,,,,15452,,,,,,,1697777,,,,,,,,,,,20584,,1102894,21612,,,,,,,,,,,15280,,,,212934,,12986,,,,645462,174279,,,,163240,,,,,,,,,,,,,,,,,,,,,,,,128554,,,,,,,,,,,,2111,,69117,,,,,283472,,,,121853,,,,,,3637,,,,,,,,,,,,,,,,,,317092,,,,,11959.9595318255,,13549,,,,,,,,,,,,,,,,176779,,,,,135659,,7829,,265018,,,,,68283,,,,,39616,,,,,156246,,,,53112,,33772,,,,,,,,,,,,,,,,,,11764,,,,,,743595,,8249,,,,,,,,,,,,,,51717,963166,,182270,,,,,,36847,,,,,,,,3815,,,,,,,,,,,,,,,550148,1225,,,,,,,54461,,,22146,,,,,,,21167,,,,325648,23454,,,,,,,166630,,,,,,483849,,112475,14290,,,,,,,267865,,,,,,,313838,,,,,,,,123224,,,,,,12607,14687,,,60284,,,,,16584,,,,,,20732,,,66457,,,37537,,,,,,,,,,6459,,,,,,,236472,,,,,,,,,,45394,,,,,,279161,,9930.20885264794,,,1360,,,,,,,,,119673,,,,,,,,,162595,,2227,,,,,
Aviemore,,,,,,,,,,,,,,,,,,403815,,,,,,,,,,,,,,,,,,,,,,,,,,,,147073,,,,,,,,,,,,,,,,,,,,316250,,,,,,305242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302987,,,,,768.559155119444,,,,,,489578,,,,,,,,,,,,,135083,,,,216143,,,,451782,,,,,,253544,,,,26286,,,,,315450,,,,,,,,,,,,,,,,,,,,,639509,,,,,,,,,157391,19084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493475,144177,,,,,,,,,,,,,,,161916,,,,,,,,,,,,,,,,,,,,,347819,,,,311606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189280,,,,,,,,,,,,,,,,,,,,,,156320,2854.31068709053,,,,,,,,,,,77299,187173,,,,,,,,,,,,,,,,,,146890,,311244,,,,,,,,,,,399814,72017,,,,,,,,,,,,,,,,,,,,,,
