,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,2021-09-37,2021-03-13,2020-12-50
Allanfearn,3.94,0.96,82.0125,65.03,,2.86,,66.65,2.4475,0,98.4875,38.6,70.8525,2.51,4.3175,26.1825,,30.3625,0.616666666666667,0.22,59.875,20.6175,20.29,,0,1.7,3.055,0.9825,33.4575,33.4666666666667,1.01,1.4075,,8.0125,,0.17,79.25,33.03,50.5225,5.92666666666667,77.1925,46.2775,1.01,0,0.62,19.1933333333333,1.28666666666667,57.045,28.96,212.19,6.8125,,43.975,4.86,9.6725,1.56,0.34,17.3275,0.245,37.3866666666667,3.99333333333333,0.465,,212.1675,12.4875,2.54,19.6025,0.14,0.226666666666667,16.9,,29.26,16.105,52.57,47.605,1.345,4.43,35.715,31.6033333333333,,2.82,0,100.21,23.78,37.9966666666667,20.0766666666667,7.805,19.105,80.9,91.97,33.81,,48.84,0.28,0.135,0.3,26.215,102.033333333333,0.85,1.135
Allanfearn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,
Allers,,4.03,38.3,186.05,,,,101.46,,,,164.19,120.57,,7.44,55.64,,,,,NA,29.76,2.57,,,,6.43,,58.38,56.5,6.59,,,,,,,135.11,,,63.64,81.28,,,5.71,,,,47.41,,1.65,,154.11,,40.72,,2.1,,,171.41,1.75,,,481.84,1.7,,,,,27.01,436.54,,,,138.28,5.18,5.14,,53.99,,,,416.31,,75.24,17.52,3.81,25.59,,,,,77.11,1.13,,5.44,6,138.57,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.946,,,,,,,,,,,,,,,15.11,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,28.15,196.05,64.12,,,,,,,203.415,48.04,52.04,,19.645,45.14,,110.71,,,155.885,37.4133333333333,19.1566666666667,,,,18.52,,54.165,60.915,10.6566666666667,,,,,,NA,50.94,76.67,,57.51,171.98,,,8.72,56.815,,63.155,38.645,197.04,19.2933333333333,3.26,76.87,,36.27,,14.5,41.71,,81.79,19.75,,,286.6,17.3766666666667,117.32,,,37.75,40.0933333333333,,98.29,235.78,20.77,60.58,5.23333333333333,10.8833333333333,184.76,62.8433333333333,,,,259.5,33.8,105.99,43.725,14.15,31.185,,111.33,26.55,,,8.92,,18.77,48.47,109.175,18.38,
Alness,,,,133.82,,,,,,,,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.48,,,,,,,,,,,,,,,,,,,,,,757.205,,,,,,,,,56.42,,,,,,NA,,,,,,,,,,
Alva,,54.83,365.12,269.56,,,,37.87,,,,140.105,74.155,,2.575,,,,,,197.13,112.155,25.35,,,,42.62,,239.485,123.915,2.22,,,,,,,103.64,,,72.56,,,,25.03,,,,85.84,203.59,7.87,,61.26,,40.565,,5.355,,,122.585,4.375,,,472.285,6.8,,,,164.97,90.305,,324.08,969.69,,299.485,2.07,12.965,187.96,,,,,232.4,160.995,42.93,,1.075,,,,33.53,,,4.16,,,,192.445,5.91,
Annan,11.36,NA,22.03,153.69,,,,,1.34,,203.31,24.99,411.08,,0.27,19.43,,34.36,0,,35.41,0.76,12.36,,,2.46,13.55,0,6.04,35.74,0.71,0.29,,1.22,,,17.43,18.78,42.52,0.52,24.18,163.42,,,,41.8,0,53.35,31.83,68.17,5.47,,38.45,4.48,5.08,0,0,14,0,48.97,0,0,,309.86,0.33,,1.42,,3.93,5.31,,84.81,,,130.19,0.62,0,38.35,584.5,0,0,,,92.51,,15,1.8,51.55,,78.96,,,,1.32,0,,17.31,157.78,NA,0
Ardoch,,4.025,33.375,42.12,44.2,,,30.45,,,,11.74,43.67,,0.21,,,,,,77.065,14.33,23.81,,,,2.95,,49.815,77.44,1.49,,,,,,,20.49,,,5.31,,,,0.83,,,61.86,13.68,NA,8.78,,35.31,,6.115,,1.18,,,37.245,3.055,,,NA,10.525,,,,1.19,5.91,24.17,63.13,80.04,32.8,56.56,0.605,4.095,NA,,,,,8.2,50.98,17.81,,0.695,,,49.61,2.26,,,0.165,,3.15,,NA,3.79,
Armadale,,4.815,148.39,104.355,,,,212.135,,,,,149.79,,6.545,15.67,,,,,969.04,56.55,23.84,,,,30.815,,62.24,71,0.765,,,,,,,142.47,,,,13.43,,,10.68,,,,93.91,376.32,9.625,27.13,126.51,,45.22,,24.055,,,77.895,5.175,,,459.92,6.885,3.56,,,7.65,13.745,,49.66,144.42,35.25,92.26,2.375,2.34,,6.35,,,,222.6,,,16.63,7.84,51.71,,52.42,118.71,,173.53,0.61,,1.51,34.9,251.54,,
Aviemore,,0.49,158.76,103.35,,,,107.805,,,57.24,225.03,283.285,,,,,32.49,,,,,,,,,4.875,,81.46,NA,,,,,,,,,223.515,,,,,,,,,NA,119.68,133.925,,,115.03,,11.14,,,95.715,,2083.64,,,,85.87,,,,,,,,31.13,25.32,17.02,135.5,,,NA,,,,,,6.64,391.88,,,,257.75,,,,,,,,,NA,,
Banchory,,0.785,,56.51,NA,,,6.845,,,153.72,76.4,13.9,,0,,,8.9,,,66.42,,,,,,3.895,,63.005,36.46,0.205,,,,,,NA,6.27,,,,,,,,19.855,,,30.13,91.89,,,22.865,,0.53,,0,5.735,,224.86,,,,317.785,,,,,0.29,,,81.79,,,53.07,0.76,,,,,,,35.86,38.08,12.49,,1.155,,,83.46,4.79,,120.54,0.24,,,,49.25,,
Banff,,0.83,106.206666666667,40.26,,0,,24.095,,,73.36,63.325,20.7966666666667,,0.1,,,,,,35.94,,,,,,0.07,,49.305,NA,0.18,,,,,,139.27,16.82,82.65,,148.53,,,,0.12,,,,22.59,238.48,,,8.26,,0.703333333333333,,0.126666666666667,5.41,,21.1033333333333,,,,189.34,,,,,1.6,,,145.94,,NA,40.185,0.22,,,,,,,415.72,37.4066666666667,18.96,,0.36,,42.78,14.79,17.59,,,0.19,,,,57.44,,
Bathgate,,3.01,55.94,117.57,,,,29.965,,,,66.405,107.755,,11.33,0,,94.73,,,50.52,47.435,8.92,,,,0.35,,76.315,52.54,1.415,,,,,,186.27,316.58,,,,19.88,,,0,,,21.53,175.925,100.71,11.015,,27.86,,64.745,,4.52,,,118.61,NA,,,103.31,5.73,39.29,,,20.79,37.48,,118.35,61.47,30.91,96.46,2.325,23.305,,7.96,,,,110.13,56.87,55.01,73.38,2.78,46.81,,NA,204.26,,94.88,4.29,,26.17,100.085,134.84,,
Biggar,,,,,,,,,,,,,,,,0,,,,,,0.9,68.96,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.47,,,,,,,,,,,,,,0.94,,,,,0.99,,,,,,0,1.97,,21.42,,,,,,,18.4,,30.77,,,,,,,,,2.44,,NA,
Blackburn,,16.465,566.64,18.4,,10.53,,53.71,,,,39.47,71.185,,0.895,18.41,,,,,49.17,34.08,4.21,,,,12.625,,17.585,32.13,2.86,,,,,,82.79,44.74,46.145,,28.81,20.85,,,17.95,16.48,,,47.29,56.61,6.14,,70.13,,19.995,,6.14,,,38.435,6.52,,,95.4066666666667,10.27,3.68,,,7.82,27.72,,21.53,,59.6,40.925,7.285,6.525,,49.39,,,,598.04,47.22,66.1,9.67,2.47,2.06,,52.53,67.87,,3.22,5.59,,3.23,19.79,,11.37,
