,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
,“May-2020”,“June-2020”,,,,,“July-2020”,,,,“Aug-2020”,,,,,“Sep-2020”,,,,“Oct-2020”,,,,“Nov-2020”,,,,,“Dec2020”,,,,“Jan-2021”,,,,“Feb-2021”,,,,“Mar-2021”,,,,,“Apr-2021”,,,,“May-2021”,,,,,“Jun-2021”,,,,“Jul-2021”,,,,“Aug-2021”,,,,,“Sep-2021”,,,,“Oct-2021”,,,,“Nov-2021”,,,,,“Dec-2021”,,,,“Jan-2022”,,,,,“Feb-2022”
,2020-22,2020-23,2020-24,2020-25,2020-26,2020-27,2020-28,2020-29,2020-30,2020-31,2020-32,2020-33,2020-34,2020-35,2020-36,2020-37,2020-38,2020-39,2020-40,2020-41,2020-42,2020-43,2020-44,2020-45,2020-46,2020-47,2020-48,2020-49,2020-50,2020-51,2020-52,2020-53,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2021-13,2021-14,2021-15,2021-16,2021-17,2021-18,2021-19,2021-20,2021-21,2021-22,2021-23,2021-24,2021-25,2021-26,2021-27,2021-28,2021-29,2021-30,2021-31,2021-32,2021-33,2021-34,2021-35,2021-36,2021-37,2021-38,2021-39,2021-40,2021-41,2021-42,2021-43,2021-44,2021-45,2021-46,2021-47,2021-48,2021-49,2021-50,2021-51,2021-52,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06
Allanfearn,NA,0,0,0,NA,0,NA,NA,NA,NA,0.17,0.14,0.245,0.135,1.225,0.9825,0.465,1.4075,0.715,2.82,2.4475,8.0125,19.6025,4.86,1.7,3.94,5.92666666666667,1.5925,1.135,2.54,NA,NA,31.6033333333333,46.2775,26.1825,19.105,20.0766666666667,26.215,20.6175,16.9,4.43,20.29,6.8125,12.4875,0.666666666666667,3.99333333333333,1.01,2.86,1.345,7.805,4.3175,0.28,0.34,0.325,0.96,3.055,9.6725,33.55,70.8525,37.9966666666667,28.96,66.65,17.3275,19.1933333333333,30.3625,98.4875,174.863333333333,212.1675,102.033333333333,77.1925,40.09,29.26,50.5225,33.4575,82.0125,33.4666666666667,37.3866666666667,47.605,65.03,86.435,43.975,38.6,79.25,NA,59.875,57.045,23.78,52.57,22.485,68.52
Allers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.99,81.28,55.64,25.59,17.52,6,29.76,27.01,5.14,2.57,1.65,1.7,5.44,1.75,6.59,NA,5.18,3.81,7.44,1.13,2.1,5.71,4.03,6.43,40.72,135.11,120.57,75.24,47.41,101.46,NA,NA,NA,NA,416.31,481.84,138.57,63.64,77.11,NA,NA,58.38,38.3,56.5,171.41,138.28,186.05,NA,154.11,164.19,NA,436.54,NA,NA,NA,NA,NA,113.62
Allers - St Leonards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.946,0.26,NA,15.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alloa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.32,3.26,NA,62.8433333333333,171.98,45.14,31.185,43.725,48.47,37.4133333333333,40.0933333333333,10.8833333333333,19.1566666666667,19.2933333333333,17.3766666666667,18.51,19.75,10.6566666666667,NA,5.23333333333333,14.15,19.645,8.92,14.5,23.235,28.15,18.52,36.27,38.745,52.04,105.99,38.645,NA,41.71,56.815,110.71,203.415,228.27,286.6,109.175,57.51,184.76,98.29,76.67,54.165,196.05,60.915,81.79,60.58,64.12,111.33,76.87,48.04,NA,NA,155.885,63.155,33.8,20.77,59.505,409.09
Alness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757.205,133.82,NA,58.48,10.75,NA,NA,NA,NA,56.42,NA,NA,NA
Alva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.155,90.305,12.965,25.35,7.87,6.8,5.91,4.375,2.22,NA,2.07,1.075,2.575,4.16,5.355,95,54.83,42.62,40.565,68.585,74.155,42.93,85.84,37.87,NA,NA,NA,NA,217.995,472.285,192.445,72.56,187.96,324.08,NA,239.485,365.12,123.915,122.585,299.485,269.56,NA,61.26,140.105,NA,NA,197.13,NA,160.995,NA,635.26,236.26
Annan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.29,0,0,1.34,1.22,1.42,4.48,2.46,11.36,0.52,0,0,NA,NA,NA,584.5,163.42,19.43,51.55,15,17.31,0.76,5.31,0,12.36,5.47,0.33,NA,0,0.71,NA,0.62,1.8,0.27,1.32,0,3.93,NA,13.55,5.08,18.78,411.08,NA,31.83,NA,14,41.8,34.36,203.31,68.17,309.86,157.78,24.18,38.35,84.81,42.52,6.04,22.03,35.74,48.97,130.19,153.69,78.96,38.45,24.99,17.43,NA,35.41,53.35,92.51,NA,26.06,40.36
