,Health_Board,Site,Date_collected,Date_analysed,SW_sample_number,N1_description,N1_Reported_value-gc_per_L,N1_Repl_1-gc_per_L,N1_Repl_2-gc_per_L,N1_Repl_3-gc_per_L,Calculated_mean,Standard_Deviation,Flow-L_per_day,Ammonia-mg_per_L,pH_value,Modelled_flow-L_per_day,Million_gene_copies_per_person_per_day,Analysis_lab
1,Ayrshire and Arran,Cumnock,2021-02-19,2021-02-22,14725793,Positive,   85619,   85736.76,   85501.84,NA,   85619.30,    166.12, 19094400, 14.84,NA,  9733698,  119.42,SEPA
2,Ayrshire and Arran,Cumnock,2021-02-23,2021-02-25,14725796,Positive,   75691,   77788.09,   73594.68,NA,   75691.39,   2965.19,  9763200, 11.31,NA, 11381460,   53.98,SEPA
3,Ayrshire and Arran,Cumnock,2021-03-01,2021-03-03,14725799,Positive,   42624,   41922.98,   43325.61,NA,   42624.30,    991.81,  6393600, 16.37,NA,  9199052,   19.91,SEPA
4,Ayrshire and Arran,Cumnock,2021-03-08,2021-03-10,14739085,Positive,   12468,   13332.41,   11605.09,NA,   12468.75,   1221.40,NA, 21.18,NA,  7931065,    7.22,SEPA
5,Ayrshire and Arran,Cumnock,2021-03-15,2021-03-16,14757657,Positive,   13535,   15599.32,   11471.97,NA,   13535.65,   2918.48,NA, 10.80,NA, 11687861,   11.56,SEPA
6,Ayrshire and Arran,Cumnock,2021-03-22,2021-03-23,14769351,Positive,   30013,   31819.96,   28207.37,NA,   30013.66,   2554.49,NA, 20.26,NA,  8136458,   17.84,SEPA
7,Ayrshire and Arran,Cumnock,2021-03-30,2021-03-31,14786930,Positive (DNQ),    9513,    8168.34,   10858.62,NA,    9513.48,   1902.32,NA,  1.50,NA, 36419230,   25.31,SEPA
8,Ayrshire and Arran,Cumnock,2021-04-06,2021-04-08,14820435,Positive (DNQ),    7508,    7826.74,    7190.61,NA,    7508.68,    449.81,  4924800, 16.05,NA,  9304204,    2.70,SEPA
9,Ayrshire and Arran,Cumnock,2021-04-12,2021-04-13,14840977,Positive (DNQ),    2989,    2890.33,    3089.06,NA,    2989.70,    140.52,  4579200, 43.31,NA,  5253789,    1.00,SEPA
10,Ayrshire and Arran,Cumnock,2021-04-28,2021-04-29,14878147,Weak Positive,     902,    1804.42,       0.00,NA,     902.21,   1275.92,NA, 26.05,NA,  7040175,    0.46,SEPA
11,Ayrshire and Arran,Cumnock,2021-05-07,2021-05-10,14900055,Weak Positive,     842,     874.18,     811.16,NA,     842.67,     44.56, 19872000, 22.59,NA,  7642167,    1.22,SEPA
12,Ayrshire and Arran,Cumnock,2021-05-10,2021-05-12,14914138,Positive (DNQ),    1580,       0.00,    3160.03,NA,    1580.01,   2234.48,  5184000, 23.53,NA,  7464879,    0.60,SEPA
13,Ayrshire and Arran,Cumnock,2021-05-19,2021-05-20,14949931,Negative,       0,NA,NA,NA,NA,NA,  4579200, 21.55,NA,  7852378,    0.00,SEPA
14,Ayrshire and Arran,Cumnock,2021-05-26,2021-05-28,14974464,Weak Positive,    1377,    1489.06,    1265.63,NA,    1377.35,    157.99,  6134400, 18.67,NA,  8528471,    0.62,SEPA
15,Ayrshire and Arran,Cumnock,2021-06-02,2021-06-03,14990250,Positive,   43794,   46057.86,   41531.59,NA,   43794.73,   3200.56,  3888000, 30.23,NA,  6462098,   12.44,SEPA
16,Ayrshire and Arran,Cumnock,2021-06-09,2021-06-11,15013742,Positive,   24304,   23557.60,   25052.26,NA,   24304.93,   1056.88,NA, 28.32,NA,  6709539,   11.91,SEPA
17,Ayrshire and Arran,Cumnock,2021-06-16,2021-06-17,15042125,Positive,   17045,   13343.45,   20747.48,NA,   17045.46,   5235.44,NA, 21.10,NA,  7948363,    9.90,SEPA
18,Ayrshire and Arran,Cumnock,2021-06-22,2021-06-23,15068300,Positive,   22342,   22742.08,   21942.07,NA,   22342.07,    565.69,NA, 29.54,NA,  6548575,   10.69,SEPA
19,Ayrshire and Arran,Cumnock,2021-06-29,2021-06-30,15080416,Positive,  145126,  131150.07,  159102.48,NA,  145126.27,  19765.34,NA, 29.21,NA,  6591067,   69.87,SEPA
20,Ayrshire and Arran,Cumnock,2021-07-06,2021-07-07,15106310,Positive,  440415,  411014.90,  469816.29,NA,  440415.60,  41578.86,  8467200, 26.21,NA,  7015400,  272.39,SEPA - Low Volume
21,Ayrshire and Arran,Cumnock,2021-07-13,2021-07-14,15143445,Positive,  107927,  113261.96,  102593.92,NA,  107927.94,   7543.44,  3196800, 30.37,NA,  6444930,   25.20,SEPA - Low Volume
22,Ayrshire and Arran,Cumnock,2021-07-20,2021-07-21,15173352,Positive,   75879,   61996.27,   89762.46,NA,   75879.37,  19633.66,  2937600, 29.64,NA,  6535846,   16.28,SEPA - Low Volume
23,Ayrshire and Arran,Cumnock,2021-07-26,2021-07-28,15188379,Positive,  161820,  125955.31,  197686.03,NA,  161820.67,  50721.28,NA, 37.33,NA,  5723014,   67.65,SEPA - Low Volume
24,Ayrshire and Arran,Cumnock,2021-08-30,2021-08-31,15316429,Positive,  254938,  266226.02,  243651.48,NA,  254938.75,  15962.61,NA, 30.53,NA,  6425463,  119.66,SEPA - Low Volume
