,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Allanfearn,119257,9093.66666666667,92686,69420,8493,552046.5,54960,1316.33333333333,1607.5,,188965.5,434,73765.5,23548.5,38834.5,58777.3333333333,77068.75,1113.75,37300.25,139249.5,,745.5,94041.3333333333,4006,40512.25,72200.6666666667,0,2845.25,52109.3333333333,2681.5,601.333333333333,10664,3858.66666666667,314049,156805.25,,97012.3333333333,435,10975,191008,8624.75,36351.25,45648,129899,16571,,,4605,58960,165955,16607,,3564.25,88745.75,8421,588.25,3328.75,7832.33333333333,290007.75,60537.25,0,353.5,32657.25,156193.25,,77327.75,30269.75,43437.5,111312,31165.5,3919.5,,,10806.75,36219.3333333333,78481,8482.75,0,43954.6666666667,4193.75,104625.5,169462,2919,2384,87872.5,1892.75,557842.333333333,96598.5,0,698
Allers,,3857,317623,164611,,1081826,,8910,,,138315,,249906,77538,70511,310774,,,2164,204570,,12959,172052,,60768,,,,,15269,4087,,,299940,41069,,77248,,15091,,14018,60401,57559,182675,3334,,,,12350,374575,7443,,,243833,,2386,,,,123163,,,46774,274111,449283,160353,,,,3694,,,,,44506,237807,10590,,,,NA,,12276,9470,108883,,960625,,,
Allers - St Leonards,,26229.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40169,,,,,,,
Alloa,92997,33859.5,81505,111031.666666667,,611193.5,110314.5,22800.3333333333,,,74989,,74396,69111,45315,115729,206421.5,,31512.6666666667,229783,,41124,208317,,18428,131851,,,57654,20070,21387,,,195319,188884,,281593,,17336.6666666667,NA,32946,14117,75495.5,,29208.3333333333,3325,,,57188,112677.5,20652.5,,,94273,,15459,,,340498.5,54429.5,,,30908.6666666667,75838.5,,134828.666666667,,84715.5,38998,28714.3333333333,28652,,,,55412.5,89206.5,29868.5,,67159.5,,215815,206461,10210,53874,80889,,447929,118228.333333333,,
Alness,,,,,,,NA,,,,,,14795.5,,,,,,,,,,,,,,,,73130,,,,,,,,,,,,,,,,,,,,,235220,,,,75796,,,,,,,,,,,,,,,,,,,,,,781687,,,,,,NA,,,,,,,,
Alva,,4475.5,76066,,,538901.5,752859,5334,,,73580,,120936,44692.5,,110270.5,,,23393.5,183432,,98068.5,43734,,71297.5,270461,,,153344.5,2498,5130.5,,,211164.5,253048.5,,195669,,14773,,41562.5,,95325,38202,5809,,,,,256382,877,,,42389,,4651.5,,,,187682.5,,,66241,72262.5,,,,,,6407.5,,,,,,263265.5,2560.5,,,,152478,,2475,57177,91167.5,,245351,,,
Annan,104050,0,61889,1193429,2180,897852,48858,NA,0,,58010,,42869,13711,24242,62031,104565,0,24598,52261,,11180,,0,957,53707,,0,213833,1548,0,375,4477,433865,37554,,79165,,0,43924,37858,17339,15514,,5785,,,1290,26815,275562,2981,0,0,2925,,2584,0,14298,517191,7675,,0,6882,305215,,332249,1779,43863,,716,,,,1007,5982,218826,569,,69592,580,32704,156724,1544,NA,100038,0,191323,88414.3333333333,,0
Ardoch,53734,3336,20484,,,NA,88205.5,4081,,,9838,,18601,11299.5,,39039,,,24719,99633,,1747.5,39349,,17081.5,88637,,,55467.5,2081.5,1847.5,,,NA,39413.5,,NA,,4363.5,,5290,,72062,53865,9233.5,,,,,46228,1052.5,,,47761,,246.5,,,,52734.5,,,3992,78482.5,45193,,,,46204.5,11908,,,,,,64286,346.5,,,,79569,65417,958,7418.5,23397,,17081,,,
Armadale,,11554.5,296756.5,33772,,1102894,398368,2932,,,,,,99278.5,236472,139049.5,,,30150.5,421605,,19098,,,182270,51717,,,,1735.5,68283,,,564655.5,238216.5,,176779,,13485,,67787,20584,108458,458937,18416.5,60284,,,112475,222895.5,14490.5,,,283472,,1225,,,,90526.5,,,37139.5,265018,,37537,,,77723,14500.5,12986,,,,54461,188087,12185.5,,,,1697777,119673,5137,10945,222823,,756657,,,
Aviemore,NA,,,,,162181.5,39662,,,,,,493475,26286,,315450,72017,,,143058,,,893406,,,77299,,,14245,,,,,NA,347819,,NA,,,,10969,,NA,156855.5,,,,,,161916,,,,253544,,,,,144177,181516.5,,,,545645.5,,,,229339.5,31349,,,,,,,316250,,,,,,403815,,769,307115.5,,246207.5,444696,,
