Health_Board,Site,Population_band,Population
Highland,Allanfearn,10k - 100k,62058
Lanarkshire,Allers,10k - 100k,30137
Lanarkshire,Allers - St Leonards,10k - 100k,30137
Forth Valley,Alloa,10k - 100k,34758
Highland,Alness,4k - 10k,9287
Forth Valley,Alva,4k - 10k,5243
Dumfries and Galloway,Annan,4k - 10k,8256
Greater Glasgow and Clyde,Ardoch,10k - 100k,46376
Lothian,Armadale,10k - 100k,12225
Highland,Aviemore,2k - 4k,3549
Grampian,Banchory,4k - 10k,7626
Grampian,Banff,10k - 100k,10621
Lothian,Bathgate,10k - 100k,13272
Lanarkshire,Biggar,2k - 4k,3023
Lothian,Blackburn,10k - 100k,18993
Lothian,Blackridge,2k - 4k,2136
Lanarkshire,Blackwood,2k - 4k,3935
Tayside,Blairgowrie,4k - 10k,9016
Forth Valley,Boness,10k - 100k,15349
Forth Valley,Bonnybridge,10k - 100k,14426
Lanarkshire,Bothwellbank,10k - 100k,21609
Fife,Bowhouse,4k - 10k,5209
Grampian,Buckie,10k - 100k,13598
Lanarkshire,Carbarns,10k - 100k,42545
Borders,Coldstream,2k - 4k,2196
Ayrshire and Arran,Cumnock,10k - 100k,13690
Ayrshire and Arran,Cumnock - Netherwood,10k - 100k,13690
Fife,Cupar,4k - 10k,9078
Dumfries and Galloway,Dalbeattie,4k - 10k,4227
Greater Glasgow and Clyde,Daldowie,100k +,211013
Greater Glasgow and Clyde,Dalmarnock,100k +,142556
Greater Glasgow and Clyde,Dalmuir,100k +,428173
Greater Glasgow and Clyde,Dalmuir - Auchinairn (6298),100k +,428173
Greater Glasgow and Clyde,Dalmuir - Auchinairn (6330),100k +,428173
Greater Glasgow and Clyde,Dalmuir - Clydebank,100k +,428173
Greater Glasgow and Clyde,Dalmuir - Minerva St,100k +,428173
Greater Glasgow and Clyde,Dalmuir - SECC,100k +,428173
Dumfries and Galloway,Dalscone,4k - 10k,5548
Forth Valley,Denny,10k - 100k,11283
Lothian,Dunbar,4k - 10k,9888
Forth Valley,Dunblane,4k - 10k,8253
Fife,Dunfermline,10k - 100k,69986
Lanarkshire,Dunnswood,10k - 100k,27032
Lanarkshire,Dunnswood - Carrickstone,10k - 100k,27032
Lanarkshire,Dunoon,10k - 100k,27032
Borders,Duns,2k - 4k,2991
Lothian,East Calder,10k - 100k,73313
Grampian,Ellon,10k - 100k,10445
Greater Glasgow and Clyde,Erskine,10k - 100k,69455
Borders,Eyemouth,4k - 10k,5205
Ayrshire and Arran,Fairlie,0 - 2k,1535
Forth Valley,Falkirk,10k - 100k,70966
Lothian,Fauldhouse,4k - 10k,4911
Tayside,Forfar,10k - 100k,14857
Tayside,Forfar - Central,10k - 100k,14857
Grampian,Forres,10k - 100k,12563
Highland,Fort William,4k - 10k,8222
Grampian,Fraserburgh,10k - 100k,17883
Borders,Galashiels,10k - 100k,14921
Ayrshire and Arran,Girvan,4k - 10k,7721
Highland,Grantown on Spey,2k - 4k,2347
Fife,Guardbridge,4k - 10k,4599
Fife,Haddington,4k - 10k,4599
Lanarkshire,Hamilton,10k - 100k,51156
