Highland,Allanfearn,847455.37,271126.37
Lanarkshire,Allers,656127.64,266191.99
Lanarkshire,Allers - St Leonards
Forth Valley,Alloa,691819.05,288662.05
Highland,Alness,869016.43,267475.62
Forth Valley,Alva,696609.21,287349
Dumfries and Galloway,Annan,565082.2,319335.01
Greater Glasgow and Clyde,Ardoch,675768.21,237371.53
Lothian,Armadale,669471.96,293764.62
Highland,Aviemore,814675.98,290340.59
Grampian,Banchory,795926.41,371081.39
Grampian,Banff,864832.99,371662.01
Lothian,Bathgate,670300.13,296137.62
Lanarkshire,Biggar,636919.75,304867.21
Lothian,Blackburn,665406.76,300394.98
Lothian,Blackridge,667762.84,291029.45
Lanarkshire,Blackwood,643141.95,280520.37
Tayside,Blairgowrie,744537.49,319372.61
Forth Valley,Boness,681289.03,302201.66
Forth Valley,Bonnybridge,681047.7,283578.98
Lanarkshire,Bothwellbank,657959.4,269750.8
Fife,Bowhouse,709215.95,327530.08
Grampian,Buckie,865635.13,343811.11
Lanarkshire,Carbarns,653910.71,277334.34
Borders,Coldstream,641218.79,385836.16
Ayrshire and Arran,Cumnock,620407.31,255829.21
Ayrshire and Arran,Cumnock - Netherwood
Fife,Cupar,714842.38,338785.31
Dumfries and Galloway,Dalbeattie,560142.41,283342.68
Greater Glasgow and Clyde,Daldowie,661969.82,266902.3
Greater Glasgow and Clyde,Dalmarnock,662690,261110
Greater Glasgow and Clyde,Dalmuir,671045,247655
Greater Glasgow and Clyde,Dalmuir - Auchinairn (6298)
Greater Glasgow and Clyde,Dalmuir - Auchinairn (6330)
Greater Glasgow and Clyde,Dalmuir - Clydebank
Greater Glasgow and Clyde,Dalmuir - Minerva St
Greater Glasgow and Clyde,Dalmuir - SECC
Dumfries and Galloway,Dalscone,578278.33,298184.55
Forth Valley,Denny,682958.5,281963.91
Lothian,Dunbar,677787.86,364380.56
Forth Valley,Dunblane,700646.08,278166
Fife,Dunfermline,681717.88,312197.51
Lanarkshire,Dunnswood,677102.93,278164.96
Lanarkshire,Dunnswood - Carrickstone
Highland,Dunoon,676972.15,217390.1
Borders,Duns,653181.5,379735.63
Lothian,East Calder,668066.66,307843.08
Grampian,Ellon,830487.53,396640.16
Greater Glasgow and Clyde,Erskine,669098.8,249357.57
Borders,Eyemouth,663201.69,395083.68
Ayrshire and Arran,Fairlie,655930.39,220705.78
Forth Valley,Falkirk,682201.61,290310.16
Lothian,Fauldhouse,660273.61,294009.85
Tayside,Forfar,750321.05,344243.27
Tayside,Forfar - Central
Grampian,Forres,859558.38,303855.39
Highland,Fort William,775066.03,210876.73
Grampian,Fraserburgh,866870.62,397341.11
Borders,Galashiels,635089.79,351250.59
Ayrshire and Arran,Girvan,599905.59,219022.3
Highland,Grantown on Spey,826923.88,302942.25
Fife,Guardbridge,719798.9,345117.98
Lothian,Haddington,674425.95,353183.22
Lanarkshire,Hamilton,657549.12,271186.31
Lanarkshire,Harthill,664774.7,290756.33
Tayside,Hatton,737332.41,360330.41
Tayside,Hatton - Fintry East
Tayside,Hatton - Fintry North
Tayside,Hatton - Fintry West
Borders,Hawick,615508.45,351230.11
Highland,Helensburgh,679869.16,232053.66
Grampian,Huntly,840324.35,353519.69
Greater Glasgow and Clyde,Inverclyde,675251.29,220298.38
Greater Glasgow and Clyde,Inverclyde - Gourock
Grampian,Inverurie,820328.35,378121.53
Fife,Ironmill Bay,684294.12,306063.65
Borders,Jedburgh,622520.15,365789.85
Borders,Kelso,634661.65,373596.28
Fife,Kincardine,687105.43,293029.97
Forth Valley,Kinneil,681112.93,296105.97
Fife,Kirkcaldy,692185.85,328723.76
Orkney,Kirkwall,1013746.69,347529.04
Lanarkshire,Lanark,643686.6,287222.43
Dumfries and Galloway,Langholm,583961.37,336758.42
Ayrshire and Arran,Largs,662381.87,219430.84
Shetland,Lerwick,1144757.48,446873.31
Lanarkshire,Lesmahagow,640784.62,281570.16
Fife,Levenmouth,700446.4,337412.03
Lothian,Linlithgow,677855.51,298687.99
Dumfries and Galloway,Loch Ryan,562944.65,202802.18
Dumfries and Galloway,Lockerbie,581440.48,312570.85
Grampian,Lossiemouth,868684.92,325102.47
Lanarkshire,Mauldslie,650189.54,280882.73
Ayrshire and Arran,Maybole,608781.56,231029.9
Ayrshire and Arran,Meadowhead,635857.51,233866.84
Ayrshire and Arran,Meadowhead - Kilmarnock HMP
Tayside,Montrose,760295.16,372378.47
Ayrshire and Arran,Muirkirk,626364.31,267698.51
Highland,Nairn,857365.9,289632.15
Greater Glasgow and Clyde,Neilston,657833.9,247882.36
Lothian,Newbridge,673117.06,312595.69
Fife,Newburgh,718754,324348
Ayrshire and Arran,New Cumnock,613986.27,262184.25
Fife,Newport & Tayport,729045.69,343676.77
Borders,Newtown St Boswell,631801.41,358154.06
Grampian,Nigg,804588.37,396377.52
Grampian,Nigg - Aberdeen RI
Grampian,Nigg - Torry
Highland,Oban,730176.21,185987.87
Greater Glasgow and Clyde,Paisley,665531,248542
Greater Glasgow and Clyde,Paisley - Airport
Greater Glasgow and Clyde,Paisley - Blackhall
Greater Glasgow and Clyde,Paisley - Brediland
Borders,Peebles,639936.98,326987.09
Lothian,Penicuik,660898.93,324660.97
Grampian,Persley,809779.65,390619.3
Grampian,Persley - Northfield
Tayside,Perth,722090.53,314663.46
Grampian,Peterhead,844165.18,412671.18
Lanarkshire,Philipshill,656040.81,260279.76
Lanarkshire,Philipshill - Hairmyres Hospital
Lanarkshire,Philipshill - Stewartfield (3606)
Lanarkshire,Philipshill - Stewartfield (7801)
Dumfries and Galloway,Sanquhar,609092,278212
Lothian,Seafield,675949,328607
Lothian,Seafield - Cockenzie
Lothian,Seafield - Craigmillar
Lothian,Seafield - Muirhouse
Lothian,Seafield - Restalrig
Lothian,Seafield - Tranent
Lothian,Seafield - Western General
Borders,Selkirk,629776.12,347445.71
Greater Glasgow and Clyde,Shieldhall,665879.92,253347.05
Greater Glasgow and Clyde,Shieldhall - Barrhead
Greater Glasgow and Clyde,Shieldhall - Gorbals
Greater Glasgow and Clyde,Shieldhall - Govanhill
Greater Glasgow and Clyde,Shieldhall - IMAX
Greater Glasgow and Clyde,Shieldhall - Pollockshields West
Greater Glasgow and Clyde,Shieldhall - Science Centre
Lanarkshire,Shotts,659440.47,286599.89
