,2021-02-15,2021-12-14,2021-11-02,2022-01-17,2021-08-26,2021-01-07,2021-03-30,2020-12-06,2020-08-12,2021-06-23,2021-03-02,2020-10-14,2021-08-18,1899-12-31,2021-09-17,2021-02-09,2020-09-30,2020-06-04,2021-03-25,2020-07-06,2021-12-01,2021-06-08,2020-08-03,2022-01-05,2022-02-04,2021-03-08,2021-06-29,2021-06-10,2021-01-15,2021-09-24,2021-04-16,2021-08-12,2021-02-03,2020-07-27,2021-01-21,2022-01-31,2021-04-08,2021-07-09,2021-07-30,2020-06-10,2020-09-24,2021-05-31,2021-09-08,2021-12-13,2022-01-10,2021-11-05,2020-09-09,2021-02-12,2020-12-01,2021-10-21,2021-04-06,2021-05-12,2021-07-07,2021-09-30,2021-08-02,2020-11-23,2022-01-27,2021-11-18,2020-12-14,2021-05-24,2021-06-03,2021-04-30,2020-08-31,2020-08-08,2021-11-21,2021-07-27,2021-09-14,2021-03-01,2020-11-03,2021-06-19,2021-11-16,2020-10-21,2020-07-03,2021-03-20,2021-12-04,2021-02-22,2021-10-07,2021-09-01,2022-01-19,2020-11-30,2020-12-08,2021-05-19,2020-09-21,2020-10-05,2020-08-26,2020-11-11,2020-09-18,2021-08-09,2020-12-29,2020-06-15,2022-01-13,2021-02-11,2021-12-10,2020-12-02,2021-02-28,2021-07-20,2021-09-13,2021-10-19,2020-11-04,2021-03-06,2021-03-29,2021-06-04,2022-01-20,2020-10-28,2021-05-23,2021-06-14,2021-09-20,2021-10-13,2021-04-12,2021-01-11,2021-05-06,2021-08-16,2021-12-28,2021-03-23,2021-07-12,2021-12-07,2021-11-15,2020-10-22,2020-08-05,2021-11-09,2021-06-30,2020-08-19,2021-04-21,2021-02-27,2021-04-02,2021-10-25,2021-03-10,2020-11-27,2021-08-06,2020-06-23,2020-07-15,2020-09-17,2021-03-31,2021-12-15,2021-11-03,2021-08-27,2020-12-07,2021-01-06,2021-10-08,2020-08-13,2021-07-23,2021-03-05,2021-09-29,2021-01-18,2022-02-09,2021-06-24,2020-06-03,2021-09-10,2020-10-13,2021-06-09,2021-03-24,2021-11-12,2020-07-07,2021-10-14,2022-02-07,2021-09-27,2021-08-11,2022-01-06,2021-04-15,2020-11-09,2020-12-31,2021-07-08,2021-04-09,2020-06-28,2021-01-20,2020-09-25,2020-10-01,2020-08-22,2021-10-01,2021-02-24,2021-09-07,2021-04-22,2020-09-06,2021-04-07,2021-07-06,2021-10-20,2021-03-15,2021-05-13,2021-08-03,2020-06-26,2020-07-10,2021-11-22,2020-12-17,2021-05-27,2021-12-09,2022-01-24,2021-06-21,2021-07-26,2021-09-15,2021-06-18,2020-11-02,2020-10-16,2020-06-06,2021-11-11,2020-10-26,2021-07-16,2021-02-23,2022-01-18,2021-01-08,2021-10-06,2020-09-01,2020-12-09,2021-01-27,2020-09-22,2020-08-25,2020-10-06,2021-10-29,2020-11-12,2020-06-16,2021-08-23,2021-02-10,2022-01-12,2020-12-03,2020-08-17,2021-11-07,2021-05-10,2021-07-05,2021-03-16,2020-11-18,2020-09-28,2020-07-13,2020-09-11,2021-07-19,2020-10-29,2022-01-21,2021-07-29,2021-09-23,2021-05-05,2021-02-04,2021-06-17,2020-06-09,2022-02-03,2021-01-12,2020-10-19,2020-07-20,2021-05-28,2021-12-06,2021-03-22,2021-07-13,2020-10-23,2020-07-01,2020-12-18,2021-04-26,2021-09-03,2021-02-19,2021-10-05,2020-05-28,2020-09-02,2021-02-20,2021-03-11,2021-05-17,2020-08-28,2020-09-16,2021-07-02,2020-06-22,2020-07-14,2020-11-26,2021-12-16,2021-04-28,2021-02-17,2021-08-24,2020-12-04,2021-01-05,2020-08-10,2021-12-20,2021-03-04,2021-09-28,2021-06-25,2021-01-19,2022-02-08,2021-07-22,2020-10-12,2020-11-06,2020-06-02,2021-08-31,2021-05-21,2021-11-24,2020-12-11,2020-07-08,2021-04-14,2020-12-30,2021-02-01,2021-08-10,2021-10-15,2022-01-07,2021-01-17,2021-03-18,2020-10-02,2020-08-21,2020-11-16,2021-01-23,2021-02-25,2021-09-06,2020-09-07,2021-04-23,2021-01-29,2021-03-12,2021-07-01,2021-10-27,2021-05-14,2021-08-04,2020-11-25,2020-07-17,2020-09-15,2020-10-31,2021-05-26,2021-11-23,2021-12-08,2021-06-01,2020-12-16,2022-01-25,2021-09-16,2021-02-08,2021-03-03,2021-08-19,2021-06-22,2020-10-15,2021-11-29,2021-11-10,2021-03-26,2020-10-27,2021-06-28,2021-05-03,2021-06-11,2022-01-04,2021-03-09,2021-02-02,2021-08-13,2021-01-14,2021-10-28,2021-01-26,2020-09-23,2020-08-24,2020-10-07,2020-11-13,2020-06-17,2021-11-04,2021-09-09,2020-09-08,2021-08-20,2022-01-11,2020-08-14,2021-03-17,2021-05-11,2020-12-21,2021-04-05,2020-09-29,2020-11-19,2021-10-22,2020-06-24,2020-09-10,2020-11-20,2021-06-02,2020-12-15,2021-05-25,2021-11-19,2022-01-26,2020-08-09,2021-06-16,2021-01-13,2021-02-05,2021-05-04,2022-02-02,2021-10-11,2022-01-03,2021-09-22,2021-07-28,2020-06-08,2021-04-10,2021-11-17,2022-01-28,2020-06-30,2020-08-07,2020-10-20,2021-07-10,2021-02-18,2021-04-27,2021-10-04,2021-09-02,2020-05-29,2021-02-21,2021-12-19,2020-09-03,2021-01-25,2020-11-10,2021-05-18,2020-09-20,2021-12-17,2021-01-04,2021-11-01,2021-04-29,2022-01-14,2021-08-25,2021-02-16,2020-08-11,2021-10-18,2021-07-21,2021-04-19,2020-07-28,2021-03-07,2020-06-01,2021-11-25,2021-06-07,2021-08-30,2021-05-20,2020-12-10,2021-09-21,2021-04-13,2022-02-01,2021-12-29,2021-06-15,2021-05-07,2021-10-12,2021-08-17,2021-02-06,2021-11-30,2021-01-22,2021-03-19,2020-11-17,2020-08-20,2021-11-08,2021-02-26,2020-08-18,2020-09-04,2021-04-20,2021-10-26,2021-04-01,2020-11-24,2021-08-05,2020-10-30,2020-09-14,2020-10-09,2020-06-19
Allanfearn,31065,,,31996,,,2764,,,12483,,4750,60093,,334405,,1366,0,,,144194,,,,94059,17465,81673,1287,47935,182538,,,35619,,,,,207912,171697,0,,1387,286147,22538,90873,1786,379,,3061,76101,15255,4616,110442,,56164,0,,,3819,,,,1124,,,175138,312737,,16654,,,3849,,,,70399,,645198,63465,5324,0,492,0,5518,0,3038,1142,,,0,,,19960,2215,,78213,295005,45174,4220,,NA,743,,0,,3985,107087,98044,2976,102770,,27743,,45045,87590,166736,112717,,,,,0,,12775,597,46463,33509,,32180,,,,588,124993,45107,454669,448,82734,62879,,94067,10975,108140,67382,226388,,,176275,2630,0,35711,67430,,66516,52111,,30467,102483,,2540,,,7304,,15131,5033,,,117328,12242,1313311,,,4722,148209,43636,26433,18140,43934,,,165322,,,12699,,6350,112407,,6776,6749,8390,,,9109,113598,35213,,,55160,2353,0,,5867,0,3496,245371,,,207305,72455,NA,,898,,1706,158210,3090,7368,1545,,1006,,,60867,,,,,,0,57575,36182,1626,,1293,155588,12615,80936,28103,,,,NA,59022,98563,,2912,,,1131,0,325,98432,,,,,1058,13421,180701,2715,55044,0,191008,,65569,34094,33430,,92510,2650,6349,0,318495,0,,5982,,,,,24189,168984,,,,1982,1074,4449,,,432453,2825,8421,44044,55268,,179109,9469,41472,28105,,1686,,0,166588,,852,4020,111312,,45465,,,41267,,194730,52602,31291,4157,97953,796,5865,106768,42959,31607,77208,,,33625,5875,1414,3004,5998,,,,7171,175738,,868,3874,,,,2678,,,,,,0,,511,,NA,,8613,122424,41432,,21153,,NA,243526,60354,0,,44245,,0,435,9649,,,4780,,709834,,,,,,,730,,,70482,90051,,147641,317356,58541,,77238,86700,,,,0,,,,,,222711,2387,47053,,15125,32418,52850,44701,,,29462,32887,11680,,56300,,820,7868,,156278,,3887,,107813,1302,,0
Allers,,,,,,,,,,,,,,,,,,,,,,,,,,,,9470,,,,,,,,,3857,274111,182675,,,12959,,249906,,,,,,,,,,,,,,,,,,12276,,,,,,15091,,,,,,,,46774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14018,,,,,7443,,,,,,237807,,,,,,,,,,,,,,,,,,,,,,,,108883,,,,,,,1081826,,,3694,,,,,,,,15269,,,,,,,,,,77248,,,,,,,,,10590,,,,374575,,,,,,,,,,,,,,172052,,,164611,,,,,,,,,,,,,,,,,,,,,,,,,,,,138315,,,,,,,,,,243833,,,,,,,,,,,,,2164,,,,317623,,,,,,,,,,,,,,77538,60401,204570,,,,,,2386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4087,,,,,,299940,12350,,,,,,,,,,,,NA,,44506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160353,,,,,,,,,,,,,,,,,,,,,,,,70511,,,,,,57559,,,,60768,,123163,,,,,,,,960625,,,,,,449283,,,,,,,,3334,,,310774,,,,,41069,8910,,,,,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,,21179,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,,71992,,,78204,,,,,11696,,169252,,,,,,54861,,,,,,,19447,,40954,,,,,14987,,4694,,13855,,,,,15119,437785,,,,,,,72552,NA,,,281593,,,38998,134576,,21387,,,,,,,234712,20098,,,43837,,,,,36623,,387159,,,,,,,,,,85928,,,128932,,,,,,,,,,20001,,57047,,,21299,74989,112167,20591,115040,27729,243591,,15195,208317,,,,,142715,53810,,,,,,38277,,80689,,,,22576,,,,,211953,,,,,,,,97920,,,,,,,,,,,48391,244667,23457,,,90835,,,11836,,,,,10697,,,,,60842,,9136,,88742,,,,,,94273,,,,,,,,,88743,,,45406,58261,,,,,16499,,,,,,,431206,56118,,,,,,,13061,,,,,,,,,,,,44593,,88192,145058,,,,,16087,,,,,12049,,15023,,,,,,,,,109200,,,,74396,,7122,,,42938,,NA,,,,,229783,86961,,,,,21303,,,,,,95838,,185875,,,,,,,,,784602,,,,,,,31831,,,,,,NA,86199,,,22351,,155926,58258,20216,,40302,,,,,,,,,186963,36814,,,,217815,,,,,,,78999,,,,57062,,65428,27906,3325,53864,,,,,,,67129,34953,,,,,,144388,,13576,,56643,,,,,,,,,,,,33139,16852,131851,,,,,,74131,,9615,,,,,1729,,249791,,,36307,74817,,,,,139156,66794,508699,,,,16162,132437,,,,,,,206461,25821,,,,,,,,,159953,25824,,,,,,
Alness,,,,73130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75796,,,,,,,,,,,,,,,,,,,,,16321,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,157128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,,194958,98282,,,,4104,,,,7824,,,,,,,,,,,,,152478,,5429,,35759,,,,,,,,,,,,,,26755,,,,,,,,162652,5236,,,195669,,,,428169,,,169382,1280,,,,,221828,21722,,,98362,,,,,50990,,230940,,,,7844,,,,,,,,,,,,,,,,,,,,,197383,,,20713,73580,,3343,,622,,,4698,43734,42389,,,,97970,37294,,,,,,,,,,,,6564,,,,,,,,,,,,,30624,,176879,,,,,,,,,,,,,,36044,3715,,,,,,,,900924,,,,108481,,5652,,,,,,,,,,,55457,,,,,,122571,,,81492,109306,,,,,,,,,,,,,,,,,,,,5966,,,,,159015,,,20947,,,,62412,,,,,,7542,,8117,,,,,,,106223,,,,,,,,,114838,,,,46914,,,,,,,,,,,,183432,,,,,,1459,,,,,,,,,,,,,,,,,,,,,,,,1744,,,,,,2719,211854,,,,,200501,,,,58761,,,,,,,,,,41358,,,,238667,,,,,,,92368,,,,,,,3377,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,,,,,36372,3670,270461,,,,,,,,,,,,,,,,,,212713,23320,,,,,300910,78595,259762,,,,1653,752859,,,,,,,,,,,,,,,,,267430,,,,,,,
Annan,,,,,517191,1193429,,,,,0,,,,,,,,,,,,,,,24598,,NA,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,0,11180,,,,,,,,2180,,,,,,,NA,,191323,,,,,,,,,,,,,,,2925,,,,433865,,,,NA,,,,,,,54792,1548,,,,,716,,,218826,,,,,0,,,,37554,,,,,,,,,,,0,,,,,,,,52261,,,,1290,,,,,,,79165,,,,,,,,,,,,,,,897852,,,,,7675,5785,,43863,,,275562,,,,,,,,,,,,,,,6882,,,53707,0,,,,,0,,,,,26815,,,,,569,305215,,,0,,,100038,,213833,,,2981,,,,,,,,,,,,,,,1544,,,,0,,,,2584,,,,,,375,,,,,,,,43924,,,,,,,,,,,,,,,,,,69592,184988,,,,,,,,,,0,,24242,,61889,,,,,,0,,,,,,,,,,,,13711,,,,,1779,,,,32704,,,,,,,580,0,,,,,,,,,,,,,,,,,,,14298,,,,,,,,332249,5982,,48858,,,,,,,,,,,1007,,,,,,,957,,,,4477,,,42869,,15514,,104050,,,,,,,,,,,,,,,58010,,,,37858,,25463,104565,,156724,17339,,,,62031,,,,,,,,,,,,
Ardoch,,,,,,,,,,17805,,,,,NA,,,,,,,6750,,,,,4017,,,,,,,,,69951,,,,,,1499,,,,47327,,,,26393,2440,693,,NA,,,,,,3429,,,,,,60784,,,,,,,,,,,,NA,,,,0,,,,,,,,,,,,,,,,,,,4081,,72392,,,,9838,,1550,,,,,19305,39349,,61792,,,,,,,,NA,,,,,,,,,,,,,,,,23397,4560,,,99633,4794,,,,,,8674,,,,,,,,,,47294,,,,,,,,,,,,,109671,79076,,,,,,46228,,266,13518,43254,,,NA,NA,,,,,,,3963,38543,,,,,,,,,16082,,,,,,,,,0,,,,,,,,,,46946,,0,,,,,,,,,82004,4511,,,,,490,,9969,,,,,13891,493,,,,,,,18601,1426,,,,,,,4167,,,,,,,,,17081,,,,,,,,,,48409,,7551,,,,,4021,NA,,,,35547,36951,,,,,,,,,,,1996,,,,,,,,,65417,,,,,,8087,110729,,,,,,,,,,,,,NA,,,,,,,,4232,,,,,,,,,,66780,49155,,,,,2105,,,,,,,,,,,,,,24194,,88637,,,,,,,,,,,,96797,,53734,,,,,,,,,,,,,,,,2613,106460,45193,5290,,,,,,,10916,,,69404,,,,,62745,,,,,,,
Armadale,NA,,93692,,,,,,,158941,12680,,,,,,,,15452,,,,,1697777,422372,,,,,,,,,,20584,,,,,,,21612,1102894,,,,,,,,15280,,,,,,77723,212934,12986,,,,,,,174279,645462,,,,163240,,,,,,,,,,,,,,,,,,,,,,,,,128554,,,,,,,,,,69117,,,2111,,,,,,,283472,,,,121853,,,,,3637,,,,,,,,,,,,,,,,317092,,,,,,,,,11960,13549,,,,,,,,,,,,,,,,,,176779,,,,,7829,265018,135659,,,,,,,,68283,,,39616,,,,,,,156246,,,53112,,33772,,,,,,,,,,,,,,,,,11764,,,,,,,,,,743595,,8249,,,,,,,,,,,,,,,,963166,182270,51717,,,,36847,,,,,,,,,3815,,,,,,,,,,,421605,,,,,550148,1225,,,,,,54461,,,,,22146,,,,,21167,,,,,23454,325648,,,,,,,,NA,166630,,,,,483849,112475,14290,,,,,,,,267865,,,,,,,,313838,,,,,,,123224,,,,,,14687,12607,60284,,,,,,,,16584,,,,,,66457,37537,,20732,,,,,,,,,,,,,,,6459,,,,,,,236472,,,,,,,,,,,,45394,,,,,,279161,9930,,NA,,,1360,374364,,,,,,,119673,,,,,,,,,,162595,2227,,,,,,
Aviemore,,NA,NA,,,,,,,,,,,,,,,,,,403815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,147073,,31349,NA,,,,,,,,,,,,,316250,,,,,,,305242,,,,,,,,,,,,,,,,,,,,,,,,,14245,,,,,,,,,,,,893406,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,302987,,,,,,,,,769,,,,489578,,,,,,,,,,,,,,,,,135083,,,,451782,216143,,,,,,,,,253544,,26286,,,,,,,315450,,,,NA,,,,,,,,,,,,,,NA,,,,,639509,,,,,,,,,157391,,,,19084,,,,,,,,,,,,,,,,,,,,,,,,,,,,493475,,,144177,,,,,,,,,143058,,,,,,,161916,,,,,,,,,,,,,,,,,,,,,,347819,,311606,,,,,,,,,,,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,NA,189280,,,,,,,,,,,,,,,,,,,,,2854,,,,39662,,,,156320,,,,,,,,,,,77299,187173,,,,,,,,,,,,,,,,,146890,311244,,,,,,,,,,,,,,,,399814,72017,,,,,,,,,,,,,,,,,,,
