,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2022-02-06,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,1899-12-52,2021-09-37,2021-03-13,2020-12-50
Allanfearn,7832.33333333333,2384,156805.25,165955,,8421,,129899,4605,0,290007.75,73765.5,156193.25,5324,8482.75,36351.25,,77068.75,1863,1124,104625.5,40512.25,37300.25,,0,3858.66666666667,8624.75,2845.25,60537.25,45648,2681.5,4193.75,,10806.75,,435,191008,98432,96598.5,10664,188965.5,77327.75,1982,0,1387,43954.6666666667,2663.66666666667,119257,87872.5,677516,16571,,88745.75,8493,23548.5,4377.66666666667,601.333333333333,43437.5,698,58777.3333333333,9093.66666666667,139249.5,1113.75,,552046.5,31165.5,3919.5,30269.75,434,531.666666666667,32657.25,,72200.6666666667,54960,111312,78481,2919,10975,86854.5,69420,,4006,0,318495,52109.3333333333,94041.3333333333,36219.3333333333,16607,38834.5,144194,194730,89813,,117328,588.25,353.5,597,58960,,314049,1676,1607.5
Allers,,9470,41069,374575,,,,182675,,,,249906,274111,,10590,60401,,,,,NA,60768,2164,,,,14018,,123163,57559,15269,,,,,,,317623,,,138315,160353,,,12959,,,,108883,,3334,,243833,,77538,,4087,,,310774,3857,204570,,,1081826,3694,,,,,46774,449283,,,,237807,12276,15091,,164611,,,,960625,,172052,44506,7443,70511,,,,,77248,2386,,8910,12350,,299940,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26229.8,,,,,,,,,,,,,,,,40169,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,53874,188884,112677.5,,,,,,,340498.5,74396,75838.5,,29868.5,14117,,206421.5,,,215815,18428,31512.6666666667,,,,32946,,54429.5,75495.5,20070,,,,,,NA,109200,118228.333333333,,74989,134828.666666667,,,15119,67159.5,,92997,80889,387159,29208.3333333333,3325,94273,,69111,,21387,84715.5,,115729,33859.5,229783,,,611193.5,28714.3333333333,28652,,,67129,30908.6666666667,,131851,110314.5,38998,89206.5,10210,17336.6666666667,281593,111031.666666667,,,,508699,57654,208317,55412.5,20652.5,45315,,206461,53810,,,15459,,25824,57188,,195319,21288.5,
Alness,,,,235220,,,,,,,,14795.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75796,,,,,,,,,,,,,,,,,,,,,NA,,781687,,,,,,,,,73130,,,,,,NA,,,,,,,,,,,
Alva,,57177,253048.5,256382,,,,38202,,,,120936,72262.5,,2560.5,,,,,,152478,71297.5,23393.5,,,,41562.5,,187682.5,95325,2498,,,,,,,114838,,,73580,,,,26755,,,,91167.5,230940,5809,,42389,,44692.5,,5130.5,,,110270.5,4475.5,183432,,,538901.5,6407.5,,,,169382,66241,,270461,752859,,263265.5,2475,14773,195669,,,,,259762,153344.5,43734,,877,,,,37294,,,4651.5,,,,,211164.5,5334,
Annan,14298,NA,37554,275562,,,,,1290,,517191,42869,305215,,569,17339,,104565,0,,32704,957,24598,,,4477,37858,0,7675,15514,1548,580,,1007,,,43924,61889,88414.3333333333,375,58010,332249,,,,69592,0,104050,100038,191323,5785,,2925,2180,13711,0,0,43863,0,62031,0,52261,0,,897852,716,,1779,,11180,6882,,53707,48858,,218826,1544,0,79165,1193429,0,0,,,213833,,5982,2981,24242,,156724,,,,2584,0,,26815,,433865,NA,0
Ardoch,,7418.5,39413.5,46228,69951,,,53865,,,,18601,78482.5,,346.5,,,,,,79569,17081.5,24719,,,,5290,,52734.5,72062,2081.5,,,,,,,36951,,,9838,,,,1499,,,53734,23397,NA,9233.5,,47761,,11299.5,,1847.5,,,39039,3336,99633,,,NA,11908,,,,1996,3992,45193,88637,106460,46204.5,64286,958,4363.5,NA,,,,,17081,55467.5,39349,,1052.5,,,65417,4017,,,246.5,,NA,,,NA,4081,
Armadale,,10945,238216.5,222895.5,,,,458937,,,,,265018,,12185.5,20584,,,,,1697777,182270,30150.5,,,,67787,,90526.5,108458,1735.5,,,,,,,325648,,,,37537,,,21612,,,,222823,963166,18416.5,60284,283472,,99278.5,,68283,,,139049.5,11554.5,421605,,,1102894,14500.5,12986,,,16584,37139.5,,51717,398368,77723,188087,5137,13485,,33772,,,,550148,,,54461,14490.5,236472,,119673,267865,,176779,1225,,2932,112475,,564655.5,,
Aviemore,,769,347819,161916,,,,156855.5,,,144177,493475,545645.5,,,,,72017,,,,,,,,,10969,,181516.5,NA,,,,,,,,,444696,,,,,,,,,NA,307115.5,246207.5,,,253544,,26286,,,229339.5,,315450,,143058,,,162181.5,,,,,,,,77299,39662,31349,316250,,,NA,,,,,,14245,893406,,,,403815,,,,,,,,,,NA,,
Banchory,,1450,,87131,NA,,,13473,,,247314,118184,26714,,0,,,15506,,,155533,,,,,,7755.5,,99733.5,44657,438,,,,,,NA,12901,,,,,,,,28148,,,67907,202202,,,29963.5,,1022.5,,0,11086.5,,381608,,,,,616747.5,,,,,491,,,121617,239706,,92211,1380.5,,,,,,,77486,74842,26586,,1755.5,,,63127,9979,,191309,496.5,,,,,87542,,
Banff,,3509.66666666667,322335,105241,,0,,66583,,,375741,90976,71200.3333333333,,377.666666666667,,,,,,116272,,,,,,232.666666666667,,69370,NA,465,,,,,,190860,82690,160309,,445335,,,,430,,,,105722,1191274,,,10955,,3083.66666666667,,300.333333333333,21459,,58962.3333333333,,55136,,,862369,,,,,6326,,,392882,123349,NA,114351.5,597.333333333333,,,,,,,871845,141015,77679,,1005.66666666667,,86204,39005,35081,,,628.333333333333,,,,,271561,,
Bathgate,,5091,41717,191942,,,,53191.5,,,,91251.5,166324,,18425,0,,161264,,,42000,43472,7367,,,,599,,91198,60491.5,2367.5,,,,,,282818,558525,,,,13479,,,0,,,26622,314239,194213,13700.5,,41578,,109897.5,,5542,,,161624,NA,80217,,,205206,7804.5,38394,,,33808,39242,,168380,139059.5,47297,120845,4059.5,44143,,12293,,,,203006,88486,93447,72119,4640,61048,,NA,362803,,89090,6906,,38065,61679.5,,233655,,
Biggar,,,,,,,,,,,,,,,,0,,,,,,760,64461,,,,,,,,,,,,,,,,,,,0,,,,,,,,,700,,,,,,,,,,,,,,,930,,,,,641,,,,,,0,1513,,24495,,,,,,,20530,,20087,,,,,,,,,1277,,,NA,
Blackburn,,60334,344623,53918,,35621,,108830,,,,88529,219151.5,,2376.5,14462,,,,,71588,56749,10017.5,,,,38499.5,,37980,75945,9532,,,,,,236362,172561,135724.5,,94060.5,21683,,,55582,42617,,,98734,230443,12538.5,,128640.5,,36486.5,,17192,,,92594,18002,57506,,,351256.333333333,26624.5,4447,,,27283,49144,,38787,93510,187180,94541,27195.5,13662.5,,40228.6666666667,,,,1239318,111935.5,174816.5,22147,7697,2450,,115515,139077,,4363,16288,,8877,43062,,,23351,
Blackridge,,17948.5,47967,87429,,,,282768,,,,123721,1200259,,33396.5,6648,,,,,14070,71844,612.5,,,,23050.5,,37892,21668.5,405827,,,,,,NA,66281,,,,3979,,,,,,34327.5,103366,174238,3156,999,89667,,37410.5,,28015,,,1749,125867,68581,,,439697,7548.5,2065,,,16923,112067.5,,,139909.5,25290,73294,9319.5,9671,,2365,,,,134875,9495,5007354,97715,12477.5,43456,,87358,74899,,NA,24890.5,,24313,52270,,1165431,,
Blackwood,,59357,,,,,,269243,,,,227841,710422,,0,,,232701,,,40460,55129,633,,,,38819,,49997,22253,,,,,,,,,,,,406621,,,,,,,644470,,1988,,13138,,18537,,17432,,,64848,0,219183,,,NA,8858,,,,36023,93444,,30680,,,51225,591,4736,,120248,,,,557769,,1222774,98253,NA,25518,,,17746,,,NA,,6116,9784,,93197,,
Blairgowrie,,4231,452409,613077,,,,121448,,,102601,41212,85490,,5717,,,111647,,,106647,3130,,,,,19224,,1130147,181488,,,,,,,NA,,,,277884,,,,,57652,,,38453,,127712,,31615,,17855,,NA,81673,,117032,16660,,,,,82158,,,,13043,8067,,31463,,,,1133,2614,,,,,,155956,227332,275281,,0,,,,26308,,,2470,,,,,149057,30109,
Boness,,4450,266724,60194.5,,,,70719,,,,169957,91907,,1874,,,,,,215601,33645,2841.5,,,,155,,29443,30857.5,4693,,,,,,,170294,,,29819,,,,,,,67022,63317.5,372499,16764,,145200.5,,37804.5,,1409.5,90181,,31171,9930,100631,,,622443.5,8157.5,,,,5957.5,98199.5,,20156,54322,,54865.5,734.5,2680.5,,,,,,273959,51399,336147,,359.5,,,,22167,,35057,1983.5,,,,,42662,3458,
Bonnybridge,,13068.5,89144.5,439752.5,,,,76161,,,183711,144762,193309.5,,15895,,,,,,,64587,12095,,,,8529,,96999.5,48195,3347,,,,,,,241480,,,,,,,,,,111253,113820,231872,18135,,108920,,24122.5,,26916,119024,,70376,8842,,,,483756,32442,,,,26921,46934.5,,191680.5,165262,51952,64271,1518.5,71198,293844,,,,,110970,80559,46302,,3434,,,378204,113882,,,4014,,,,,287630,41311,
Bothwellbank,,10441,161250,101074,,,,196492,,,,259310,158116,,,31869,,,,,380537,46224,10933,,,,17020,,119477,70341,8236,,,,,,750128,,,,311387,67947,,,11258,,,,66028,,15112,,44827,,14392,,7115,,,94872,8169,112338,,,1298700,8447,,,,,25492,,129797,,,68928,2303,24338,,50564,,,,904681,,479350,2885,4731,52351,,,25530,,,3117,,,20710,,658297,7377,
Bowhouse,,5463,190429,76947,,,,,,,219176,106796,20424.5,,NA,,,,,,134210,882.5,3903,,,,19738,,96822,177652.5,NA,,,,,,,,,,54751,,,,1548,,,110903,,111089,824.5,,39471.5,,59703.5,,432,,,153457,0,144843,,,409775,605.5,,,,923,532,,190533,,81463,74342,169,2724,133036,,,,,826366,53063,73177,10342,0,32051,91000,,31723,,,550.5,,753,10247.5,,314952,608,
Buckie,,8102,487915.5,124322,,,,50516.5,,,77262,28464,204135,,,,,,,,50414,,,,,,NA,,NA,123642,,,,,,,,117335,312356,,,,,,,,,NA,83979.5,NA,,,38556,,37956.5,,,,,94492.5,,224849,,,99632,,,,,,,,86226,,NA,NA,,,,,,,,25202,NA,155606.5,,,,,NA,11383,,,,,,,,87214,,
