Health_Board,Site,Population
Highland,Allanfearn,10k - 100k
Lanarkshire,Allers,10k - 100k
Lanarkshire,Allers - St Leonards,10k - 100k
Forth Valley,Alloa,10k - 100k
Highland,Alness,4k - 10k
Forth Valley,Alva,4k - 10k
Dumfries and Galloway,Annan,4k - 10k
Greater Glasgow and Clyde,Ardoch,10k - 100k
Lothian,Armadale,10k - 100k
Highland,Aviemore,2k - 4k
Grampian,Banchory,4k - 10k
Grampian,Banff,10k - 100k
Lothian,Bathgate,10k - 100k
Lanarkshire,Biggar,2k - 4k
Lothian,Blackburn,10k - 100k
Lothian,Blackridge,2k - 4k
Lanarkshire,Blackwood,2k - 4k
Tayside,Blairgowrie,4k - 10k
Forth Valley,Boness,10k - 100k
Forth Valley,Bonnybridge,10k - 100k
Lanarkshire,Bothwellbank,10k - 100k
Fife,Bowhouse,4k - 10k
Grampian,Buckie,10k - 100k
Lanarkshire,Carbarns,10k - 100k
Borders,Coldstream,2k - 4k
Ayrshire and Arran,Cumnock,10k - 100k
Ayrshire and Arran,Cumnock - Netherwood,10k - 100k
Fife,Cupar,4k - 10k
Dumfries and Galloway,Dalbeattie,4k - 10k
Greater Glasgow and Clyde,Daldowie,100k +
Greater Glasgow and Clyde,Dalmarnock,100k +
Greater Glasgow and Clyde,Dalmuir,100k +
Greater Glasgow and Clyde,Dalmuir - Auchinairn (6298),100k +
Greater Glasgow and Clyde,Dalmuir - Auchinairn (6330),100k +
Greater Glasgow and Clyde,Dalmuir - Clydebank,100k +
Greater Glasgow and Clyde,Dalmuir - Minerva St,100k +
Greater Glasgow and Clyde,Dalmuir - SECC,100k +
Dumfries and Galloway,Dalscone,4k - 10k
Forth Valley,Denny,10k - 100k
Lothian,Dunbar,4k - 10k
Forth Valley,Dunblane,4k - 10k
Fife,Dunfermline,10k - 100k
Lanarkshire,Dunnswood,10k - 100k
Lanarkshire,Dunnswood - Carrickstone,10k - 100k
Lanarkshire,Dunoon,10k - 100k
Borders,Duns,2k - 4k
Lothian,East Calder,10k - 100k
Grampian,Ellon,10k - 100k
Greater Glasgow and Clyde,Erskine,10k - 100k
Borders,Eyemouth,4k - 10k
Ayrshire and Arran,Fairlie,0 - 2k
Forth Valley,Falkirk,10k - 100k
Lothian,Fauldhouse,4k - 10k
Tayside,Forfar,10k - 100k
Tayside,Forfar - Central,10k - 100k
Grampian,Forres,10k - 100k
Highland,Fort William,4k - 10k
Grampian,Fraserburgh,10k - 100k
Borders,Galashiels,10k - 100k
Ayrshire and Arran,Girvan,4k - 10k
Highland,Grantown on Spey,2k - 4k
Fife,Guardbridge,4k - 10k
Fife,Haddington,4k - 10k
Lanarkshire,Hamilton,10k - 100k
Lanarkshire,Harthill,2k - 4k
Tayside,Hatton,100k +
Tayside,Hatton - Fintry East,100k +
Tayside,Hatton - Fintry North,100k +
Tayside,Hatton - Fintry West,100k +
Borders,Hawick,10k - 100k
Highland,Helensburgh,10k - 100k
