,Health_Board,Site,Latitude_dd,Longitude_dd,Population,2020-05-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-32,2020-08-33,2020-08-34,2020-08-35,2020-08-36,2020-09-36,2020-09-37,2020-09-38,2020-09-39,2020-09-40,2020-10-40,2020-10-41,2020-10-42,2020-10-43,2020-10-44,2020-11-45,2020-11-46,2020-11-47,2020-11-48,2020-11-49,2020-12-49,2020-12-50,2020-12-51,2020-12-52,2020-12-53,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-31,2021-08-32,2021-08-33,2021-08-34,2021-08-35,2021-09-35,2021-09-36,2021-09-37,2021-09-38,2021-09-39,2021-10-39,2021-10-40,2021-10-41,2021-10-42,2021-10-43,2021-11-44,2021-11-45,2021-11-46,2021-11-47,2021-11-48,2021-12-48,2021-12-49,2021-12-50,2021-12-51,2021-12-52,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-02-05,2022-02-06
1,Highland,Allanfearn,57.4989010637052,-4.15211114427569,10k - 100k,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,435,434,698,353.5,1124,4377.66666666667,2845.25,1113.75,4193.75,1863,1982,4006,4605,10806.75,30269.75,8493,3858.66666666667,7832.33333333333,10664,5324,2663.66666666667,1607.5,3919.5,NA,NA,69420,77327.75,36351.25,38834.5,36219.3333333333,58960,40512.25,32657.25,10975,37300.25,16571,31165.5,1676,597,9093.66666666667,2681.5,8421,2919,16607,8482.75,588.25,601.333333333333,1387,531.666666666667,2384,8624.75,23548.5,89813,98432,156193.25,94041.3333333333,87872.5,129899,43437.5,43954.6666666667,77068.75,290007.75,318495,677516,552046.5,314049,188965.5,86854.5,117328,72200.6666666667,96598.5,60537.25,156805.25,45648,58777.3333333333,78481,165955,194730,144194,88745.75,73765.5,191008,NA,104625.5,119257,52109.3333333333,111312,NA,54960,139249.5
2,Lanarkshire,Allers,55.7798920694044,-4.13503078112867,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164611,160353,60401,70511,44506,12350,60768,46774,15091,2164,3334,3694,NA,8910,3857,15269,NA,12276,7443,10590,2386,4087,12959,NA,9470,14018,77538,NA,317623,274111,172052,108883,182675,NA,NA,NA,NA,960625,NA,1081826,299940,138315,NA,77248,NA,NA,123163,41069,57559,310774,237807,374575,NA,NA,243833,249906,NA,449283,NA,NA,NA,NA,NA,NA,204570
3,Lanarkshire,Allers - St Leonards,55.7798920694044,-4.13503078112867,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26229.8,712.5,NA,40169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Forth Valley,Alloa,56.1061119673765,-3.79172441125497,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28652,3325,NA,111031.666666667,134828.666666667,14117,45315,55412.5,57188,18428,30908.6666666667,17336.6666666667,31512.6666666667,29208.3333333333,28714.3333333333,21288.5,25824,33859.5,20070,NA,10210,20652.5,29868.5,15459,21387,15119,67129,53874,32946,69111,53810,109200,75838.5,208317,80889,NA,84715.5,67159.5,206421.5,340498.5,508699,387159,611193.5,195319,74989,281593,NA,131851,118228.333333333,54429.5,188884,75495.5,115729,89206.5,112677.5,206461,NA,94273,74396,NA,NA,215815,92997,57654,38998,NA,110314.5,229783
5,Highland,Alness,57.6913714940501,-4.22477034888461,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781687,235220,NA,NA,75796,14795.5,NA,NA,NA,NA,73130,NA,NA,NA,NA
6,Forth Valley,Alva,56.1488188404649,-3.81485017736689,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71297.5,66241,14773,23393.5,5809,6407.5,5334,NA,4475.5,2498,NA,2475,877,2560.5,4651.5,5130.5,26755,169382,57177,41562.5,44692.5,37294,114838,72262.5,43734,91167.5,38202,NA,NA,NA,NA,259762,230940,538901.5,211164.5,73580,195669,NA,270461,NA,187682.5,253048.5,95325,110270.5,263265.5,256382,NA,NA,42389,120936,NA,NA,152478,NA,153344.5,NA,NA,752859,183432
7,Dumfries and Galloway,Annan,54.9738026551795,-3.2617209843747,4k - 10k,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,580,0,NA,0,1290,1007,1779,2180,4477,14298,375,NA,0,0,NA,NA,NA,1193429,332249,17339,24242,5982,26815,957,6882,0,24598,5785,716,NA,NA,0,1548,NA,1544,2981,569,2584,0,NA,11180,NA,37858,13711,NA,61889,305215,NA,100038,NA,43863,69592,104565,517191,NA,191323,897852,433865,58010,79165,NA,53707,88414.3333333333,7675,37554,15514,62031,218826,275562,156724,NA,2925,42869,43924,NA,32704,104050,213833,NA,NA,48858,52261
8,Greater Glasgow and Clyde,Ardoch,55.9473408149899,-4.60584731735819,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17081.5,3992,4363.5,24719,9233.5,11908,4081,NA,3336,2081.5,NA,958,1052.5,346.5,246.5,1847.5,1499,1996,7418.5,5290,11299.5,4017,36951,78482.5,39349,23397,53865,NA,NA,NA,NA,17081,NA,NA,NA,9838,NA,NA,88637,NA,52734.5,39413.5,72062,39039,64286,46228,65417,NA,47761,18601,NA,45193,79569,53734,55467.5,46204.5,69951,106460,99633
9,Lothian,Armadale,55.9065840013622,-3.70088084310073,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12986,60284,NA,33772,37537,20584,236472,54461,112475,182270,37139.5,13485,30150.5,18416.5,14500.5,NA,2932,11554.5,1735.5,NA,5137,14490.5,12185.5,1225,68283,21612,16584,10945,67787,99278.5,267865,325648,265018,NA,222823,458937,NA,NA,NA,NA,550148,963166,1102894,564655.5,NA,NA,176779,51717,NA,90526.5,238216.5,108458,139049.5,188087,222895.5,119673,NA,283472,NA,NA,NA,1697777,NA,NA,77723,NA,398368,421605
10,Highland,Aviemore,57.2096639839582,-3.8170882100813,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,10969,26286,NA,NA,545645.5,893406,307115.5,156855.5,229339.5,NA,72017,144177,NA,246207.5,162181.5,NA,NA,NA,NA,77299,444696,181516.5,347819,NA,315450,316250,161916,NA,403815,253544,493475,NA,NA,NA,NA,14245,31349,NA,39662,143058
