site_id,facility_name,,,,address_line,postal_code,latitude,longitude,contact_person,contact_person_email,phone,average_daily_flows,sample_type,population_served,,sampling_frequency,institution_type
UK_SC_Site92,Seafield, Lothian, Scotland, GB,,,55.87825,-3.59022,,communications@sepa.org.uk,,,,605569,people,,
UK_SC_Site29,Dalmuir, Greater Glasgow and Clyde, Scotland, GB,,,55.85321,-4.24681,,communications@sepa.org.uk,,,,428173,people,,
UK_SC_Site94,Shieldhall, Greater Glasgow and Clyde, Scotland, GB,,,55.86765,-4.34624,,communications@sepa.org.uk,,,,376856,people,,
UK_SC_Site84,Nigg, Grampian, Scotland, GB,,,57.050018,-2.50557,,communications@sepa.org.uk,,,,218123,people,,
UK_SC_Site27,Daldowie, Greater Glasgow and Clyde, Scotland, GB,,,55.85321,-4.24681,,communications@sepa.org.uk,,,,211013,people,,
UK_SC_Site53,Hatton, Tayside, Scotland, GB,,,57.42509,-1.91846,,communications@sepa.org.uk,,,,194131,people,,
UK_SC_Site76,Meadowhead, Ayrshire and Arran, Scotland, GB,,,55.681352,-4.838693,,communications@sepa.org.uk,,,,190898,people,,
UK_SC_Site28,Dalmarnock, Greater Glasgow and Clyde, Scotland, GB,,,55.84044,-4.21394,,communications@sepa.org.uk,,,,142556,people,,
UK_SC_Site69,Levenmouth, Fife, Scotland, GB,,,56.19466,-2.99823,,communications@sepa.org.uk,,,,116205,people,,
UK_SC_Site85,Paisley, Greater Glasgow and Clyde, Scotland, GB,,,55.85321,-4.24681,,communications@sepa.org.uk,,,,82387,people,,
UK_SC_Site57,Inverclyde, Greater Glasgow and Clyde, Scotland, GB,,,55.901753,-4.742035,,communications@sepa.org.uk,,,,75134,people,,
UK_SC_Site37,East Calder, Lothian, Scotland, GB,,,55.89593,-3.46236,,communications@sepa.org.uk,,,,73313,people,,
UK_SC_Site41,Falkirk, Forth Valley, Scotland, GB,,,56.00096,-3.78811,,communications@sepa.org.uk,,,,70966,people,,
UK_SC_Site34,Dunfermline, Fife, Scotland, GB,,,56.07477,-3.46136,,communications@sepa.org.uk,,,,69986,people,,
UK_SC_Site113,Erskine, Greater Glasgow and Clyde, Scotland, GB,,,55.9046436,-4.4705476,,communications@sepa.co.uk,,,,69455,people,Weekly,
UK_SC_Site99,Stevenston, Ayrshire and Arran, Scotland, GB,,,55.64297,-4.75728,,communications@sepa.org.uk,,,,69291,people,,
UK_SC_Site1,Allanfearn, Highland, Scotland, GB,,,57.4994,-4.14539,,communications@sepa.org.uk,,,,62058,people,,
UK_SC_Site62,Kirkcaldy, Fife, Scotland, GB,,,56.1096,-3.16304,,communications@sepa.org.uk,,,,51344,people,,
UK_SC_Site51,Hamilton, Lanarkshire, Scotland, GB,,,55.77759,-4.05325,,communications@sepa.org.uk,,,,51156,people,,
UK_SC_Site88,Perth, Tayside, Scotland, GB,,,56.39591,-3.43235,,communications@sepa.org.uk,,,,50990,people,,
UK_SC_Site100,Stirling, Forth Valley, Scotland, GB,,,56.13332,-3.96179,,communications@sepa.org.uk,,,,48428,people,,
UK_SC_Site6,Ardoch, Greater Glasgow and Clyde, Scotland, GB,,,55.85321,-4.24681,,communications@sepa.org.uk,,,,46376,people,,
UK_SC_Site90,Philipshill, Lanarkshire, Scotland, GB,,,55.774684,-4.225486,,communications@sepa.org.uk,,,,43889,people,,
UK_SC_Site22,Carbarns, Lanarkshire, Scotland, GB,,,55.765567,-3.945074,,communications@sepa.org.uk,,,,42545,people,,
UK_SC_Site116,Persley, Grampian, Scotland, GB,,,57.1789661,-2.1608476,,communications@sepa.co.uk,,,,38352,people,Weekly,
UK_SC_Site73,Lossiemouth, Grampian, Scotland, GB,,,57.71666,-3.2893,,communications@sepa.org.uk,,,,37651,people,,
UK_SC_Site3,Alloa, Forth Valley, Scotland, GB,,,56.11571,-3.78577,,communications@sepa.org.uk,,,,34758,people,,
UK_SC_Site111,Kinneil, Forth Valley, Scotland, GB,,,56.0140357,-3.6759405,,communications@sepa.co.uk,,,,32289,people,,
UK_SC_Site2,Allers, Lanarkshire, Scotland, GB,,,55.58333,-3.83333,,communications@sepa.org.uk,,,,30137,people,,
UK_SC_Site35,Dunnswood, Lanarkshire, Scotland, GB,,,55.970514,-3.956944,,communications@sepa.org.uk,,,,27032,people,,
UK_SC_Site115,Newbridge, Lothian, Scotland, GB,,,55.9259465,-3.4254217,,communications@sepa.co.uk,,,,24821,people,Weekly,
UK_SC_Site106,Troqueer, Dumfries and Galloway, Scotland, GB,,,56.80486,-5.117405,,communications@sepa.org.uk,,,,24294,people,,
UK_SC_Site89,Peterhead, Grampian, Scotland, GB,,,57.50651,-1.79722,,communications@sepa.org.uk,,,,22492,people,,
UK_SC_Site19,Bothwellbank, Lanarkshire, Scotland, GB,,,55.79968,-4.06394,,communications@sepa.org.uk,,,,21609,people,,
UK_SC_Site13,Blackburn, Lothian, Scotland, GB,,,55.87565,-3.62429,,communications@sepa.org.uk,,,,18993,people,,
UK_SC_Site46,Fraserburgh, Grampian, Scotland, GB,,,57.69442,-2.01656,,communications@sepa.org.uk,,,,17883,people,,
UK_SC_Site59,Ironmill Bay, Fife, Scotland, GB,,,56.228983,-3.125647,,communications@sepa.org.uk,,,,17128,people,,
UK_SC_Site74,Mauldslie, Lanarkshire, Scotland, GB,,,55.724746,-3.930156,,communications@sepa.org.uk,,,,17044,people,,
UK_SC_Site98,St Andrews, Fife, Scotland, GB,,,56.33929,-2.79614,,communications@sepa.org.uk,,,,15876,people,,
UK_SC_Site17,Boness, Forth Valley, Scotland, GB,,,56.01261,-3.61367,,communications@sepa.org.uk,,,,15349,people,,
UK_SC_Site47,Galashiels, Borders, Scotland, GB,,,55.61212,-2.80299,,communications@sepa.org.uk,,,,14921,people,,
UK_SC_Site43,Forfar, Tayside, Scotland, GB,,,56.644063,-2.888982,,communications@sepa.org.uk,,,,14857,people,,
UK_SC_Site114,Montrose, Tayside, Scotland, GB,,,56.7182428,-2.4976449,,communications@sepa.co.uk,,,,14789,people,Weekly,
UK_SC_Site96,Skellyton, Lanarkshire, Scotland, GB,,,55.732305,-3.966265,,communications@sepa.org.uk,,,,14740,people,,
UK_SC_Site54,Hawick, Borders, Scotland, GB,,,55.42475,-2.78431,,communications@sepa.org.uk,,,,14679,people,,
UK_SC_Site18,Bonnybridge, Forth Valley, Scotland, GB,,,56.00295,-3.88117,,communications@sepa.org.uk,,,,14426,people,,
UK_SC_Site24,Cumnock, Ayrshire and Arran, Scotland, GB,,,55.454854,-4.267204,,communications@sepa.org.uk,,,,13690,people,,
UK_SC_Site21,Buckie, Grampian, Scotland, GB,,,57.676326,-2.96489,,communications@sepa.org.uk,,,,13598,people,,
UK_SC_Site11,Bathgate, Lothian, Scotland, GB,,,55.9007,-3.64156,,communications@sepa.org.uk,,,,13272,people,,
UK_SC_Site66,Largs, Ayrshire and Arran, Scotland, GB,,,55.78863,-4.85995,,communications@sepa.org.uk,,,,12865,people,,
UK_SC_Site55,Helensburgh, Highland, Scotland, GB,,,56.00685,-4.73188,,communications@sepa.org.uk,,,,12814,people,,
UK_SC_Site109,Whitburn, Lothian, Scotland, GB,,,55.8661,-3.6887,,communications@sepa.org.uk,,,,12675,people,,
UK_SC_Site44,Forres, Grampian, Scotland, GB,,,57.610172,-3.612842,,communications@sepa.org.uk,,,,12563,people,,
UK_SC_Site70,Linlithgow, Lothian, Scotland, GB,,,55.97647,-3.6025,,communications@sepa.org.uk,,,,12531,people,,
UK_SC_Site87,Penicuik, Lothian, Scotland, GB,,,55.83636,-3.21992,,communications@sepa.org.uk,,,,12402,people,,
UK_SC_Site7,Armadale, Lothian, Scotland, GB,,,55.89889,-3.69577,,communications@sepa.org.uk,,,,12225,people,,
