"","Site","Health_Board","Latitude_dd","Longitude_dd","Population","Population_band"
"1","Allanfearn","Highland",57.4989010637052,-4.15211114427569,62058,"10k - 100k"
"2","Allers","Lanarkshire",55.7798920694044,-4.13503078112867,30137,"10k - 100k"
"3","Allers - St Leonards","Lanarkshire",55.7798920694044,-4.13503078112867,30137,"10k - 100k"
"4","Alloa","Forth Valley",56.1061119673765,-3.79172441125497,34758,"10k - 100k"
"5","Alness","Highland",57.6913714940501,-4.22477034888461,9287,"4k - 10k"
"6","Alva","Forth Valley",56.1488188404649,-3.81485017736689,5243,"4k - 10k"
"7","Annan","Dumfries and Galloway",54.9738026551795,-3.2617209843747,8256,"4k - 10k"
"8","Ardoch","Greater Glasgow and Clyde",55.9473408149899,-4.60584731735819,46376,"10k - 100k"
"9","Armadale","Lothian",55.9065840013622,-3.70088084310073,12225,"10k - 100k"
"10","Aviemore","Highland",57.2096639839582,-3.8170882100813,3549,"2k - 4k"
"11","Banchory","Grampian",57.0534720125036,-2.47835189581178,7626,"4k - 10k"
"12","Banff","Grampian",57.6724518394431,-2.4767415672225,10621,"10k - 100k"
"13","Bathgate","Lothian",55.9145399675497,-3.66326011601052,13272,"10k - 100k"
"14","Biggar","Lanarkshire",55.6165331135886,-3.51200515026948,3023,"2k - 4k"
"15","Blackburn","Lothian",55.8714923946422,-3.59337690544305,18993,"10k - 100k"
"16","Blackridge","Lothian",55.8906233929929,-3.74391972184647,2136,"2k - 4k"
"17","Blackwood","Lanarkshire",55.6670357239981,-3.90104927445479,3935,"2k - 4k"
"18","Blairgowrie","Tayside",56.5857913564765,-3.31431140876479,9016,"4k - 10k"
"19","Boness","Forth Valley",56.01450696083,-3.57027980177721,15349,"10k - 100k"
"20","Bonnybridge","Forth Valley",56.0081751722771,-3.86871922340951,14426,"10k - 100k"
"21","Bothwellbank","Lanarkshire",55.797311573478,-4.07920740982194,21609,"10k - 100k"
"22","Bowhouse","Fife",56.2698632651294,-3.17173238442625,5209,"4k - 10k"
"23","Buckie","Grampian",57.6770343807126,-2.94377998251036,13598,"10k - 100k"
"24","Carbarns","Lanarkshire",55.7629414846252,-3.95649973476045,42545,"10k - 100k"
"25","Coldstream","Borders",55.6642711806276,-2.226717751225,2196,"2k - 4k"
"26","Cumnock","Ayrshire and Arran",55.4562191934189,-4.28140354095588,13690,"10k - 100k"
"27","Cumnock - Netherwood","Ayrshire and Arran",55.4562191934189,-4.28140354095588,13690,"10k - 100k"
"28","Cupar","Fife",56.3219911050423,-2.99134251948563,9078,"4k - 10k"
"29","Dalbeattie","Dumfries and Galloway",54.9223049683906,-3.82172736207723,4227,"4k - 10k"
"30","Daldowie","Greater Glasgow and Clyde",55.8325433151428,-4.12657320490419,211013,"100k +"
"31","Dalmarnock","Greater Glasgow and Clyde",55.8373762013829,-4.21934344578944,142556,"100k +"
"32","Dalmuir","Greater Glasgow and Clyde",55.9083136749758,-4.43868090515167,428173,"100k +"
"33","Dalmuir - Auchinairn (6298)","Greater Glasgow and Clyde",55.9083136749758,-4.43868090515167,428173,"100k +"
"34","Dalmuir - Auchinairn (6330)","Greater Glasgow and Clyde",55.9083136749758,-4.43868090515167,428173,"100k +"
"35","Dalmuir - Clydebank","Greater Glasgow and Clyde",55.9083136749758,-4.43868090515167,428173,"100k +"
"36","Dalmuir - Minerva St","Greater Glasgow and Clyde",55.9083136749758,-4.43868090515167,428173,"100k +"
"37","Dalmuir - SECC","Greater Glasgow and Clyde",55.9083136749758,-4.43868090515167,428173,"100k +"
"38","Dalscone","Dumfries and Galloway",55.0884615989149,-3.59671793344351,5548,"4k - 10k"
"39","Denny","Forth Valley",56.024938625581,-3.89544690360913,11283,"10k - 100k"
"40","Dunbar","Lothian",55.9917175585512,-2.57256720300213,9888,"4k - 10k"
"41","Dunblane","Forth Valley",56.1828075989143,-3.96441892624449,8253,"4k - 10k"
"42","Dunfermline","Fife",56.0202955979275,-3.41014513246599,69986,"10k - 100k"
"43","Dunnswood","Lanarkshire",55.9714073583438,-3.95370449979536,27032,"10k - 100k"
"44","Dunnswood - Carrickstone","Lanarkshire",55.9714073583438,-3.95370449979536,27032,"10k - 100k"
"45","Dunoon","Lanarkshire",55.9509667911841,-4.92619311722613,27032,"10k - 100k"
"46","Duns","Borders",55.7715366776411,-2.32458016654261,2991,"2k - 4k"
"47","East Calder","Lothian",55.8968656132722,-3.47530037021377,73313,"10k - 100k"
"48","Ellon","Grampian",57.3648308658724,-2.05750514056289,10445,"10k - 100k"
"49","Erskine","Greater Glasgow and Clyde",55.8913792504006,-4.41038730362664,69455,"10k - 100k"
"50","Eyemouth","Borders",55.8619698476091,-2.08012445501174,5205,"4k - 10k"
"51","Fairlie","Ayrshire and Arran",55.7633963436092,-4.8592535874964,1535,"0 - 2k"
"52","Falkirk","Forth Valley",56.0201275396243,-3.76129703443663,70966,"10k - 100k"
"53","Fauldhouse","Lothian",55.8240294839505,-3.69336189271524,4911,"4k - 10k"
"54","Forfar","Tayside",56.6413634706668,-2.91071419028815,14857,"10k - 100k"
"55","Forfar - Central","Tayside",56.6413634706668,-2.91071419028815,14857,"10k - 100k"
"56","Forres","Grampian",57.6157055009232,-3.61105534336082,12563,"10k - 100k"
"57","Fort William","Highland",56.828460689844,-5.10112693719903,8222,"4k - 10k"
"58","Fraserburgh","Grampian",57.6916456338435,-2.04626863190726,17883,"10k - 100k"
"59","Galashiels","Borders",55.6069593265817,-2.77535918636304,14921,"10k - 100k"
"60","Girvan","Ayrshire and Arran",55.2600042620361,-4.84946002859352,7721,"4k - 10k"
"61","Grantown on Spey","Highland",57.3224865188183,-3.61336588978372,2347,"2k - 4k"
