HBNAME,Site,Date,Date Analysed,SW Sample Number,N1 Description,N1 Reported Value,N1 Sample 1,N1 Sample 2,N1 Sample 3,Calculated Mean,Standard Deviation,Flow (l/day),Ammonia (mg/l),pH Value,Modelled Flow (l/day),Million Gene Copies Per Person per Day,Analysis Lab,(Row Count)
Highland,Allanfearn,01/06/2020,(Empty),13953443,Negative,0,,,,,,19353600,,,,0,SEPA,1
Highland,Allanfearn,02/06/2020,(Empty),13953444,Negative,0,,,,,,17020800,,,,0,SEPA,1
Highland,Allanfearn,04/06/2020,(Empty),13953445,Negative,0,,,,,,22204800,,,,0,SEPA,1
Highland,Allanfearn,08/06/2020,(Empty),13953446,Negative,0,,,,,,25228800,,,,0,SEPA,1
Highland,Allanfearn,09/06/2020,(Empty),13953447,Negative,0,,,,,,24537600,,,,0,SEPA,1
Highland,Allanfearn,10/06/2020,(Empty),13953448,Negative,0,945,,,945,,27820800,,,,0,SEPA,1
Highland,Allanfearn,15/06/2020,(Empty),13953450,Negative,0,,,,,,28339200,,,,0,SEPA,1
Highland,Allanfearn,19/06/2020,(Empty),13953453,Negative,0,,,,,,21772800,,,,0,SEPA,1
Highland,Allanfearn,30/06/2020,(Empty),,Negative,0,,,,,,,,,,0,SEPA,1
Highland,Allanfearn,07/08/2020,(Empty),14101192,Weak Positive,435,415.51,460.32,431.59,435.81,22.7,24537600,23.38,7.3,24192853,0.17,SEPA,1
Highland,Allanfearn,10/08/2020,(Empty),14101193,Negative,0,,,,,,21945600,24.49,7.3,23358944,0,SEPA,1
Highland,Allanfearn,14/08/2020,(Empty),14101196,Weak Positive,868,539.25,570.8,1495.48,868.51,543.2,20217600,26.6,7.2,21943689,0.28,SEPA,1
Highland,Allanfearn,17/08/2020,(Empty),14101197,Weak Positive,898,,620.25,1175.83,898.04,392.85,20390400,27.01,7.3,21691320,0.3,SEPA,1
Highland,Allanfearn,18/08/2020,(Empty),14101198,Weak Positive,820,1194.13,617.18,649.3,820.21,324.23,20822400,26.77,7.3,21838225,0.28,SEPA,1
Highland,Allanfearn,19/08/2020,(Empty),14101199,Negative,0,,,260.07,260.07,,29289600,24.06,7.5,23673969,0,SEPA,1
Highland,Allanfearn,21/08/2020,(Empty),14101200,Weak Positive,1074,1524.73,,624.04,1074.39,636.89,23241600,21.33,7.2,25931399,0.4,SEPA,1
Highland,Allanfearn,24/08/2020,(Empty),14101201,Weak Positive,1414,,2078.85,749.55,1414.2,939.96,23673600,21.6,7.2,25685895,0.54,SEPA,1
Highland,Allanfearn,25/08/2020,(Empty),14101202,Negative,0,,,,,,20995200,22.01,7.3,25323226,0,SEPA,1
Highland,Allanfearn,26/08/2020,(Empty),14101203,Negative,0,,,,,,23241600,25.16,7.3,22886990,0,SEPA,1
Highland,Allanfearn,28/08/2020,(Empty),14101204,Negative,0,,,2263.79,2263.79,,21168000,25.26,7.1,22818438,0,SEPA,1
Highland,Allanfearn,31/08/2020,(Empty),14101205,Weak Positive,1124,533.57,502.95,1098.71,711.74,335.47,19267200,24.47,7.2,23373380,0.22,SEPA,1
Highland,Allanfearn,01/09/2020,(Empty),14101206,Positive (DNQ),2353,3492.09,1669.71,1897.29,2353.03,993,20131200,27.81,7.1,21217763,0.76,SEPA,1
Highland,Allanfearn,02/09/2020,(Empty),14101207,Weak Positive,2912,2101.29,1271.67,5364.82,2912.59,2163.82,20908800,25.51,7.2,22649123,0.98,SEPA,1
Highland,Allanfearn,04/09/2020,(Empty),14101208,Positive (DNQ),7868,5364.82,8090.42,10149.9,7868.38,2400.26,23155200,24.64,7.2,23251326,2.94,SEPA,1
