Health Area,Site Name,Date,Population Band,Population,Result Description - N1 Gene,Reported Value - N1 Gene (gc/l),Days Since Sampled
Ayrshire and Arran,Cumnock,19/02/2021,10k - 100k,13690,Positive,85619,363 days
Ayrshire and Arran,Cumnock,23/02/2021,10k - 100k,13690,Positive,75691,359 days
Ayrshire and Arran,Cumnock,01/03/2021,10k - 100k,13690,Positive,42624,353 days
Ayrshire and Arran,Cumnock,08/03/2021,10k - 100k,13690,Positive,12469,346 days
Ayrshire and Arran,Cumnock,15/03/2021,10k - 100k,13690,Positive,13536,339 days
Ayrshire and Arran,Cumnock,22/03/2021,10k - 100k,13690,Positive,30014,332 days
Ayrshire and Arran,Cumnock,30/03/2021,10k - 100k,13690,Positive (DNQ),9513,324 days
Ayrshire and Arran,Cumnock,06/04/2021,10k - 100k,13690,Positive (DNQ),7509,317 days
Ayrshire and Arran,Cumnock,12/04/2021,10k - 100k,13690,Positive (DNQ),2990,311 days
Ayrshire and Arran,Cumnock,28/04/2021,10k - 100k,13690,Weak Positive,658,295 days
Ayrshire and Arran,Cumnock,07/05/2021,10k - 100k,13690,Weak Positive,658,286 days
Ayrshire and Arran,Cumnock,10/05/2021,10k - 100k,13690,Positive (DNQ),1580,283 days
Ayrshire and Arran,Cumnock,19/05/2021,10k - 100k,13690,Negative,0,274 days
Ayrshire and Arran,Cumnock,26/05/2021,10k - 100k,13690,Weak Positive,658,267 days
Ayrshire and Arran,Cumnock,02/06/2021,10k - 100k,13690,Positive,43795,260 days
Ayrshire and Arran,Cumnock,09/06/2021,10k - 100k,13690,Positive,24305,253 days
Ayrshire and Arran,Cumnock,16/06/2021,10k - 100k,13690,Positive,17045,246 days
Ayrshire and Arran,Cumnock,22/06/2021,10k - 100k,13690,Positive,22342,240 days
Ayrshire and Arran,Cumnock,29/06/2021,10k - 100k,13690,Positive,145126,233 days
Ayrshire and Arran,Cumnock,06/07/2021,10k - 100k,13690,Positive,440416,226 days
Ayrshire and Arran,Cumnock,13/07/2021,10k - 100k,13690,Positive,107928,219 days
Ayrshire and Arran,Cumnock,20/07/2021,10k - 100k,13690,Positive,75879,212 days
Ayrshire and Arran,Cumnock,26/07/2021,10k - 100k,13690,Positive,161821,206 days
Ayrshire and Arran,Cumnock,30/08/2021,10k - 100k,13690,Positive,254939,171 days
Ayrshire and Arran,Cumnock,06/09/2021,10k - 100k,13690,Positive,143341,164 days
Ayrshire and Arran,Cumnock,15/09/2021,10k - 100k,13690,Positive,446588,155 days
Ayrshire and Arran,Cumnock,29/09/2021,10k - 100k,13690,Positive,94954,141 days
Ayrshire and Arran,Cumnock,18/10/2021,10k - 100k,13690,Positive,71331,122 days
Ayrshire and Arran,Cumnock,27/10/2021,10k - 100k,13690,Positive,200254,113 days
Ayrshire and Arran,Cumnock,05/11/2021,10k - 100k,13690,Positive,781473,104 days
Ayrshire and Arran,Cumnock,18/11/2021,10k - 100k,13690,Positive,199297,91 days
Ayrshire and Arran,Cumnock,30/11/2021,10k - 100k,13690,Positive,42679,79 days
Ayrshire and Arran,Cumnock,07/12/2021,10k - 100k,13690,Positive,117505,72 days
Ayrshire and Arran,Cumnock,14/12/2021,10k - 100k,13690,Positive,30909,65 days
Ayrshire and Arran,Cumnock,04/01/2022,10k - 100k,13690,Positive,226703,44 days
Ayrshire and Arran,Cumnock,24/01/2022,10k - 100k,13690,Positive,66513,24 days
Ayrshire and Arran,Cumnock,03/02/2022,10k - 100k,13690,Positive,64679,14 days
Ayrshire and Arran,Cumnock,10/02/2022,10k - 100k,13690,Positive,130243,7 days
Ayrshire and Arran,Fairlie,18/02/2021,0 - 2k,1535,Positive,21820,364 days
Ayrshire and Arran,Fairlie,24/02/2021,0 - 2k,1535,Positive (DNQ),5231,358 days
Ayrshire and Arran,Fairlie,25/02/2021,0 - 2k,1535,Positive (DNQ),1732,357 days
Ayrshire and Arran,Fairlie,03/03/2021,0 - 2k,1535,Weak Positive,658,351 days
Ayrshire and Arran,Fairlie,04/03/2021,0 - 2k,1535,Weak Positive,658,350 days
Ayrshire and Arran,Fairlie,09/03/2021,0 - 2k,1535,Positive (DNQ),6807,345 days
Ayrshire and Arran,Fairlie,10/03/2021,0 - 2k,1535,Positive (DNQ),7457,344 days
Ayrshire and Arran,Fairlie,16/03/2021,0 - 2k,1535,Positive (DNQ),1807,338 days
Ayrshire and Arran,Fairlie,17/03/2021,0 - 2k,1535,Weak Positive,658,337 days
Ayrshire and Arran,Fairlie,25/03/2021,0 - 2k,1535,Negative,0,329 days
Ayrshire and Arran,Fairlie,26/03/2021,0 - 2k,1535,Negative,0,328 days
Ayrshire and Arran,Fairlie,31/03/2021,0 - 2k,1535,Weak Positive,658,323 days
Ayrshire and Arran,Fairlie,01/04/2021,0 - 2k,1535,Negative,0,322 days
Ayrshire and Arran,Fairlie,09/04/2021,0 - 2k,1535,Negative,0,314 days
Ayrshire and Arran,Fairlie,14/04/2021,0 - 2k,1535,Negative,0,309 days
Ayrshire and Arran,Fairlie,15/04/2021,0 - 2k,1535,Negative,0,308 days
Ayrshire and Arran,Fairlie,27/04/2021,0 - 2k,1535,Negative,0,296 days
Ayrshire and Arran,Fairlie,28/04/2021,0 - 2k,1535,Weak Positive,658,295 days
Ayrshire and Arran,Fairlie,06/05/2021,0 - 2k,1535,Positive (DNQ),6061,287 days
Ayrshire and Arran,Fairlie,07/05/2021,0 - 2k,1535,Weak Positive,658,286 days
Ayrshire and Arran,Fairlie,12/05/2021,0 - 2k,1535,Negative,0,281 days
Ayrshire and Arran,Fairlie,14/05/2021,0 - 2k,1535,Negative,0,279 days
Ayrshire and Arran,Fairlie,18/05/2021,0 - 2k,1535,Negative,0,275 days
Ayrshire and Arran,Fairlie,19/05/2021,0 - 2k,1535,Negative,0,274 days
Ayrshire and Arran,Fairlie,25/05/2021,0 - 2k,1535,Negative,0,268 days
Ayrshire and Arran,Fairlie,26/05/2021,0 - 2k,1535,Weak Positive,658,267 days
Ayrshire and Arran,Fairlie,03/06/2021,0 - 2k,1535,Weak Positive,658,259 days
Ayrshire and Arran,Fairlie,04/06/2021,0 - 2k,1535,Negative,0,258 days
Ayrshire and Arran,Fairlie,09/06/2021,0 - 2k,1535,Weak Positive,658,253 days
Ayrshire and Arran,Fairlie,10/06/2021,0 - 2k,1535,Positive (DNQ),1344,252 days
Ayrshire and Arran,Fairlie,15/06/2021,0 - 2k,1535,Weak Positive,658,247 days
Ayrshire and Arran,Fairlie,16/06/2021,0 - 2k,1535,Negative,0,246 days
